ward,precinct,total,Ira I. Silverstein,Ira I. Silverstein Percent,precinct_id
39,1,57,57,100.0,39001
39,2,102,102,100.0,39002
39,3,69,69,100.0,39003
39,4,47,47,100.0,39004
39,5,51,51,100.0,39005
39,6,44,44,100.0,39006
39,7,60,60,100.0,39007
39,8,90,90,100.0,39008
39,9,75,75,100.0,39009
39,10,51,51,100.0,39010
39,11,82,82,100.0,39011
39,12,13,13,100.0,39012
39,14,71,71,100.0,39014
39,15,43,43,100.0,39015
39,16,43,43,100.0,39016
39,17,81,81,100.0,39017
39,18,72,72,100.0,39018
39,19,34,34,100.0,39019
39,20,59,59,100.0,39020
39,21,47,47,100.0,39021
39,26,59,59,100.0,39026
39,29,46,46,100.0,39029
39,31,4,4,100.0,39031
39,32,46,46,100.0,39032
39,33,66,66,100.0,39033
39,35,59,59,100.0,39035
39,36,78,78,100.0,39036
39,37,119,119,100.0,39037
39,38,79,79,100.0,39038
39,39,30,30,100.0,39039
39,40,46,46,100.0,39040
39,41,44,44,100.0,39041
39,42,42,42,100.0,39042
39,43,65,65,100.0,39043
41,6,80,80,100.0,41006
41,10,66,66,100.0,41010
41,14,108,108,100.0,41014
41,19,94,94,100.0,41019
41,23,67,67,100.0,41023
41,39,38,38,100.0,41039
41,44,70,70,100.0,41044
41,47,60,60,100.0,41047
41,54,64,64,100.0,41054
41,57,61,61,100.0,41057
45,4,87,87,100.0,45004
45,5,87,87,100.0,45005
45,10,75,75,100.0,45010
45,12,90,90,100.0,45012
45,14,89,89,100.0,45014
45,24,84,84,100.0,45024
45,30,1,1,100.0,45030
45,36,93,93,100.0,45036
50,1,73,73,100.0,50001
50,2,84,84,100.0,50002
50,3,70,70,100.0,50003
50,4,69,69,100.0,50004
50,5,64,64,100.0,50005
50,6,84,84,100.0,50006
50,7,100,100,100.0,50007
50,8,32,32,100.0,50008
50,9,70,70,100.0,50009
50,10,41,41,100.0,50010
50,11,55,55,100.0,50011
50,12,64,64,100.0,50012
50,13,70,70,100.0,50013
50,14,44,44,100.0,50014
50,15,99,99,100.0,50015
50,16,50,50,100.0,50016
50,17,36,36,100.0,50017
50,18,66,66,100.0,50018
50,19,45,45,100.0,50019
50,20,77,77,100.0,50020
50,21,69,69,100.0,50021
50,22,49,49,100.0,50022
50,23,43,43,100.0,50023
50,24,58,58,100.0,50024
50,25,40,40,100.0,50025
50,26,30,30,100.0,50026
50,27,38,38,100.0,50027
50,28,89,89,100.0,50028
50,29,66,66,100.0,50029
50,30,56,56,100.0,50030
50,31,19,19,100.0,50031
50,32,64,64,100.0,50032
50,33,39,39,100.0,50033
50,34,51,51,100.0,50034
50,35,104,104,100.0,50035
50,36,68,68,100.0,50036
50,37,81,81,100.0,50037
50,38,76,76,100.0,50038
50,39,39,39,100.0,50039
50,40,53,53,100.0,50040
50,41,77,77,100.0,50041
50,42,73,73,100.0,50042
50,43,48,48,100.0,50043
50,44,38,38,100.0,50044
50,45,29,29,100.0,50045
