ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
26,1,43,43,100.0,26001
26,2,58,58,100.0,26002
26,3,38,38,100.0,26003
26,4,26,26,100.0,26004
26,5,48,48,100.0,26005
26,6,39,39,100.0,26006
26,7,35,35,100.0,26007
26,8,39,39,100.0,26008
26,9,37,37,100.0,26009
26,10,58,58,100.0,26010
26,11,30,30,100.0,26011
26,12,57,57,100.0,26012
26,13,107,107,100.0,26013
26,14,35,35,100.0,26014
26,15,29,29,100.0,26015
26,16,30,30,100.0,26016
26,17,39,39,100.0,26017
26,18,26,26,100.0,26018
26,19,100,100,100.0,26019
26,20,40,40,100.0,26020
26,21,19,19,100.0,26021
26,22,32,32,100.0,26022
26,23,34,34,100.0,26023
26,24,36,36,100.0,26024
26,25,28,28,100.0,26025
26,26,27,27,100.0,26026
26,27,56,56,100.0,26027
26,28,17,17,100.0,26028
26,29,35,35,100.0,26029
26,30,25,25,100.0,26030
26,31,40,40,100.0,26031
26,32,33,33,100.0,26032
26,33,28,28,100.0,26033
26,34,70,70,100.0,26034
26,35,42,42,100.0,26035
26,36,31,31,100.0,26036
26,37,27,27,100.0,26037
26,38,20,20,100.0,26038
26,39,12,12,100.0,26039
26,40,19,19,100.0,26040
26,41,43,43,100.0,26041
26,42,20,20,100.0,26042
26,43,30,30,100.0,26043
26,44,35,35,100.0,26044
26,45,49,49,100.0,26045
26,46,27,27,100.0,26046
26,47,21,21,100.0,26047
26,48,46,46,100.0,26048
26,49,43,43,100.0,26049
26,50,30,30,100.0,26050
26,51,67,67,100.0,26051
26,52,42,42,100.0,26052
26,53,32,32,100.0,26053
