ward,precinct,total,Ricardo Mu̱oz,Ricardo Mu̱oz Percent,Neftalie Gonzalez,Neftalie Gonzalez Percent,precinct_id
22,1,51,34,66.67,17,33.33,22001
22,2,37,24,64.86,13,35.14,22002
22,3,64,42,65.63,22,34.38,22003
22,4,65,33,50.77,32,49.23,22004
22,5,80,52,65.0,28,35.0,22005
22,6,83,52,62.65,31,37.35,22006
22,7,100,71,71.0,29,29.0,22007
22,8,66,42,63.64,24,36.36,22008
22,9,66,43,65.15,23,34.85,22009
22,10,97,68,70.1,29,29.9,22010
22,11,77,49,63.64,28,36.36,22011
22,12,89,56,62.92,33,37.08,22012
22,13,101,56,55.45,45,44.55,22013
22,14,57,47,82.46,10,17.54,22014
22,15,66,46,69.7,20,30.3,22015
22,16,116,65,56.03,51,43.97,22016
22,17,74,46,62.16,28,37.84,22017
22,18,100,70,70.0,30,30.0,22018
22,19,54,39,72.22,15,27.78,22019
22,20,69,47,68.12,22,31.88,22020
22,21,102,77,75.49,25,24.51,22021
22,22,71,44,61.97,27,38.03,22022
22,23,103,68,66.02,35,33.98,22023
22,24,79,56,70.89,23,29.11,22024
22,25,115,55,47.83,60,52.17,22025
22,26,73,48,65.75,25,34.25,22026
22,27,84,55,65.48,29,34.52,22027
22,28,52,33,63.46,19,36.54,22028
