ward,precinct,registered,ballots,turnout,precinct_id
1,1,689,122,17.71,01001
1,2,643,62,9.64,01002
1,3,450,50,11.11,01003
1,4,505,68,13.47,01004
1,5,636,56,8.81,01005
1,6,542,73,13.47,01006
1,7,668,34,5.09,01007
1,8,583,82,14.07,01008
1,9,509,105,20.63,01009
1,10,559,65,11.63,01010
1,11,523,53,10.13,01011
1,12,681,75,11.01,01012
1,13,818,172,21.03,01013
1,14,519,94,18.11,01014
1,15,549,77,14.03,01015
1,16,286,105,36.71,01016
1,17,432,31,7.18,01017
1,18,542,76,14.02,01018
1,19,423,63,14.89,01019
1,20,579,186,32.12,01020
1,21,801,77,9.61,01021
1,22,571,67,11.73,01022
1,23,537,72,13.41,01023
1,24,722,181,25.07,01024
1,25,503,59,11.73,01025
1,26,457,37,8.1,01026
1,27,528,41,7.77,01027
1,28,254,26,10.24,01028
1,29,606,78,12.87,01029
1,30,800,170,21.25,01030
1,31,739,55,7.44,01031
1,32,587,117,19.93,01032
1,33,614,85,13.84,01033
1,34,473,40,8.46,01034
1,35,484,48,9.92,01035
1,36,593,58,9.78,01036
1,37,856,86,10.05,01037
1,38,435,41,9.43,01038
1,39,636,80,12.58,01039
1,40,347,42,12.1,01040
1,41,545,59,10.83,01041
1,42,514,46,8.95,01042
1,43,552,98,17.75,01043
1,44,472,34,7.2,01044
1,45,642,87,13.55,01045
1,46,580,91,15.69,01046
1,47,545,66,12.11,01047
1,48,364,97,26.65,01048
2,1,1268,155,12.22,02001
2,2,170,20,11.76,02002
2,3,803,110,13.7,02003
2,4,627,106,16.91,02004
2,5,624,113,18.11,02005
2,6,929,80,8.61,02006
2,7,532,190,35.71,02007
2,8,664,159,23.95,02008
2,9,519,104,20.04,02009
2,10,247,117,47.37,02010
2,11,663,189,28.51,02011
2,12,1122,90,8.02,02012
2,13,536,181,33.77,02013
2,14,415,185,44.58,02014
2,15,402,71,17.66,02015
2,16,1144,84,7.34,02016
2,17,536,99,18.47,02017
2,18,540,110,20.37,02018
2,19,919,142,15.45,02019
2,20,674,250,37.09,02020
2,21,504,207,41.07,02021
2,22,741,196,26.45,02022
2,23,406,91,22.41,02023
2,24,410,73,17.8,02024
2,25,842,120,14.25,02025
2,26,574,138,24.04,02026
2,27,493,124,25.15,02027
2,28,980,55,5.61,02028
2,29,340,82,24.12,02029
2,30,805,111,13.79,02030
2,31,438,136,31.05,02031
2,32,400,43,10.75,02032
2,33,566,57,10.07,02033
2,34,374,159,42.51,02034
2,35,731,103,14.09,02035
2,36,853,180,21.1,02036
2,37,445,95,21.35,02037
2,38,961,178,18.52,02038
2,39,673,103,15.3,02039
2,40,1394,209,14.99,02040
2,41,410,49,11.95,02041
2,42,259,148,57.14,02042
2,43,595,166,27.9,02043
2,44,384,111,28.91,02044
2,45,683,129,18.89,02045
2,46,571,205,35.9,02046
2,47,772,183,23.7,02047
2,48,440,126,28.64,02048
2,49,670,94,14.03,02049
2,50,410,68,16.59,02050
2,51,451,76,16.85,02051
2,52,818,170,20.78,02052
2,53,667,66,9.9,02053
2,54,416,42,10.1,02054
3,1,532,150,28.2,03001
3,2,489,220,44.99,03002
3,3,632,120,18.99,03003
3,4,342,96,28.07,03004
3,5,483,140,28.99,03005
3,6,57,19,33.33,03006
3,7,488,232,47.54,03007
3,8,470,97,20.64,03008
3,9,462,133,28.79,03009
3,10,250,37,14.8,03010
3,11,463,114,24.62,03011
3,12,516,94,18.22,03012
3,13,429,39,9.09,03013
3,14,280,126,45.0,03014
3,15,523,154,29.45,03015
3,16,358,103,28.77,03016
3,17,261,57,21.84,03017
3,18,232,65,28.02,03018
3,19,258,19,7.36,03019
3,20,265,104,39.25,03020
3,21,265,40,15.09,03021
3,22,267,66,24.72,03022
3,23,607,115,18.95,03023
3,24,680,166,24.41,03024
3,25,418,78,18.66,03025
3,26,178,30,16.85,03026
3,27,447,114,25.5,03027
3,28,897,129,14.38,03028
3,29,543,143,26.34,03029
3,30,343,100,29.15,03030
3,31,576,236,40.97,03031
3,32,364,92,25.27,03032
3,33,696,152,21.84,03033
3,34,372,114,30.65,03034
3,35,423,114,26.95,03035
3,36,201,28,13.93,03036
3,37,208,47,22.6,03037
3,38,538,248,46.1,03038
3,39,426,267,62.68,03039
3,40,445,135,30.34,03040
3,41,364,127,34.89,03041
3,42,451,102,22.62,03042
3,43,132,50,37.88,03043
3,44,191,20,10.47,03044
3,45,658,177,26.9,03045
3,46,164,56,34.15,03046
3,47,318,67,21.07,03047
3,48,414,80,19.32,03048
3,49,165,59,35.76,03049
3,50,371,51,13.75,03050
4,1,659,196,29.74,04001
4,2,544,225,41.36,04002
4,3,569,189,33.22,04003
4,4,591,190,32.15,04004
4,5,675,227,33.63,04005
4,6,190,84,44.21,04006
4,7,614,212,34.53,04007
4,8,645,204,31.63,04008
4,9,667,357,53.52,04009
4,10,547,163,29.8,04010
4,11,471,128,27.18,04011
4,12,328,107,32.62,04012
4,13,369,146,39.57,04013
4,14,381,88,23.1,04014
4,15,439,130,29.61,04015
4,16,564,197,34.93,04016
4,17,411,167,40.63,04017
4,18,543,130,23.94,04018
4,19,547,170,31.08,04019
4,20,579,148,25.56,04020
4,21,585,182,31.11,04021
4,22,572,182,31.82,04022
4,23,381,122,32.02,04023
4,24,585,149,25.47,04024
4,25,478,221,46.23,04025
4,26,537,163,30.35,04026
4,27,392,149,38.01,04027
4,28,318,96,30.19,04028
4,29,373,145,38.87,04029
4,30,336,136,40.48,04030
4,31,283,86,30.39,04031
4,32,514,140,27.24,04032
4,33,466,153,32.83,04033
4,34,371,109,29.38,04034
4,35,350,102,29.14,04035
4,36,365,102,27.95,04036
4,37,3,2,66.67,04037
4,38,622,245,39.39,04038
4,39,411,103,25.06,04039
4,40,536,181,33.77,04040
4,41,250,62,24.8,04041
4,42,510,197,38.63,04042
4,43,292,89,30.48,04043
4,44,265,73,27.55,04044
4,45,610,331,54.26,04045
4,46,360,120,33.33,04046
4,47,665,151,22.71,04047
4,48,549,180,32.79,04048
4,49,416,157,37.74,04049
4,50,481,165,34.3,04050
4,51,355,205,57.75,04051
4,52,517,179,34.62,04052
5,1,534,171,32.02,05001
5,2,790,197,24.94,05002
5,3,250,71,28.4,05003
5,4,332,108,32.53,05004
5,5,462,133,28.79,05005
5,6,597,184,30.82,05006
5,7,540,187,34.63,05007
5,8,549,163,29.69,05008
5,9,502,130,25.9,05009
5,10,439,106,24.15,05010
5,11,853,307,35.99,05011
5,12,369,88,23.85,05012
5,13,493,164,33.27,05013
5,14,656,251,38.26,05014
5,15,391,113,28.9,05015
5,16,404,108,26.73,05016
5,17,449,159,35.41,05017
5,18,476,143,30.04,05018
5,19,305,71,23.28,05019
5,20,362,53,14.64,05020
5,21,650,200,30.77,05021
5,22,371,162,43.67,05022
5,23,451,88,19.51,05023
5,24,308,170,55.19,05024
5,25,529,122,23.06,05025
5,26,521,176,33.78,05026
5,27,621,123,19.81,05027
5,28,444,194,43.69,05028
5,29,422,136,32.23,05029
5,30,404,116,28.71,05030
5,31,479,113,23.59,05031
5,32,596,308,51.68,05032
5,33,291,128,43.99,05033
5,34,533,145,27.2,05034
5,35,604,183,30.3,05035
5,36,901,261,28.97,05036
5,37,775,318,41.03,05037
5,38,514,93,18.09,05038
5,39,429,152,35.43,05039
5,40,538,134,24.91,05040
5,41,666,208,31.23,05041
5,42,377,74,19.63,05042
5,43,476,169,35.5,05043
5,44,504,144,28.57,05044
5,45,411,125,30.41,05045
5,46,495,153,30.91,05046
5,47,355,108,30.42,05047
5,48,303,106,34.98,05048
6,1,508,233,45.87,06001
6,2,557,198,35.55,06002
6,3,542,195,35.98,06003
6,4,494,131,26.52,06004
6,5,715,154,21.54,06005
6,6,875,293,33.49,06006
6,7,854,211,24.71,06007
6,8,571,218,38.18,06008
6,9,519,163,31.41,06009
6,10,527,291,55.22,06010
6,11,524,126,24.05,06011
6,12,561,162,28.88,06012
6,13,522,126,24.14,06013
6,14,586,135,23.04,06014
6,15,520,84,16.15,06015
6,16,621,201,32.37,06016
6,17,552,193,34.96,06017
6,18,441,74,16.78,06018
6,19,595,169,28.4,06019
