ward,precinct,total,Edward M. Burke,Edward M. Burke Percent,precinct_id
14,1,116,116,100.0,14001
14,2,143,143,100.0,14002
14,3,86,86,100.0,14003
14,4,81,81,100.0,14004
14,5,94,94,100.0,14005
14,6,50,50,100.0,14006
14,7,107,107,100.0,14007
14,8,75,75,100.0,14008
14,9,116,116,100.0,14009
14,10,77,77,100.0,14010
14,11,81,81,100.0,14011
14,12,97,97,100.0,14012
14,13,82,82,100.0,14013
14,14,108,108,100.0,14014
14,15,111,111,100.0,14015
14,16,78,78,100.0,14016
14,17,121,121,100.0,14017
14,18,44,44,100.0,14018
14,19,90,90,100.0,14019
14,20,52,52,100.0,14020
14,21,93,93,100.0,14021
14,22,135,135,100.0,14022
14,23,76,76,100.0,14023
14,24,62,62,100.0,14024
14,25,64,64,100.0,14025
14,26,50,50,100.0,14026
14,27,103,103,100.0,14027
14,28,64,64,100.0,14028
14,29,130,130,100.0,14029
14,30,95,95,100.0,14030
14,31,54,54,100.0,14031
14,32,55,55,100.0,14032
