ward,precinct,total,Rodney W. Stewart,Rodney W. Stewart Percent,Celia Louise Gamrath,Celia Louise Gamrath Percent,James A. Shapiro,James A. Shapiro Percent,Thomas N. Osran,Thomas N. Osran Percent,precinct_id
42,6,165,29,17.58,85,51.52,47,28.48,4,2.42,42006
42,7,64,4,6.25,36,56.25,24,37.5,0,0.0,42007
42,8,85,5,5.88,53,62.35,27,31.76,0,0.0,42008
42,9,148,18,12.16,89,60.14,31,20.95,10,6.76,42009
42,10,130,11,8.46,63,48.46,52,40.0,4,3.08,42010
42,11,89,9,10.11,62,69.66,15,16.85,3,3.37,42011
42,12,52,9,17.31,28,53.85,15,28.85,0,0.0,42012
42,13,145,19,13.1,87,60.0,33,22.76,6,4.14,42013
42,14,50,0,0.0,34,68.0,14,28.0,2,4.0,42014
42,15,60,9,15.0,34,56.67,15,25.0,2,3.33,42015
42,16,42,1,2.38,21,50.0,20,47.62,0,0.0,42016
42,17,148,35,23.65,59,39.86,50,33.78,4,2.7,42017
42,19,13,1,7.69,11,84.62,1,7.69,0,0.0,42019
42,20,34,6,17.65,14,41.18,13,38.24,1,2.94,42020
42,22,33,3,9.09,22,66.67,7,21.21,1,3.03,42022
42,23,98,7,7.14,64,65.31,26,26.53,1,1.02,42023
42,24,67,15,22.39,31,46.27,18,26.87,3,4.48,42024
42,25,66,5,7.58,38,57.58,21,31.82,2,3.03,42025
42,26,106,30,28.3,39,36.79,35,33.02,2,1.89,42026
42,27,74,6,8.11,41,55.41,21,28.38,6,8.11,42027
42,28,80,7,8.75,53,66.25,18,22.5,2,2.5,42028
42,29,80,6,7.5,46,57.5,27,33.75,1,1.25,42029
42,30,44,4,9.09,21,47.73,18,40.91,1,2.27,42030
42,31,48,3,6.25,37,77.08,6,12.5,2,4.17,42031
42,32,62,6,9.68,42,67.74,10,16.13,4,6.45,42032
42,33,118,11,9.32,73,61.86,32,27.12,2,1.69,42033
42,34,53,2,3.77,37,69.81,14,26.42,0,0.0,42034
42,35,76,2,2.63,44,57.89,30,39.47,0,0.0,42035
42,36,41,4,9.76,26,63.41,10,24.39,1,2.44,42036
42,37,56,4,7.14,38,67.86,14,25.0,0,0.0,42037
42,38,44,2,4.55,27,61.36,15,34.09,0,0.0,42038
42,39,45,9,20.0,13,28.89,22,48.89,1,2.22,42039
42,40,73,4,5.48,37,50.68,28,38.36,4,5.48,42040
42,41,74,7,9.46,47,63.51,20,27.03,0,0.0,42041
42,42,85,4,4.71,48,56.47,30,35.29,3,3.53,42042
42,43,81,8,9.88,43,53.09,28,34.57,2,2.47,42043
42,44,54,7,12.96,29,53.7,17,31.48,1,1.85,42044
42,45,66,3,4.55,47,71.21,16,24.24,0,0.0,42045
42,46,37,2,5.41,22,59.46,9,24.32,4,10.81,42046
42,47,49,1,2.04,29,59.18,18,36.73,1,2.04,42047
42,48,49,1,2.04,35,71.43,13,26.53,0,0.0,42048
42,49,16,2,12.5,5,31.25,8,50.0,1,6.25,42049
42,50,107,7,6.54,80,74.77,20,18.69,0,0.0,42050
42,51,137,27,19.71,72,52.55,33,24.09,5,3.65,42051
42,52,52,15,28.85,19,36.54,18,34.62,0,0.0,42052
42,53,123,7,5.69,102,82.93,14,11.38,0,0.0,42053
42,54,44,6,13.64,28,63.64,10,22.73,0,0.0,42054
42,55,62,12,19.35,30,48.39,18,29.03,2,3.23,42055
42,56,58,10,17.24,40,68.97,8,13.79,0,0.0,42056
42,57,45,7,15.56,26,57.78,11,24.44,1,2.22,42057
42,58,23,2,8.7,14,60.87,7,30.43,0,0.0,42058
42,59,46,1,2.17,24,52.17,17,36.96,4,8.7,42059
42,60,36,6,16.67,19,52.78,10,27.78,1,2.78,42060
42,62,43,2,4.65,26,60.47,15,34.88,0,0.0,42062
42,63,96,5,5.21,52,54.17,39,40.63,0,0.0,42063
42,64,21,3,14.29,10,47.62,8,38.1,0,0.0,42064
42,65,76,6,7.89,51,67.11,18,23.68,1,1.32,42065
42,66,50,15,30.0,26,52.0,8,16.0,1,2.0,42066
42,67,73,7,9.59,49,67.12,15,20.55,2,2.74,42067
43,1,99,14,14.14,40,40.4,44,44.44,1,1.01,43001
43,2,49,6,12.24,23,46.94,18,36.73,2,4.08,43002
43,3,85,4,4.71,42,49.41,37,43.53,2,2.35,43003
43,4,81,6,7.41,42,51.85,30,37.04,3,3.7,43004
43,5,52,2,3.85,30,57.69,17,32.69,3,5.77,43005
43,6,96,12,12.5,37,38.54,43,44.79,4,4.17,43006
43,7,93,15,16.13,35,37.63,38,40.86,5,5.38,43007
43,8,107,11,10.28,49,45.79,46,42.99,1,0.93,43008
43,9,56,6,10.71,29,51.79,18,32.14,3,5.36,43009
43,10,64,3,4.69,35,54.69,23,35.94,3,4.69,43010
43,11,51,1,1.96,32,62.75,18,35.29,0,0.0,43011
43,12,80,0,0.0,39,48.75,39,48.75,2,2.5,43012
43,13,58,8,13.79,25,43.1,25,43.1,0,0.0,43013
43,14,75,4,5.33,29,38.67,42,56.0,0,0.0,43014
43,15,59,6,10.17,28,47.46,24,40.68,1,1.69,43015
43,16,54,2,3.7,32,59.26,20,37.04,0,0.0,43016
43,17,109,2,1.83,65,59.63,42,38.53,0,0.0,43017
43,18,83,3,3.61,44,53.01,33,39.76,3,3.61,43018
43,19,85,15,17.65,40,47.06,29,34.12,1,1.18,43019
43,20,93,3,3.23,50,53.76,38,40.86,2,2.15,43020
43,21,69,5,7.25,21,30.43,42,60.87,1,1.45,43021
43,22,39,2,5.13,25,64.1,12,30.77,0,0.0,43022
43,23,55,2,3.64,36,65.45,17,30.91,0,0.0,43023
43,24,70,7,10.0,37,52.86,22,31.43,4,5.71,43024
43,25,71,14,19.72,34,47.89,20,28.17,3,4.23,43025
43,26,57,4,7.02,27,47.37,25,43.86,1,1.75,43026
43,27,54,6,11.11,31,57.41,16,29.63,1,1.85,43027
43,28,84,2,2.38,42,50.0,38,45.24,2,2.38,43028
43,29,54,0,0.0,28,51.85,24,44.44,2,3.7,43029
43,30,67,11,16.42,39,58.21,16,23.88,1,1.49,43030
43,31,39,2,5.13,15,38.46,21,53.85,1,2.56,43031
43,32,72,5,6.94,35,48.61,31,43.06,1,1.39,43032
43,33,37,3,8.11,15,40.54,19,51.35,0,0.0,43033
43,34,24,3,12.5,12,50.0,7,29.17,2,8.33,43034
43,35,86,1,1.16,47,54.65,37,43.02,1,1.16,43035
43,36,54,4,7.41,29,53.7,19,35.19,2,3.7,43036
43,37,68,11,16.18,32,47.06,24,35.29,1,1.47,43037
43,38,29,3,10.34,12,41.38,13,44.83,1,3.45,43038
43,39,99,2,2.02,49,49.49,47,47.47,1,1.01,43039
43,40,68,2,2.94,26,38.24,38,55.88,2,2.94,43040
43,41,34,0,0.0,19,55.88,14,41.18,1,2.94,43041
43,42,24,1,4.17,11,45.83,12,50.0,0,0.0,43042
43,43,39,2,5.13,17,43.59,20,51.28,0,0.0,43043
43,44,61,4,6.56,32,52.46,24,39.34,1,1.64,43044
43,45,65,12,18.46,30,46.15,21,32.31,2,3.08,43045
43,46,72,5,6.94,32,44.44,33,45.83,2,2.78,43046
43,47,109,12,11.01,49,44.95,47,43.12,1,0.92,43047
43,48,52,7,13.46,31,59.62,13,25.0,1,1.92,43048
43,49,59,1,1.69,31,52.54,22,37.29,5,8.47,43049
43,50,44,6,13.64,24,54.55,10,22.73,4,9.09,43050
43,51,93,30,32.26,32,34.41,28,30.11,3,3.23,43051
44,1,69,11,15.94,37,53.62,19,27.54,2,2.9,44001
44,2,54,4,7.41,28,51.85,22,40.74,0,0.0,44002
44,3,107,5,4.67,48,44.86,51,47.66,3,2.8,44003
44,4,106,7,6.6,39,36.79,58,54.72,2,1.89,44004
44,5,82,10,12.2,42,51.22,29,35.37,1,1.22,44005
44,6,50,7,14.0,29,58.0,10,20.0,4,8.0,44006
44,7,72,4,5.56,36,50.0,30,41.67,2,2.78,44007
44,8,57,4,7.02,37,64.91,14,24.56,2,3.51,44008
44,9,35,1,2.86,17,48.57,13,37.14,4,11.43,44009
44,10,31,3,9.68,16,51.61,10,32.26,2,6.45,44010
44,11,56,4,7.14,24,42.86,24,42.86,4,7.14,44011
44,12,99,13,13.13,47,47.47,33,33.33,6,6.06,44012
44,13,41,3,7.32,24,58.54,13,31.71,1,2.44,44013
44,14,56,6,10.71,32,57.14,18,32.14,0,0.0,44014
44,15,93,8,8.6,59,63.44,24,25.81,2,2.15,44015
44,16,53,6,11.32,25,47.17,19,35.85,3,5.66,44016
44,17,100,3,3.0,52,52.0,31,31.0,14,14.0,44017
44,18,26,0,0.0,16,61.54,10,38.46,0,0.0,44018
44,19,102,14,13.73,43,42.16,44,43.14,1,0.98,44019
44,20,53,7,13.21,30,56.6,12,22.64,4,7.55,44020
44,21,61,2,3.28,37,60.66,17,27.87,5,8.2,44021
44,22,85,5,5.88,46,54.12,33,38.82,1,1.18,44022
44,23,49,4,8.16,27,55.1,17,34.69,1,2.04,44023
44,24,132,11,8.33,74,56.06,46,34.85,1,0.76,44024
44,25,42,4,9.52,22,52.38,15,35.71,1,2.38,44025
44,26,50,8,16.0,29,58.0,13,26.0,0,0.0,44026
44,27,64,6,9.38,37,57.81,19,29.69,2,3.13,44027
44,28,35,5,14.29,20,57.14,10,28.57,0,0.0,44028
44,29,54,3,5.56,37,68.52,11,20.37,3,5.56,44029
44,30,62,10,16.13,29,46.77,22,35.48,1,1.61,44030
44,31,49,2,4.08,35,71.43,12,24.49,0,0.0,44031
44,32,35,1,2.86,19,54.29,12,34.29,3,8.57,44032
44,33,71,10,14.08,37,52.11,22,30.99,2,2.82,44033
44,34,34,6,17.65,18,52.94,9,26.47,1,2.94,44034
44,35,154,17,11.04,82,53.25,48,31.17,7,4.55,44035
44,36,43,12,27.91,19,44.19,12,27.91,0,0.0,44036
44,37,82,12,14.63,31,37.8,37,45.12,2,2.44,44037
44,38,36,2,5.56,17,47.22,17,47.22,0,0.0,44038
44,39,42,4,9.52,22,52.38,14,33.33,2,4.76,44039
44,40,56,2,3.57,34,60.71,19,33.93,1,1.79,44040
44,41,91,15,16.48,37,40.66,37,40.66,2,2.2,44041
44,42,87,20,22.99,46,52.87,18,20.69,3,3.45,44042
44,43,48,5,10.42,28,58.33,14,29.17,1,2.08,44043
44,44,77,11,14.29,38,49.35,26,33.77,2,2.6,44044
44,45,59,6,10.17,32,54.24,17,28.81,4,6.78,44045
44,46,34,5,14.71,16,47.06,12,35.29,1,2.94,44046
44,47,76,8,10.53,45,59.21,23,30.26,0,0.0,44047
46,1,158,21,13.29,75,47.47,58,36.71,4,2.53,46001
46,2,70,6,8.57,44,62.86,16,22.86,4,5.71,46002
46,3,80,20,25.0,32,40.0,26,32.5,2,2.5,46003
46,4,55,8,14.55,30,54.55,17,30.91,0,0.0,46004
46,5,33,8,24.24,14,42.42,10,30.3,1,3.03,46005
46,6,73,19,26.03,31,42.47,21,28.77,2,2.74,46006
46,7,49,4,8.16,30,61.22,14,28.57,1,2.04,46007
46,8,80,15,18.75,22,27.5,41,51.25,2,2.5,46008
46,9,56,4,7.14,32,57.14,18,32.14,2,3.57,46009
46,10,40,11,27.5,21,52.5,8,20.0,0,0.0,46010
46,11,72,9,12.5,33,45.83,28,38.89,2,2.78,46011
46,12,85,6,7.06,32,37.65,44,51.76,3,3.53,46012
46,13,56,7,12.5,30,53.57,16,28.57,3,5.36,46013
46,14,52,2,3.85,31,59.62,17,32.69,2,3.85,46014
46,15,82,12,14.63,42,51.22,27,32.93,1,1.22,46015
46,16,66,8,12.12,33,50.0,22,33.33,3,4.55,46016
46,17,124,8,6.45,60,48.39,52,41.94,4,3.23,46017
46,18,134,20,14.93,73,54.48,35,26.12,6,4.48,46018
