ward,precinct,total,Patrick J. Sherlock,Patrick J. Sherlock Percent,"P. Scott Neville, Jr.","P. Scott Neville, Jr. Percent",Marguerite Anne Quinn,Marguerite Anne Quinn Percent,precinct_id
1,1,88,19,21.59,28,31.82,41,46.59,01001
1,2,44,10,22.73,18,40.91,16,36.36,01002
1,3,31,1,3.23,14,45.16,16,51.61,01003
1,4,51,3,5.88,23,45.1,25,49.02,01004
1,5,41,14,34.15,14,34.15,13,31.71,01005
1,6,48,6,12.5,16,33.33,26,54.17,01006
1,7,27,4,14.81,10,37.04,13,48.15,01007
1,8,64,12,18.75,30,46.88,22,34.38,01008
1,9,80,16,20.0,27,33.75,37,46.25,01009
1,10,54,7,12.96,25,46.3,22,40.74,01010
1,11,40,12,30.0,10,25.0,18,45.0,01011
1,12,60,14,23.33,21,35.0,25,41.67,01012
1,13,127,35,27.56,37,29.13,55,43.31,01013
1,14,69,17,24.64,25,36.23,27,39.13,01014
1,15,55,20,36.36,11,20.0,24,43.64,01015
1,16,60,17,28.33,17,28.33,26,43.33,01016
1,17,21,4,19.05,9,42.86,8,38.1,01017
1,18,51,13,25.49,16,31.37,22,43.14,01018
1,19,48,13,27.08,19,39.58,16,33.33,01019
1,20,109,28,25.69,33,30.28,48,44.04,01020
1,21,61,10,16.39,31,50.82,20,32.79,01021
1,22,45,11,24.44,13,28.89,21,46.67,01022
1,23,58,14,24.14,21,36.21,23,39.66,01023
1,24,135,30,22.22,36,26.67,69,51.11,01024
1,25,42,9,21.43,15,35.71,18,42.86,01025
1,26,25,7,28.0,6,24.0,12,48.0,01026
1,27,30,3,10.0,8,26.67,19,63.33,01027
1,28,20,8,40.0,6,30.0,6,30.0,01028
1,29,57,10,17.54,15,26.32,32,56.14,01029
1,30,132,31,23.48,48,36.36,53,40.15,01030
1,31,43,8,18.6,21,48.84,14,32.56,01031
1,32,55,11,20.0,17,30.91,27,49.09,01032
1,33,58,13,22.41,15,25.86,30,51.72,01033
1,34,29,7,24.14,10,34.48,12,41.38,01034
1,35,34,6,17.65,14,41.18,14,41.18,01035
1,36,44,10,22.73,13,29.55,21,47.73,01036
1,37,62,18,29.03,14,22.58,30,48.39,01037
1,38,34,9,26.47,12,35.29,13,38.24,01038
1,39,61,9,14.75,21,34.43,31,50.82,01039
1,40,30,5,16.67,15,50.0,10,33.33,01040
1,41,47,11,23.4,15,31.91,21,44.68,01041
1,42,36,9,25.0,15,41.67,12,33.33,01042
1,43,66,16,24.24,26,39.39,24,36.36,01043
1,44,29,7,24.14,15,51.72,7,24.14,01044
1,45,59,14,23.73,14,23.73,31,52.54,01045
1,46,67,6,8.96,30,44.78,31,46.27,01046
1,47,52,10,19.23,22,42.31,20,38.46,01047
1,48,65,14,21.54,28,43.08,23,35.38,01048
2,1,127,22,17.32,58,45.67,47,37.01,02001
2,2,15,4,26.67,4,26.67,7,46.67,02002
2,3,92,26,28.26,30,32.61,36,39.13,02003
2,4,67,24,35.82,19,28.36,24,35.82,02004
2,5,89,23,25.84,46,51.69,20,22.47,02005
2,6,66,8,12.12,33,50.0,25,37.88,02006
2,7,163,34,20.86,84,51.53,45,27.61,02007
2,8,123,14,11.38,62,50.41,47,38.21,02008
2,9,80,21,26.25,24,30.0,35,43.75,02009
2,10,97,23,23.71,47,48.45,27,27.84,02010
2,11,153,18,11.76,92,60.13,43,28.1,02011
2,12,80,10,12.5,40,50.0,30,37.5,02012
2,13,140,28,20.0,73,52.14,39,27.86,02013
2,14,162,20,12.35,85,52.47,57,35.19,02014
2,15,57,19,33.33,23,40.35,15,26.32,02015
2,16,72,16,22.22,42,58.33,14,19.44,02016
2,17,85,34,40.0,35,41.18,16,18.82,02017
2,18,91,13,14.29,47,51.65,31,34.07,02018
2,19,117,22,18.8,64,54.7,31,26.5,02019
2,20,198,34,17.17,112,56.57,52,26.26,02020
2,21,158,35,22.15,59,37.34,64,40.51,02021
2,22,161,20,12.42,83,51.55,58,36.02,02022
2,23,70,17,24.29,29,41.43,24,34.29,02023
2,24,51,8,15.69,22,43.14,21,41.18,02024
2,25,98,22,22.45,41,41.84,35,35.71,02025
2,26,98,15,15.31,47,47.96,36,36.73,02026
2,27,94,17,18.09,38,40.43,39,41.49,02027
2,28,45,13,28.89,17,37.78,15,33.33,02028
2,29,57,21,36.84,14,24.56,22,38.6,02029
2,30,80,14,17.5,34,42.5,32,40.0,02030
2,31,121,15,12.4,71,58.68,35,28.93,02031
2,32,33,13,39.39,10,30.3,10,30.3,02032
2,33,45,13,28.89,17,37.78,15,33.33,02033
2,34,124,37,29.84,46,37.1,41,33.06,02034
2,35,87,12,13.79,46,52.87,29,33.33,02035
2,36,147,23,15.65,73,49.66,51,34.69,02036
2,37,77,5,6.49,46,59.74,26,33.77,02037
2,38,144,16,11.11,79,54.86,49,34.03,02038
2,39,79,20,25.32,31,39.24,28,35.44,02039
2,40,164,36,21.95,62,37.8,66,40.24,02040
2,41,40,16,40.0,13,32.5,11,27.5,02041
2,42,88,29,32.95,26,29.55,33,37.5,02042
2,43,126,21,16.67,68,53.97,37,29.37,02043
2,44,87,17,19.54,36,41.38,34,39.08,02044
2,45,101,21,20.79,44,43.56,36,35.64,02045
2,46,164,15,9.15,105,64.02,44,26.83,02046
2,47,150,40,26.67,64,42.67,46,30.67,02047
2,48,108,26,24.07,41,37.96,41,37.96,02048
2,49,83,11,13.25,45,54.22,27,32.53,02049
2,50,47,15,31.91,11,23.4,21,44.68,02050
2,51,62,19,30.65,29,46.77,14,22.58,02051
2,52,145,36,24.83,61,42.07,48,33.1,02052
2,53,54,9,16.67,27,50.0,18,33.33,02053
2,54,33,5,15.15,16,48.48,12,36.36,02054
3,1,115,20,17.39,69,60.0,26,22.61,03001
3,2,175,30,17.14,96,54.86,49,28.0,03002
3,3,86,20,23.26,36,41.86,30,34.88,03003
3,4,82,14,17.07,44,53.66,24,29.27,03004
3,5,111,17,15.32,57,51.35,37,33.33,03005
3,6,11,4,36.36,6,54.55,1,9.09,03006
3,7,158,36,22.78,87,55.06,35,22.15,03007
3,8,82,18,21.95,36,43.9,28,34.15,03008
3,9,105,13,12.38,59,56.19,33,31.43,03009
3,10,30,7,23.33,16,53.33,7,23.33,03010
3,11,99,11,11.11,69,69.7,19,19.19,03011
3,12,71,16,22.54,43,60.56,12,16.9,03012
3,13,35,15,42.86,9,25.71,11,31.43,03013
3,14,107,29,27.1,54,50.47,24,22.43,03014
3,15,101,24,23.76,44,43.56,33,32.67,03015
3,16,92,16,17.39,64,69.57,12,13.04,03016
3,17,42,13,30.95,18,42.86,11,26.19,03017
3,18,50,18,36.0,18,36.0,14,28.0,03018
3,19,16,5,31.25,5,31.25,6,37.5,03019
3,20,79,13,16.46,41,51.9,25,31.65,03020
3,21,32,14,43.75,12,37.5,6,18.75,03021
3,22,56,11,19.64,32,57.14,13,23.21,03022
3,23,85,18,21.18,45,52.94,22,25.88,03023
3,24,130,30,23.08,60,46.15,40,30.77,03024
3,25,67,17,25.37,28,41.79,22,32.84,03025
3,26,18,2,11.11,11,61.11,5,27.78,03026
3,27,91,17,18.68,50,54.95,24,26.37,03027
3,28,104,18,17.31,59,56.73,27,25.96,03028
3,29,101,25,24.75,45,44.55,31,30.69,03029
3,30,89,15,16.85,54,60.67,20,22.47,03030
3,31,187,44,23.53,94,50.27,49,26.2,03031
3,32,67,7,10.45,49,73.13,11,16.42,03032
3,33,128,21,16.41,66,51.56,41,32.03,03033
3,34,95,14,14.74,61,64.21,20,21.05,03034
3,35,90,16,17.78,54,60.0,20,22.22,03035
3,36,24,10,41.67,8,33.33,6,25.0,03036
3,37,41,5,12.2,21,51.22,15,36.59,03037
3,38,215,55,25.58,108,50.23,52,24.19,03038
3,39,216,41,18.98,133,61.57,42,19.44,03039
3,40,109,19,17.43,45,41.28,45,41.28,03040
3,41,105,32,30.48,34,32.38,39,37.14,03041
3,42,86,19,22.09,42,48.84,25,29.07,03042
3,43,34,10,29.41,11,32.35,13,38.24,03043
3,44,19,3,15.79,12,63.16,4,21.05,03044
3,45,150,36,24.0,67,44.67,47,31.33,03045
3,46,40,15,37.5,6,15.0,19,47.5,03046
3,47,58,13,22.41,22,37.93,23,39.66,03047
3,48,50,12,24.0,22,44.0,16,32.0,03048
3,49,47,9,19.15,24,51.06,14,29.79,03049
3,50,35,6,17.14,21,60.0,8,22.86,03050
4,1,168,17,10.12,111,66.07,40,23.81,04001
4,2,196,30,15.31,125,63.78,41,20.92,04002
4,3,152,23,15.13,90,59.21,39,25.66,04003
4,4,147,34,23.13,72,48.98,41,27.89,04004
4,5,174,23,13.22,115,66.09,36,20.69,04005
4,6,72,5,6.94,54,75.0,13,18.06,04006
4,7,178,31,17.42,109,61.24,38,21.35,04007
4,8,176,27,15.34,107,60.8,42,23.86,04008
4,9,305,33,10.82,209,68.52,63,20.66,04009
4,10,141,26,18.44,86,60.99,29,20.57,04010
4,11,108,19,17.59,57,52.78,32,29.63,04011
4,12,89,14,15.73,54,60.67,21,23.6,04012
4,13,116,16,13.79,76,65.52,24,20.69,04013
4,14,72,14,19.44,44,61.11,14,19.44,04014
4,15,106,12,11.32,69,65.09,25,23.58,04015
4,16,167,32,19.16,91,54.49,44,26.35,04016
4,17,144,22,15.28,87,60.42,35,24.31,04017
4,18,106,14,13.21,57,53.77,35,33.02,04018
4,19,129,23,17.83,69,53.49,37,28.68,04019
4,20,119,27,22.69,54,45.38,38,31.93,04020
4,21,161,24,14.91,107,66.46,30,18.63,04021
4,22,156,17,10.9,93,59.62,46,29.49,04022
4,23,102,13,12.75,64,62.75,25,24.51,04023
4,24,115,19,16.52,69,60.0,27,23.48,04024
4,25,192,23,11.98,135,70.31,34,17.71,04025
4,26,128,21,16.41,82,64.06,25,19.53,04026
4,27,130,14,10.77,79,60.77,37,28.46,04027
4,28,81,12,14.81,51,62.96,18,22.22,04028
4,29,123,18,14.63,77,62.6,28,22.76,04029
4,30,114,17,14.91,62,54.39,35,30.7,04030
4,31,65,5,7.69,47,72.31,13,20.0,04031
4,32,115,7,6.09,72,62.61,36,31.3,04032
4,33,131,17,12.98,92,70.23,22,16.79,04033
4,34,82,6,7.32,61,74.39,15,18.29,04034
4,35,90,13,14.44,53,58.89,24,26.67,04035
4,36,87,8,9.2,58,66.67,21,24.14,04036
4,37,1,0,0.0,0,0.0,1,100.0,04037
4,38,217,19,8.76,171,78.8,27,12.44,04038
4,39,88,12,13.64,52,59.09,24,27.27,04039
4,40,144,31,21.53,74,51.39,39,27.08,04040
4,41,44,4,9.09,28,63.64,12,27.27,04041
4,42,161,26,16.15,90,55.9,45,27.95,04042
4,43,75,6,8.0,45,60.0,24,32.0,04043
4,44,62,4,6.45,34,54.84,24,38.71,04044
4,45,274,32,11.68,187,68.25,55,20.07,04045
4,46,103,15,14.56,59,57.28,29,28.16,04046
4,47,121,15,12.4,79,65.29,27,22.31,04047
4,48,147,12,8.16,112,76.19,23,15.65,04048
4,49,116,22,18.97,64,55.17,30,25.86,04049
4,50,143,29,20.28,78,54.55,36,25.17,04050
4,51,173,32,18.5,109,63.01,32,18.5,04051
4,52,146,32,21.92,73,50.0,41,28.08,04052
5,1,138,22,15.94,89,64.49,27,19.57,05001
5,2,162,25,15.43,87,53.7,50,30.86,05002
5,3,59,6,10.17,44,74.58,9,15.25,05003
5,4,90,13,14.44,53,58.89,24,26.67,05004
5,5,103,25,24.27,45,43.69,33,32.04,05005
5,6,154,32,20.78,82,53.25,40,25.97,05006
5,7,160,30,18.75,84,52.5,46,28.75,05007
5,8,130,8,6.15,87,66.92,35,26.92,05008
5,9,108,19,17.59,60,55.56,29,26.85,05009
5,10,85,19,22.35,40,47.06,26,30.59,05010
5,11,250,31,12.4,156,62.4,63,25.2,05011
5,12,67,18,26.87,33,49.25,16,23.88,05012
5,13,127,22,17.32,70,55.12,35,27.56,05013
5,14,205,24,11.71,129,62.93,52,25.37,05014
5,15,85,9,10.59,52,61.18,24,28.24,05015
5,16,80,16,20.0,38,47.5,26,32.5,05016
5,17,129,36,27.91,53,41.09,40,31.01,05017
5,18,116,29,25.0,53,45.69,34,29.31,05018
5,19,67,7,10.45,42,62.69,18,26.87,05019
5,20,38,7,18.42,23,60.53,8,21.05,05020
5,21,166,27,16.27,84,50.6,55,33.13,05021
5,22,122,39,31.97,46,37.7,37,30.33,05022
5,23,75,15,20.0,38,50.67,22,29.33,05023
5,24,133,13,9.77,97,72.93,23,17.29,05024
5,25,95,20,21.05,52,54.74,23,24.21,05025
5,26,144,20,13.89,75,52.08,49,34.03,05026
5,27,99,6,6.06,57,57.58,36,36.36,05027
5,28,167,24,14.37,112,67.07,31,18.56,05028
5,29,113,11,9.73,81,71.68,21,18.58,05029
5,30,91,7,7.69,58,63.74,26,28.57,05030
5,31,95,18,18.95,54,56.84,23,24.21,05031
5,32,257,27,10.51,178,69.26,52,20.23,05032
5,33,113,29,25.66,49,43.36,35,30.97,05033
5,34,123,30,24.39,58,47.15,35,28.46,05034
5,35,151,18,11.92,92,60.93,41,27.15,05035
5,36,209,48,22.97,95,45.45,66,31.58,05036
5,37,260,30,11.54,152,58.46,78,30.0,05037
5,38,70,19,27.14,30,42.86,21,30.0,05038
5,39,123,18,14.63,74,60.16,31,25.2,05039
5,40,106,24,22.64,54,50.94,28,26.42,05040
5,41,145,9,6.21,108,74.48,28,19.31,05041
5,42,60,18,30.0,26,43.33,16,26.67,05042
5,43,143,12,8.39,93,65.03,38,26.57,05043
5,44,114,19,16.67,66,57.89,29,25.44,05044
5,45,103,20,19.42,54,52.43,29,28.16,05045
5,46,124,15,12.1,76,61.29,33,26.61,05046
5,47,92,11,11.96,58,63.04,23,25.0,05047
5,48,81,22,27.16,39,48.15,20,24.69,05048
6,1,209,34,16.27,136,65.07,39,18.66,06001
6,2,172,25,14.53,116,67.44,31,18.02,06002
6,3,162,14,8.64,115,70.99,33,20.37,06003
6,4,84,32,38.1,30,35.71,22,26.19,06004
6,5,134,23,17.16,96,71.64,15,11.19,06005
6,6,256,36,14.06,178,69.53,42,16.41,06006
6,7,184,43,23.37,98,53.26,43,23.37,06007
6,8,192,29,15.1,119,61.98,44,22.92,06008
6,9,146,21,14.38,99,67.81,26,17.81,06009
6,10,259,46,17.76,153,59.07,60,23.17,06010
6,11,107,13,12.15,72,67.29,22,20.56,06011
6,12,131,36,27.48,56,42.75,39,29.77,06012
