ward,precinct,total,William G. Gamboney,William G. Gamboney Percent,precinct_id
1,6,10,10,100.0,01006
2,2,13,13,100.0,02002
2,3,71,71,100.0,02003
2,4,51,51,100.0,02004
2,5,66,66,100.0,02005
2,6,61,61,100.0,02006
2,9,67,67,100.0,02009
2,10,73,73,100.0,02010
2,12,55,55,100.0,02012
2,13,109,109,100.0,02013
2,15,42,42,100.0,02015
2,16,57,57,100.0,02016
2,17,67,67,100.0,02017
2,23,53,53,100.0,02023
2,25,74,74,100.0,02025
2,27,68,68,100.0,02027
2,28,27,27,100.0,02028
2,29,42,42,100.0,02029
2,32,28,28,100.0,02032
2,33,29,29,100.0,02033
2,34,96,96,100.0,02034
2,39,60,60,100.0,02039
2,41,34,34,100.0,02041
2,42,69,69,100.0,02042
2,45,76,76,100.0,02045
2,47,123,123,100.0,02047
2,48,82,82,100.0,02048
2,50,34,34,100.0,02050
2,51,46,46,100.0,02051
2,52,118,118,100.0,02052
22,7,73,73,100.0,22007
22,21,73,73,100.0,22021
24,1,89,89,100.0,24001
24,2,47,47,100.0,24002
24,3,41,41,100.0,24003
24,4,60,60,100.0,24004
24,5,65,65,100.0,24005
24,6,79,79,100.0,24006
24,7,59,59,100.0,24007
24,8,50,50,100.0,24008
24,9,60,60,100.0,24009
24,10,33,33,100.0,24010
24,11,92,92,100.0,24011
24,12,57,57,100.0,24012
24,13,44,44,100.0,24013
24,14,76,76,100.0,24014
24,15,47,47,100.0,24015
24,16,37,37,100.0,24016
24,17,45,45,100.0,24017
24,18,86,86,100.0,24018
24,19,122,122,100.0,24019
24,20,37,37,100.0,24020
24,21,30,30,100.0,24021
24,22,118,118,100.0,24022
24,23,87,87,100.0,24023
24,24,106,106,100.0,24024
24,25,54,54,100.0,24025
24,26,69,69,100.0,24026
24,27,94,94,100.0,24027
24,28,89,89,100.0,24028
24,29,87,87,100.0,24029
24,30,49,49,100.0,24030
24,31,68,68,100.0,24031
24,32,67,67,100.0,24032
24,34,63,63,100.0,24034
24,35,95,95,100.0,24035
24,36,93,93,100.0,24036
24,37,79,79,100.0,24037
24,38,77,77,100.0,24038
24,39,64,64,100.0,24039
24,40,79,79,100.0,24040
24,41,45,45,100.0,24041
24,42,31,31,100.0,24042
24,43,85,85,100.0,24043
24,45,40,40,100.0,24045
24,46,78,78,100.0,24046
24,47,59,59,100.0,24047
24,48,79,79,100.0,24048
24,49,142,142,100.0,24049
24,50,116,116,100.0,24050
25,3,19,19,100.0,25003
25,4,69,69,100.0,25004
25,10,35,35,100.0,25010
25,21,64,64,100.0,25021
25,25,12,12,100.0,25025
25,28,72,72,100.0,25028
25,29,64,64,100.0,25029
26,2,16,16,100.0,26002
26,10,34,34,100.0,26010
26,17,30,30,100.0,26017
26,33,0,0,0.0,26033
27,1,47,47,100.0,27001
27,2,53,53,100.0,27002
27,3,90,90,100.0,27003
27,7,50,50,100.0,27007
27,8,60,60,100.0,27008
27,14,86,86,100.0,27014
27,15,102,102,100.0,27015
27,16,24,24,100.0,27016
27,17,39,39,100.0,27017
27,19,91,91,100.0,27019
27,22,94,94,100.0,27022
27,23,73,73,100.0,27023
27,24,99,99,100.0,27024
27,25,36,36,100.0,27025
27,26,77,77,100.0,27026
27,27,51,51,100.0,27027
27,29,29,29,100.0,27029
27,31,52,52,100.0,27031
27,33,38,38,100.0,27033
27,34,116,116,100.0,27034
27,36,54,54,100.0,27036
27,44,111,111,100.0,27044
27,45,18,18,100.0,27045
28,1,56,56,100.0,28001
28,2,75,75,100.0,28002
28,3,36,36,100.0,28003
28,4,69,69,100.0,28004
28,5,56,56,100.0,28005
28,6,46,46,100.0,28006
28,7,35,35,100.0,28007
28,8,57,57,100.0,28008
28,9,60,60,100.0,28009
28,10,24,24,100.0,28010
28,11,34,34,100.0,28011
28,12,27,27,100.0,28012
28,13,31,31,100.0,28013
28,14,82,82,100.0,28014
28,15,60,60,100.0,28015
28,16,43,43,100.0,28016
28,17,53,53,100.0,28017
28,18,88,88,100.0,28018
28,19,71,71,100.0,28019
28,20,80,80,100.0,28020
28,21,76,76,100.0,28021
28,22,62,62,100.0,28022
28,23,107,107,100.0,28023
28,24,29,29,100.0,28024
28,25,41,41,100.0,28025
28,26,54,54,100.0,28026
28,27,84,84,100.0,28027
28,28,46,46,100.0,28028
28,30,34,34,100.0,28030
28,31,53,53,100.0,28031
28,32,52,52,100.0,28032
28,33,81,81,100.0,28033
28,35,48,48,100.0,28035
28,36,93,93,100.0,28036
28,37,102,102,100.0,28037
28,38,65,65,100.0,28038
28,39,55,55,100.0,28039
28,40,98,98,100.0,28040
28,41,38,38,100.0,28041
28,42,45,45,100.0,28042
28,43,81,81,100.0,28043
28,44,85,85,100.0,28044
28,45,56,56,100.0,28045
28,46,51,51,100.0,28046
28,47,49,49,100.0,28047
28,48,52,52,100.0,28048
28,49,60,60,100.0,28049
28,50,43,43,100.0,28050
28,51,48,48,100.0,28051
28,52,47,47,100.0,28052
28,53,65,65,100.0,28053
28,54,49,49,100.0,28054
28,55,34,34,100.0,28055
29,1,161,161,100.0,29001
29,3,135,135,100.0,29003
29,4,117,117,100.0,29004
29,5,89,89,100.0,29005
29,8,54,54,100.0,29008
29,11,87,87,100.0,29011
29,13,51,51,100.0,29013
29,14,115,115,100.0,29014
29,16,194,194,100.0,29016
29,18,90,90,100.0,29018
29,19,129,129,100.0,29019
29,20,124,124,100.0,29020
29,21,64,64,100.0,29021
29,22,83,83,100.0,29022
29,23,92,92,100.0,29023
29,26,93,93,100.0,29026
29,27,61,61,100.0,29027
29,28,102,102,100.0,29028
29,29,153,153,100.0,29029
29,31,52,52,100.0,29031
29,33,96,96,100.0,29033
29,34,61,61,100.0,29034
29,35,90,90,100.0,29035
29,37,87,87,100.0,29037
29,38,88,88,100.0,29038
29,40,136,136,100.0,29040
29,41,102,102,100.0,29041
29,42,121,121,100.0,29042
29,43,122,122,100.0,29043
29,44,90,90,100.0,29044
29,45,74,74,100.0,29045
29,46,65,65,100.0,29046
29,47,130,130,100.0,29047
29,48,73,73,100.0,29048
37,4,69,69,100.0,37004
37,5,98,98,100.0,37005
37,6,83,83,100.0,37006
37,7,84,84,100.0,37007
37,8,30,30,100.0,37008
37,9,72,72,100.0,37009
37,13,68,68,100.0,37013
37,14,106,106,100.0,37014
37,15,70,70,100.0,37015
37,17,61,61,100.0,37017
37,18,104,104,100.0,37018
37,20,59,59,100.0,37020
37,21,72,72,100.0,37021
37,23,69,69,100.0,37023
37,25,81,81,100.0,37025
37,27,88,88,100.0,37027
37,28,82,82,100.0,37028
37,29,74,74,100.0,37029
37,30,42,42,100.0,37030
37,31,84,84,100.0,37031
37,32,59,59,100.0,37032
37,33,51,51,100.0,37033
37,34,73,73,100.0,37034
37,35,101,101,100.0,37035
37,36,62,62,100.0,37036
37,37,80,80,100.0,37037
37,38,72,72,100.0,37038
37,40,68,68,100.0,37040
37,41,84,84,100.0,37041
37,43,61,61,100.0,37043
42,18,80,80,100.0,42018
42,21,21,21,100.0,42021
42,61,28,28,100.0,42061
