ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
24,16,51,51,100.0,24016
24,41,24,24,100.0,24041
24,46,69,69,100.0,24046
28,1,24,24,100.0,28001
28,4,93,93,100.0,28004
28,8,62,62,100.0,28008
28,12,40,40,100.0,28012
28,14,103,103,100.0,28014
28,15,76,76,100.0,28015
28,16,54,54,100.0,28016
28,17,82,82,100.0,28017
28,19,92,92,100.0,28019
28,27,10,10,100.0,28027
28,30,40,40,100.0,28030
28,38,76,76,100.0,28038
28,39,70,70,100.0,28039
28,41,55,55,100.0,28041
28,42,20,20,100.0,28042
28,45,81,81,100.0,28045
28,46,63,63,100.0,28046
28,47,68,68,100.0,28047
28,48,64,64,100.0,28048
28,49,72,72,100.0,28049
28,51,2,2,100.0,28051
28,53,87,87,100.0,28053
29,1,186,186,100.0,29001
29,3,158,158,100.0,29003
29,7,2,2,100.0,29007
29,11,114,114,100.0,29011
29,14,152,152,100.0,29014
29,16,215,215,100.0,29016
29,18,122,122,100.0,29018
29,19,161,161,100.0,29019
29,20,156,156,100.0,29020
29,21,79,79,100.0,29021
29,22,112,112,100.0,29022
29,23,103,103,100.0,29023
29,27,66,66,100.0,29027
29,28,126,126,100.0,29028
29,31,88,88,100.0,29031
29,34,74,74,100.0,29034
29,38,108,108,100.0,29038
29,42,146,146,100.0,29042
37,2,69,69,100.0,37002
37,5,118,118,100.0,37005
37,6,124,124,100.0,37006
37,7,113,113,100.0,37007
37,9,61,61,100.0,37009
37,10,128,128,100.0,37010
37,14,123,123,100.0,37014
37,15,94,94,100.0,37015
37,16,108,108,100.0,37016
37,17,79,79,100.0,37017
37,18,8,8,100.0,37018
37,20,90,90,100.0,37020
37,21,113,113,100.0,37021
37,22,80,80,100.0,37022
37,23,91,91,100.0,37023
37,24,68,68,100.0,37024
37,25,115,115,100.0,37025
37,26,124,124,100.0,37026
37,27,112,112,100.0,37027
37,29,8,8,100.0,37029
37,31,107,107,100.0,37031
37,32,88,88,100.0,37032
37,33,46,46,100.0,37033
37,34,94,94,100.0,37034
37,36,94,94,100.0,37036
37,38,108,108,100.0,37038
37,40,104,104,100.0,37040
37,41,109,109,100.0,37041
37,43,9,9,100.0,37043
