ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Deborah ''Debbie'' Halvorson,Deborah ''Debbie'' Halvorson Percent,precinct_id
34,4,177,130,73.45,47,26.55,34004
34,18,163,124,76.07,39,23.93,34018
34,20,18,14,77.78,4,22.22,34020
34,22,190,153,80.53,37,19.47,34022
34,23,127,104,81.89,23,18.11,34023
34,24,147,115,78.23,32,21.77,34024
34,27,129,103,79.84,26,20.16,34027
34,28,95,70,73.68,25,26.32,34028
34,30,217,175,80.65,42,19.35,34030
34,36,191,155,81.15,36,18.85,34036
34,37,142,116,81.69,26,18.31,34037
34,38,105,86,81.9,19,18.1,34038
34,39,93,73,78.49,20,21.51,34039
34,41,76,57,75.0,19,25.0,34041
34,52,104,86,82.69,18,17.31,34052
34,53,78,65,83.33,13,16.67,34053
