ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
12,1,69,69,100.0,12001
12,2,60,60,100.0,12002
12,3,34,34,100.0,12003
12,4,18,18,100.0,12004
12,5,29,29,100.0,12005
12,6,63,63,100.0,12006
12,7,94,94,100.0,12007
12,10,72,72,100.0,12010
12,11,123,123,100.0,12011
12,12,69,69,100.0,12012
12,13,99,99,100.0,12013
12,15,53,53,100.0,12015
12,18,82,82,100.0,12018
12,19,20,20,100.0,12019
12,21,56,56,100.0,12021
12,22,57,57,100.0,12022
12,24,21,21,100.0,12024
13,1,169,169,100.0,13001
13,2,135,135,100.0,13002
13,3,109,109,100.0,13003
13,4,227,227,100.0,13004
13,5,161,161,100.0,13005
13,7,153,153,100.0,13007
13,8,175,175,100.0,13008
13,9,143,143,100.0,13009
13,12,131,131,100.0,13012
13,13,208,208,100.0,13013
13,14,141,141,100.0,13014
13,15,220,220,100.0,13015
13,16,183,183,100.0,13016
13,17,154,154,100.0,13017
13,18,116,116,100.0,13018
13,19,154,154,100.0,13019
13,20,125,125,100.0,13020
13,22,120,120,100.0,13022
13,23,119,119,100.0,13023
13,24,159,159,100.0,13024
13,25,128,128,100.0,13025
13,26,217,217,100.0,13026
13,27,156,156,100.0,13027
13,28,94,94,100.0,13028
13,29,149,149,100.0,13029
13,30,204,204,100.0,13030
13,31,99,99,100.0,13031
13,32,94,94,100.0,13032
13,33,157,157,100.0,13033
13,34,262,262,100.0,13034
13,35,192,192,100.0,13035
13,36,85,85,100.0,13036
13,37,185,185,100.0,13037
13,39,164,164,100.0,13039
13,40,214,214,100.0,13040
13,41,159,159,100.0,13041
13,42,169,169,100.0,13042
13,43,209,209,100.0,13043
13,44,387,387,100.0,13044
13,45,203,203,100.0,13045
13,46,161,161,100.0,13046
13,47,175,175,100.0,13047
14,1,116,116,100.0,14001
14,3,86,86,100.0,14003
14,4,82,82,100.0,14004
14,7,113,113,100.0,14007
14,8,73,73,100.0,14008
14,9,111,111,100.0,14009
14,11,83,83,100.0,14011
14,12,102,102,100.0,14012
14,15,112,112,100.0,14015
14,22,138,138,100.0,14022
15,10,26,26,100.0,15010
16,17,39,39,100.0,16017
16,39,38,38,100.0,16039
22,1,43,43,100.0,22001
22,5,2,2,100.0,22005
22,8,39,39,100.0,22008
22,10,79,79,100.0,22010
22,12,68,68,100.0,22012
22,13,49,49,100.0,22013
22,14,47,47,100.0,22014
22,15,24,24,100.0,22015
22,16,87,87,100.0,22016
22,18,54,54,100.0,22018
22,22,43,43,100.0,22022
22,23,18,18,100.0,22023
22,24,60,60,100.0,22024
22,28,40,40,100.0,22028
23,1,136,136,100.0,23001
23,4,105,105,100.0,23004
23,6,66,66,100.0,23006
23,7,95,95,100.0,23007
23,8,95,95,100.0,23008
23,9,114,114,100.0,23009
23,10,113,113,100.0,23010
23,11,251,251,100.0,23011
23,12,128,128,100.0,23012
23,13,148,148,100.0,23013
23,15,104,104,100.0,23015
23,16,136,136,100.0,23016
23,18,191,191,100.0,23018
23,19,112,112,100.0,23019
23,20,114,114,100.0,23020
23,22,117,117,100.0,23022
23,23,96,96,100.0,23023
23,24,3,3,100.0,23024
23,26,101,101,100.0,23026
23,27,167,167,100.0,23027
23,28,108,108,100.0,23028
23,29,56,56,100.0,23029
23,34,81,81,100.0,23034
23,36,113,113,100.0,23036
23,38,103,103,100.0,23038
23,39,268,268,100.0,23039
23,40,85,85,100.0,23040
23,41,39,39,100.0,23041
23,43,135,135,100.0,23043
23,46,109,109,100.0,23046
23,47,151,151,100.0,23047
23,48,26,26,100.0,23048
23,49,222,222,100.0,23049
24,33,74,74,100.0,24033
28,29,89,89,100.0,28029
28,34,25,25,100.0,28034
