ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,Cuahut̩moc 'Temoc' Morfin,Cuahut̩moc 'Temoc' Morfin Percent,Josip ''Joe'' Trutin,Josip ''Joe'' Trutin Percent,precinct_id
11,1,132,86,65.15,25,18.94,21,15.91,11001
11,2,109,53,48.62,37,33.94,19,17.43,11002
11,3,78,59,75.64,8,10.26,11,14.1,11003
11,4,94,42,44.68,16,17.02,36,38.3,11004
11,5,67,26,38.81,13,19.4,28,41.79,11005
11,6,134,56,41.79,41,30.6,37,27.61,11006
11,7,112,70,62.5,21,18.75,21,18.75,11007
11,8,114,44,38.6,25,21.93,45,39.47,11008
11,9,85,45,52.94,12,14.12,28,32.94,11009
11,10,62,38,61.29,16,25.81,8,12.9,11010
11,11,126,62,49.21,21,16.67,43,34.13,11011
11,13,100,67,67.0,19,19.0,14,14.0,11013
11,14,75,51,68.0,10,13.33,14,18.67,11014
11,16,128,71,55.47,28,21.88,29,22.66,11016
11,17,159,93,58.49,42,26.42,24,15.09,11017
11,18,81,31,38.27,11,13.58,39,48.15,11018
11,19,73,30,41.1,11,15.07,32,43.84,11019
11,23,80,58,72.5,12,15.0,10,12.5,11023
11,25,83,55,66.27,12,14.46,16,19.28,11025
11,26,132,62,46.97,19,14.39,51,38.64,11026
11,27,94,72,76.6,11,11.7,11,11.7,11027
11,29,120,75,62.5,21,17.5,24,20.0,11029
11,30,103,48,46.6,40,38.83,15,14.56,11030
11,33,73,57,78.08,7,9.59,9,12.33,11033
11,36,23,19,82.61,2,8.7,2,8.7,11036
11,38,159,108,67.92,21,13.21,30,18.87,11038
11,39,175,136,77.71,20,11.43,19,10.86,11039
11,40,75,45,60.0,6,8.0,24,32.0,11040
11,41,70,43,61.43,11,15.71,16,22.86,11041
11,42,79,53,67.09,15,18.99,11,13.92,11042
11,43,95,59,62.11,11,11.58,25,26.32,11043
11,44,100,48,48.0,11,11.0,41,41.0,11044
11,45,43,28,65.12,3,6.98,12,27.91,11045
11,47,91,55,60.44,16,17.58,20,21.98,11047
11,50,71,50,70.42,11,15.49,10,14.08,11050
12,5,16,11,68.75,4,25.0,1,6.25,12005
12,8,135,76,56.3,38,28.15,21,15.56,12008
12,9,48,31,64.58,12,25.0,5,10.42,12009
12,13,13,4,30.77,7,53.85,2,15.38,12013
12,14,62,29,46.77,31,50.0,2,3.23,12014
12,16,31,15,48.39,11,35.48,5,16.13,12016
12,19,52,26,50.0,20,38.46,6,11.54,12019
12,21,11,4,36.36,2,18.18,5,45.45,12021
12,23,60,35,58.33,19,31.67,6,10.0,12023
12,24,56,36,64.29,14,25.0,6,10.71,12024
16,13,5,4,80.0,1,20.0,0,0.0,16013
16,22,36,29,80.56,5,13.89,2,5.56,16022
20,4,35,21,60.0,11,31.43,3,8.57,20004
20,21,29,13,44.83,13,44.83,3,10.34,20021
25,1,103,50,48.54,51,49.51,2,1.94,25001
25,2,122,43,35.25,71,58.2,8,6.56,25002
25,5,110,82,74.55,21,19.09,7,6.36,25005
25,6,92,16,17.39,72,78.26,4,4.35,25006
25,7,69,22,31.88,45,65.22,2,2.9,25007
25,8,76,33,43.42,40,52.63,3,3.95,25008
25,9,125,65,52.0,50,40.0,10,8.0,25009
25,11,98,34,34.69,60,61.22,4,4.08,25011
25,12,88,25,28.41,56,63.64,7,7.95,25012
25,13,110,53,48.18,50,45.45,7,6.36,25013
25,14,73,40,54.79,28,38.36,5,6.85,25014
25,15,109,64,58.72,32,29.36,13,11.93,25015
25,16,96,77,80.21,17,17.71,2,2.08,25016
25,17,163,62,38.04,92,56.44,9,5.52,25017
25,18,207,165,79.71,30,14.49,12,5.8,25018
25,19,90,35,38.89,50,55.56,5,5.56,25019
25,20,129,77,59.69,43,33.33,9,6.98,25020
25,22,66,36,54.55,26,39.39,4,6.06,25022
25,23,142,50,35.21,85,59.86,7,4.93,25023
25,24,135,40,29.63,94,69.63,1,0.74,25024
25,26,38,11,28.95,27,71.05,0,0.0,25026
25,30,94,49,52.13,39,41.49,6,6.38,25030
