ward,precinct,total,John Cameron (Obama),John Cameron (Obama) Percent,Dan Montgomery (Obama),Dan Montgomery (Obama) Percent,Lakshmi Lakshmanan (Obama),Lakshmi Lakshmanan (Obama) Percent,Debra Shore (Obama),Debra Shore (Obama) Percent,Josina Morita (Obama),Josina Morita (Obama) Percent,Modesto Valle (Obama),Modesto Valle (Obama) Percent,Lou Lang (Obama),Lou Lang (Obama) Percent,Heather Steans (Obama),Heather Steans (Obama) Percent,Tom Tunney (Obama),Tom Tunney (Obama) Percent,precinct_id
40,3,639,69,10.8,68,10.64,74,11.58,72,11.27,68,10.64,71,11.11,69,10.8,74,11.58,74,11.58,40003
40,4,675,70,10.37,70,10.37,72,10.67,84,12.44,70,10.37,74,10.96,75,11.11,80,11.85,80,11.85,40004
40,7,609,64,10.51,65,10.67,66,10.84,77,12.64,64,10.51,68,11.17,65,10.67,70,11.49,70,11.49,40007
40,8,99,12,12.12,11,11.11,11,11.11,11,11.11,12,12.12,10,10.1,11,11.11,10,10.1,11,11.11,40008
40,9,554,63,11.37,59,10.65,57,10.29,64,11.55,57,10.29,64,11.55,64,11.55,64,11.55,62,11.19,40009
40,11,454,50,11.01,48,10.57,49,10.79,52,11.45,47,10.35,48,10.57,50,11.01,55,12.11,55,12.11,40011
40,12,605,65,10.74,64,10.58,67,11.07,69,11.4,66,10.91,66,10.91,67,11.07,70,11.57,71,11.74,40012
40,13,1356,146,10.77,141,10.4,148,10.91,164,12.09,143,10.55,144,10.62,143,10.55,171,12.61,156,11.5,40013
40,16,813,94,11.56,89,10.95,87,10.7,93,11.44,89,10.95,86,10.58,89,10.95,94,11.56,92,11.32,40016
40,18,450,52,11.56,48,10.67,50,11.11,54,12.0,47,10.44,48,10.67,51,11.33,53,11.78,47,10.44,40018
40,22,178,19,10.67,20,11.24,19,10.67,20,11.24,19,10.67,19,10.67,19,10.67,21,11.8,22,12.36,40022
40,26,747,81,10.84,80,10.71,79,10.58,93,12.45,77,10.31,79,10.58,79,10.58,93,12.45,86,11.51,40026
40,27,368,38,10.33,39,10.6,36,9.78,45,12.23,40,10.87,42,11.41,39,10.6,45,12.23,44,11.96,40027
40,28,764,90,11.78,92,12.04,82,10.73,94,12.3,78,10.21,80,10.47,84,10.99,86,11.26,78,10.21,40028
40,31,476,51,10.71,52,10.92,50,10.5,57,11.97,51,10.71,49,10.29,53,11.13,56,11.76,57,11.97,40031
40,33,511,58,11.35,54,10.57,55,10.76,61,11.94,54,10.57,58,11.35,56,10.96,57,11.15,58,11.35,40033
40,35,433,58,13.39,45,10.39,49,11.32,54,12.47,45,10.39,44,10.16,43,9.93,49,11.32,46,10.62,40035
40,36,656,73,11.13,68,10.37,67,10.21,80,12.2,72,10.98,69,10.52,70,10.67,81,12.35,76,11.59,40036
40,37,422,49,11.61,44,10.43,42,9.95,51,12.09,42,9.95,44,10.43,47,11.14,51,12.09,52,12.32,40037
40,39,369,46,12.47,39,10.57,39,10.57,41,11.11,41,11.11,40,10.84,40,10.84,43,11.65,40,10.84,40039
