ward,precinct,total,Jason C. Ervin,Jason C. Ervin Percent,precinct_id
28,1,70,70,100.0,28001
28,2,97,97,100.0,28002
28,3,47,47,100.0,28003
28,4,94,94,100.0,28004
28,5,68,68,100.0,28005
28,6,53,53,100.0,28006
28,7,47,47,100.0,28007
28,8,66,66,100.0,28008
28,9,70,70,100.0,28009
28,10,25,25,100.0,28010
28,11,41,41,100.0,28011
28,12,34,34,100.0,28012
28,13,36,36,100.0,28013
28,14,92,92,100.0,28014
28,15,66,66,100.0,28015
28,16,55,55,100.0,28016
28,17,74,74,100.0,28017
28,18,113,113,100.0,28018
28,19,87,87,100.0,28019
28,20,107,107,100.0,28020
28,21,93,93,100.0,28021
28,22,80,80,100.0,28022
28,23,134,134,100.0,28023
28,24,48,48,100.0,28024
28,25,58,58,100.0,28025
28,26,73,73,100.0,28026
28,27,93,93,100.0,28027
28,28,56,56,100.0,28028
28,29,76,76,100.0,28029
28,30,45,45,100.0,28030
28,31,73,73,100.0,28031
28,32,69,69,100.0,28032
28,33,110,110,100.0,28033
28,34,82,82,100.0,28034
28,35,55,55,100.0,28035
28,36,126,126,100.0,28036
28,37,151,151,100.0,28037
28,38,77,77,100.0,28038
28,39,71,71,100.0,28039
28,40,122,122,100.0,28040
28,41,54,54,100.0,28041
28,42,57,57,100.0,28042
28,43,116,116,100.0,28043
28,44,106,106,100.0,28044
28,45,84,84,100.0,28045
28,46,60,60,100.0,28046
28,47,58,58,100.0,28047
28,48,60,60,100.0,28048
28,49,78,78,100.0,28049
28,50,56,56,100.0,28050
28,51,75,75,100.0,28051
28,52,53,53,100.0,28052
28,53,85,85,100.0,28053
28,54,57,57,100.0,28054
28,55,40,40,100.0,28055
