ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,3,8,8,100.0,12003
12,4,8,8,100.0,12004
12,10,9,9,100.0,12010
12,17,74,74,100.0,12017
12,20,39,39,100.0,12020
14,2,152,152,100.0,14002
14,5,92,92,100.0,14005
14,6,53,53,100.0,14006
14,10,81,81,100.0,14010
14,13,83,83,100.0,14013
14,14,109,109,100.0,14014
14,16,78,78,100.0,14016
14,17,123,123,100.0,14017
14,18,45,45,100.0,14018
14,19,92,92,100.0,14019
14,20,52,52,100.0,14020
14,21,97,97,100.0,14021
14,23,76,76,100.0,14023
14,24,68,68,100.0,14024
14,25,61,61,100.0,14025
14,26,51,51,100.0,14026
14,27,103,103,100.0,14027
14,28,70,70,100.0,14028
14,29,135,135,100.0,14029
14,30,98,98,100.0,14030
14,31,59,59,100.0,14031
14,32,57,57,100.0,14032
15,1,98,98,100.0,15001
15,6,37,37,100.0,15006
15,13,56,56,100.0,15013
15,14,49,49,100.0,15014
15,15,25,25,100.0,15015
15,16,24,24,100.0,15016
15,25,31,31,100.0,15025
15,28,64,64,100.0,15028
15,32,38,38,100.0,15032
15,39,26,26,100.0,15039
16,2,36,36,100.0,16002
16,6,15,15,100.0,16006
16,7,43,43,100.0,16007
16,11,45,45,100.0,16011
16,13,31,31,100.0,16013
16,21,27,27,100.0,16021
16,23,27,27,100.0,16023
16,30,42,42,100.0,16030
16,32,36,36,100.0,16032
16,35,29,29,100.0,16035
16,39,7,7,100.0,16039
18,43,48,48,100.0,18043
23,2,64,64,100.0,23002
23,3,160,160,100.0,23003
23,5,44,44,100.0,23005
23,6,34,34,100.0,23006
23,10,57,57,100.0,23010
23,11,27,27,100.0,23011
23,12,0,0,0.0,23012
23,14,71,71,100.0,23014
23,16,20,20,100.0,23016
23,17,40,40,100.0,23017
23,21,92,92,100.0,23021
23,24,40,40,100.0,23024
23,25,46,46,100.0,23025
23,30,92,92,100.0,23030
23,31,82,82,100.0,23031
23,32,87,87,100.0,23032
23,33,156,156,100.0,23033
23,35,81,81,100.0,23035
23,37,72,72,100.0,23037
23,41,49,49,100.0,23041
23,42,84,84,100.0,23042
23,44,105,105,100.0,23044
23,45,93,93,100.0,23045
23,47,0,0,0.0,23047
23,48,35,35,100.0,23048
