ward,precinct,total,Sum Chu Ma (Obama),Sum Chu Ma (Obama) Percent,George Cardenas (Obama),George Cardenas (Obama) Percent,Antonio Munoz (Obama),Antonio Munoz (Obama) Percent,Raul Raymundo (Obama),Raul Raymundo (Obama) Percent,Suleyma Perez (Obama),Suleyma Perez (Obama) Percent,Celena Roldan (Obama),Celena Roldan (Obama) Percent,precinct_id
1,1,52,8,15.38,9,17.31,9,17.31,9,17.31,9,17.31,8,15.38,01001
1,9,381,62,16.27,62,16.27,71,18.64,61,16.01,61,16.01,64,16.8,01009
1,13,559,83,14.85,97,17.35,108,19.32,86,15.38,95,16.99,90,16.1,01013
1,15,257,42,16.34,41,15.95,47,18.29,40,15.56,45,17.51,42,16.34,01015
1,18,253,42,16.6,43,17.0,45,17.79,41,16.21,41,16.21,41,16.21,01018
1,19,234,37,15.81,40,17.09,43,18.38,38,16.24,39,16.67,37,15.81,01019
1,20,494,86,17.41,84,17.0,94,19.03,76,15.38,80,16.19,74,14.98,01020
1,22,238,34,14.29,40,16.81,48,20.17,43,18.07,35,14.71,38,15.97,01022
1,24,664,109,16.42,105,15.81,123,18.52,104,15.66,113,17.02,110,16.57,01024
1,27,135,21,15.56,21,15.56,26,19.26,22,16.3,22,16.3,23,17.04,01027
1,29,252,43,17.06,43,17.06,43,17.06,40,15.87,42,16.67,41,16.27,01029
1,30,559,87,15.56,94,16.82,102,18.25,92,16.46,97,17.35,87,15.56,01030
1,32,273,43,15.75,54,19.78,59,21.61,35,12.82,40,14.65,42,15.38,01032
1,34,151,22,14.57,27,17.88,30,19.87,25,16.56,23,15.23,24,15.89,01034
1,38,159,24,15.09,27,16.98,29,18.24,25,15.72,26,16.35,28,17.61,01038
1,43,268,41,15.3,50,18.66,51,19.03,39,14.55,45,16.79,42,15.67,01043
1,44,65,10,15.38,11,16.92,12,18.46,10,15.38,12,18.46,10,15.38,01044
11,3,270,37,13.7,47,17.41,53,19.63,43,15.93,51,18.89,39,14.44,11003
11,10,216,35,16.2,41,18.98,42,19.44,35,16.2,34,15.74,29,13.43,11010
11,18,258,40,15.5,43,16.67,60,23.26,38,14.73,39,15.12,38,14.73,11018
12,1,228,25,10.96,65,28.51,46,20.18,31,13.6,33,14.47,28,12.28,12001
12,2,199,25,12.56,73,36.68,35,17.59,20,10.05,27,13.57,19,9.55,12002
12,3,176,19,10.8,47,26.7,39,22.16,22,12.5,28,15.91,21,11.93,12003
12,4,94,12,12.77,24,25.53,18,19.15,11,11.7,17,18.09,12,12.77,12004
12,5,147,15,10.2,45,30.61,32,21.77,20,13.61,18,12.24,17,11.56,12005
12,7,328,38,11.59,104,31.71,57,17.38,41,12.5,50,15.24,38,11.59,12007
12,8,333,41,12.31,67,20.12,95,28.53,45,13.51,45,13.51,40,12.01,12008
12,9,150,21,14.0,34,22.67,37,24.67,18,12.0,19,12.67,21,14.0,12009
12,10,260,32,12.31,71,27.31,53,20.38,33,12.69,36,13.85,35,13.46,12010
12,11,343,40,11.66,115,33.53,75,21.87,38,11.08,41,11.95,34,9.91,12011
12,12,212,23,10.85,71,33.49,49,23.11,24,11.32,22,10.38,23,10.85,12012
12,13,324,35,10.8,105,32.41,67,20.68,39,12.04,40,12.35,38,11.73,12013
12,14,182,20,10.99,51,28.02,37,20.33,25,13.74,27,14.84,22,12.09,12014
12,15,165,20,12.12,51,30.91,37,22.42,16,9.7,21,12.73,20,12.12,12015
12,16,140,18,12.86,27,19.29,37,26.43,17,12.14,21,15.0,20,14.29,12016
12,19,263,36,13.69,67,25.48,51,19.39,33,12.55,39,14.83,37,14.07,12019
12,20,123,10,8.13,40,32.52,24,19.51,17,13.82,17,13.82,15,12.2,12020
12,21,242,32,13.22,67,27.69,45,18.6,31,12.81,33,13.64,34,14.05,12021
12,22,176,16,9.09,59,33.52,36,20.45,20,11.36,24,13.64,21,11.93,12022
12,23,198,26,13.13,42,21.21,43,21.72,30,15.15,31,15.66,26,13.13,12023
12,24,244,33,13.52,65,26.64,47,19.26,33,13.52,32,13.11,34,13.93,12024
14,2,586,93,15.87,100,17.06,119,20.31,90,15.36,94,16.04,90,15.36,14002
14,3,341,52,15.25,62,18.18,72,21.11,50,14.66,55,16.13,50,14.66,14003
14,4,282,42,14.89,58,20.57,56,19.86,42,14.89,45,15.96,39,13.83,14004
14,5,280,42,15.0,49,17.5,65,23.21,39,13.93,45,16.07,40,14.29,14005
14,6,144,16,11.11,27,18.75,35,24.31,23,15.97,25,17.36,18,12.5,14006
14,7,334,40,11.98,64,19.16,87,26.05,47,14.07,49,14.67,47,14.07,14007
14,8,255,37,14.51,46,18.04,58,22.75,36,14.12,42,16.47,36,14.12,14008
14,9,385,49,12.73,75,19.48,83,21.56,59,15.32,66,17.14,53,13.77,14009
14,10,281,42,14.95,48,17.08,63,22.42,43,15.3,45,16.01,40,14.23,14010
14,11,230,33,14.35,46,20.0,45,19.57,36,15.65,37,16.09,33,14.35,14011
14,12,406,56,13.79,82,20.2,81,19.95,62,15.27,65,16.01,60,14.78,14012
14,13,354,53,14.97,60,16.95,71,20.06,57,16.1,56,15.82,57,16.1,14013
14,14,334,47,14.07,54,16.17,87,26.05,47,14.07,53,15.87,46,13.77,14014
