ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
24,16,51,51,100.0,24016
24,41,25,25,100.0,24041
24,46,63,63,100.0,24046
28,1,20,20,100.0,28001
28,4,84,84,100.0,28004
28,8,63,63,100.0,28008
28,12,37,37,100.0,28012
28,14,96,96,100.0,28014
28,15,61,61,100.0,28015
28,16,49,49,100.0,28016
28,17,79,79,100.0,28017
28,19,76,76,100.0,28019
28,27,11,11,100.0,28027
28,30,33,33,100.0,28030
28,38,63,63,100.0,28038
28,39,64,64,100.0,28039
28,41,46,46,100.0,28041
28,42,19,19,100.0,28042
28,45,71,71,100.0,28045
28,46,57,57,100.0,28046
28,47,72,72,100.0,28047
28,48,66,66,100.0,28048
28,49,69,69,100.0,28049
28,51,2,2,100.0,28051
28,53,82,82,100.0,28053
29,1,180,180,100.0,29001
29,3,148,148,100.0,29003
29,7,2,2,100.0,29007
29,11,97,97,100.0,29011
29,14,143,143,100.0,29014
29,16,216,216,100.0,29016
29,18,114,114,100.0,29018
29,19,163,163,100.0,29019
29,20,153,153,100.0,29020
29,21,82,82,100.0,29021
29,22,110,110,100.0,29022
29,23,98,98,100.0,29023
29,27,65,65,100.0,29027
29,28,126,126,100.0,29028
29,31,82,82,100.0,29031
29,34,59,59,100.0,29034
29,38,115,115,100.0,29038
29,42,141,141,100.0,29042
37,2,65,65,100.0,37002
37,5,121,121,100.0,37005
37,6,124,124,100.0,37006
37,7,113,113,100.0,37007
37,9,55,55,100.0,37009
37,10,122,122,100.0,37010
37,14,111,111,100.0,37014
37,15,80,80,100.0,37015
37,16,102,102,100.0,37016
37,17,73,73,100.0,37017
37,18,5,5,100.0,37018
37,20,82,82,100.0,37020
37,21,108,108,100.0,37021
37,22,77,77,100.0,37022
37,23,81,81,100.0,37023
37,24,68,68,100.0,37024
37,25,105,105,100.0,37025
37,26,113,113,100.0,37026
37,27,115,115,100.0,37027
37,29,7,7,100.0,37029
37,31,98,98,100.0,37031
37,32,88,88,100.0,37032
37,33,40,40,100.0,37033
37,34,94,94,100.0,37034
37,36,79,79,100.0,37036
37,38,103,103,100.0,37038
37,40,93,93,100.0,37040
37,41,107,107,100.0,37041
37,43,11,11,100.0,37043
