ward,precinct,total,Thomas R. Allen,Thomas R. Allen Percent,precinct_id
1,42,1,1,100.0,01042
30,1,67,67,100.0,30001
30,3,56,56,100.0,30003
30,15,43,43,100.0,30015
32,9,26,26,100.0,32009
32,15,4,4,100.0,32015
32,19,23,23,100.0,32019
32,21,28,28,100.0,32021
32,22,37,37,100.0,32022
32,25,36,36,100.0,32025
33,5,50,50,100.0,33005
33,9,60,60,100.0,33009
33,14,45,45,100.0,33014
33,18,12,12,100.0,33018
35,22,11,11,100.0,35022
35,33,20,20,100.0,35033
38,1,65,65,100.0,38001
38,4,35,35,100.0,38004
38,5,71,71,100.0,38005
38,7,49,49,100.0,38007
38,10,29,29,100.0,38010
38,41,113,113,100.0,38041
38,42,67,67,100.0,38042
39,1,53,53,100.0,39001
39,2,93,93,100.0,39002
39,3,60,60,100.0,39003
39,4,45,45,100.0,39004
39,5,40,40,100.0,39005
39,6,42,42,100.0,39006
39,7,49,49,100.0,39007
39,8,81,81,100.0,39008
39,9,71,71,100.0,39009
39,10,41,41,100.0,39010
39,11,76,76,100.0,39011
39,12,71,71,100.0,39012
39,13,26,26,100.0,39013
39,14,59,59,100.0,39014
39,15,43,43,100.0,39015
39,16,37,37,100.0,39016
39,17,51,51,100.0,39017
39,18,59,59,100.0,39018
39,19,32,32,100.0,39019
39,20,54,54,100.0,39020
39,21,46,46,100.0,39021
39,22,44,44,100.0,39022
39,23,45,45,100.0,39023
39,24,45,45,100.0,39024
39,25,63,63,100.0,39025
39,26,51,51,100.0,39026
39,27,54,54,100.0,39027
39,28,114,114,100.0,39028
39,29,37,37,100.0,39029
39,30,49,49,100.0,39030
39,31,43,43,100.0,39031
39,33,49,49,100.0,39033
39,34,68,68,100.0,39034
39,35,51,51,100.0,39035
39,36,65,65,100.0,39036
39,37,103,103,100.0,39037
39,38,74,74,100.0,39038
39,39,22,22,100.0,39039
39,40,44,44,100.0,39040
39,41,38,38,100.0,39041
39,42,40,40,100.0,39042
39,43,51,51,100.0,39043
40,1,48,48,100.0,40001
40,2,28,28,100.0,40002
40,5,93,93,100.0,40005
40,6,39,39,100.0,40006
40,8,11,11,100.0,40008
40,10,85,85,100.0,40010
40,14,56,56,100.0,40014
40,15,53,53,100.0,40015
40,17,56,56,100.0,40017
40,18,12,12,100.0,40018
40,19,71,71,100.0,40019
40,20,36,36,100.0,40020
40,21,44,44,100.0,40021
40,24,21,21,100.0,40024
40,25,26,26,100.0,40025
40,29,63,63,100.0,40029
40,30,98,98,100.0,40030
40,34,27,27,100.0,40034
40,38,31,31,100.0,40038
41,1,62,62,100.0,41001
41,2,102,102,100.0,41002
41,3,59,59,100.0,41003
41,4,78,78,100.0,41004
41,5,84,84,100.0,41005
41,6,73,73,100.0,41006
41,7,76,76,100.0,41007
41,8,57,57,100.0,41008
41,9,59,59,100.0,41009
41,10,64,64,100.0,41010
41,11,75,75,100.0,41011
