ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent,precinct_id
40,3,85,80,94.12,5,5.88,40003
40,4,98,92,93.88,6,6.12,40004
40,7,82,75,91.46,7,8.54,40007
40,8,14,12,85.71,2,14.29,40008
40,9,83,69,83.13,14,16.87,40009
40,11,70,61,87.14,9,12.86,40011
40,12,86,80,93.02,6,6.98,40012
40,13,199,191,95.98,8,4.02,40013
40,16,123,108,87.8,15,12.2,40016
40,18,58,52,89.66,6,10.34,40018
40,22,25,24,96.0,1,4.0,40022
40,26,114,108,94.74,6,5.26,40026
40,27,59,54,91.53,5,8.47,40027
40,28,116,105,90.52,11,9.48,40028
40,31,69,62,89.86,7,10.14,40031
40,33,76,65,85.53,11,14.47,40033
40,35,75,70,93.33,5,6.67,40035
40,36,89,81,91.01,8,8.99,40036
40,37,64,53,82.81,11,17.19,40037
40,39,53,50,94.34,3,5.66,40039
40,41,167,156,93.41,11,6.59,40041
41,1,79,59,74.68,20,25.32,41001
41,2,135,114,84.44,21,15.56,41002
41,4,97,84,86.6,13,13.4,41004
41,5,106,87,82.08,19,17.92,41005
41,7,103,88,85.44,15,14.56,41007
41,8,71,59,83.1,12,16.9,41008
41,11,85,68,80.0,17,20.0,41011
41,13,5,5,100.0,0,0.0,41013
41,15,81,66,81.48,15,18.52,41015
41,16,45,36,80.0,9,20.0,41016
41,18,83,68,81.93,15,18.07,41018
41,20,112,103,91.96,9,8.04,41020
41,25,24,21,87.5,3,12.5,41025
41,28,60,51,85.0,9,15.0,41028
41,29,29,23,79.31,6,20.69,41029
41,31,98,83,84.69,15,15.31,41031
41,32,45,37,82.22,8,17.78,41032
41,33,2,2,100.0,0,0.0,41033
41,34,72,59,81.94,13,18.06,41034
41,36,94,83,88.3,11,11.7,41036
41,37,92,83,90.22,9,9.78,41037
41,40,91,76,83.52,15,16.48,41040
41,41,79,64,81.01,15,18.99,41041
41,42,120,100,83.33,20,16.67,41042
41,43,73,65,89.04,8,10.96,41043
41,45,69,62,89.86,7,10.14,41045
41,48,51,44,86.27,7,13.73,41048
41,49,110,96,87.27,14,12.73,41049
41,55,29,26,89.66,3,10.34,41055
41,56,111,94,84.68,17,15.32,41056
44,3,123,121,98.37,2,1.63,44003
44,4,135,130,96.3,5,3.7,44004
44,7,96,91,94.79,5,5.21,44007
44,18,4,3,75.0,1,25.0,44018
44,24,150,145,96.67,5,3.33,44024
44,35,172,163,94.77,9,5.23,44035
46,1,198,183,92.42,15,7.58,46001
46,2,81,75,92.59,6,7.41,46002
46,4,71,64,90.14,7,9.86,46004
46,6,94,88,93.62,6,6.38,46006
46,7,62,59,95.16,3,4.84,46007
46,8,91,76,83.52,15,16.48,46008
46,9,67,63,94.03,4,5.97,46009
46,10,48,44,91.67,4,8.33,46010
46,11,90,78,86.67,12,13.33,46011
46,12,94,88,93.62,6,6.38,46012
46,14,55,53,96.36,2,3.64,46014
46,15,99,91,91.92,8,8.08,46015
46,16,73,64,87.67,9,12.33,46016
46,19,97,91,93.81,6,6.19,46019
46,20,89,82,92.13,7,7.87,46020
46,21,21,21,100.0,0,0.0,46021
46,22,100,92,92.0,8,8.0,46022
46,23,82,78,95.12,4,4.88,46023
46,25,101,96,95.05,5,4.95,46025
46,26,75,67,89.33,8,10.67,46026
46,27,86,70,81.4,16,18.6,46027
46,28,98,90,91.84,8,8.16,46028
46,30,101,95,94.06,6,5.94,46030
46,32,88,67,76.14,21,23.86,46032
46,33,96,86,89.58,10,10.42,46033
46,34,97,86,88.66,11,11.34,46034
46,35,108,94,87.04,14,12.96,46035
46,37,88,71,80.68,17,19.32,46037
46,38,80,68,85.0,12,15.0,46038
46,39,138,128,92.75,10,7.25,46039
46,40,65,55,84.62,10,15.38,46040
46,41,84,74,88.1,10,11.9,46041
46,42,110,99,90.0,11,10.0,46042
46,45,79,73,92.41,6,7.59,46045
48,1,91,82,90.11,9,9.89,48001
48,2,102,97,95.1,5,4.9,48002
48,3,146,133,91.1,13,8.9,48003
48,4,105,96,91.43,9,8.57,48004
48,5,129,121,93.8,8,6.2,48005
48,6,133,119,89.47,14,10.53,48006
48,7,87,82,94.25,5,5.75,48007
48,8,78,71,91.03,7,8.97,48008
48,9,112,104,92.86,8,7.14,48009
48,10,61,59,96.72,2,3.28,48010
48,11,151,142,94.04,9,5.96,48011
48,12,87,85,97.7,2,2.3,48012
48,13,101,95,94.06,6,5.94,48013
48,14,122,106,86.89,16,13.11,48014
48,15,60,52,86.67,8,13.33,48015
48,16,87,81,93.1,6,6.9,48016
48,17,98,94,95.92,4,4.08,48017
48,18,83,73,87.95,10,12.05,48018
48,19,113,100,88.5,13,11.5,48019
48,20,90,84,93.33,6,6.67,48020
48,21,130,107,82.31,23,17.69,48021
48,22,180,172,95.56,8,4.44,48022
48,23,107,96,89.72,11,10.28,48023
48,24,58,57,98.28,1,1.72,48024
48,25,104,96,92.31,8,7.69,48025
48,26,109,101,92.66,8,7.34,48026
48,27,113,104,92.04,9,7.96,48027
48,28,126,118,93.65,8,6.35,48028
48,29,158,155,98.1,3,1.9,48029
48,30,121,113,93.39,8,6.61,48030
48,31,76,66,86.84,10,13.16,48031
48,32,77,72,93.51,5,6.49,48032
48,33,125,119,95.2,6,4.8,48033
48,34,100,85,85.0,15,15.0,48034
48,35,101,83,82.18,18,17.82,48035
48,36,111,105,94.59,6,5.41,48036
48,37,67,65,97.01,2,2.99,48037
48,38,156,153,98.08,3,1.92,48038
48,39,105,91,86.67,14,13.33,48039
48,40,74,68,91.89,6,8.11,48040
48,41,49,43,87.76,6,12.24,48041
48,42,103,98,95.15,5,4.85,48042
48,43,120,112,93.33,8,6.67,48043
48,44,128,118,92.19,10,7.81,48044
48,45,75,72,96.0,3,4.0,48045
48,46,128,118,92.19,10,7.81,48046
48,47,80,71,88.75,9,11.25,48047
48,48,111,103,92.79,8,7.21,48048
48,49,28,25,89.29,3,10.71,48049
48,50,123,118,95.93,5,4.07,48050
48,51,175,164,93.71,11,6.29,48051
48,52,76,65,85.53,11,14.47,48052
49,1,105,98,93.33,7,6.67,49001
49,2,146,130,89.04,16,10.96,49002
49,3,103,96,93.2,7,6.8,49003
49,4,61,57,93.44,4,6.56,49004
49,5,131,123,93.89,8,6.11,49005
49,6,112,105,93.75,7,6.25,49006
49,7,193,179,92.75,14,7.25,49007
49,8,116,110,94.83,6,5.17,49008
49,9,94,88,93.62,6,6.38,49009
49,10,101,96,95.05,5,4.95,49010
49,11,92,74,80.43,18,19.57,49011
49,12,132,122,92.42,10,7.58,49012
49,13,165,156,94.55,9,5.45,49013
49,14,107,102,95.33,5,4.67,49014
