ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,9,100,43,43.0,57,57.0,01009
1,13,168,75,44.64,93,55.36,01013
1,20,153,97,63.4,56,36.6,01020
1,24,166,70,42.17,96,57.83,01024
1,30,162,68,41.98,94,58.02,01030
26,19,135,50,37.04,85,62.96,26019
26,34,92,38,41.3,54,58.7,26034
26,51,82,56,68.29,26,31.71,26051
30,4,45,27,60.0,18,40.0,30004
30,7,55,22,40.0,33,60.0,30007
30,9,130,108,83.08,22,16.92,30009
30,13,126,73,57.94,53,42.06,30013
30,18,39,21,53.85,18,46.15,30018
30,30,81,45,55.56,36,44.44,30030
31,1,50,32,64.0,18,36.0,31001
31,2,85,53,62.35,32,37.65,31002
31,4,63,41,65.08,22,34.92,31004
31,5,89,51,57.3,38,42.7,31005
31,6,65,35,53.85,30,46.15,31006
31,7,61,43,70.49,18,29.51,31007
31,8,63,25,39.68,38,60.32,31008
31,9,64,43,67.19,21,32.81,31009
31,10,56,37,66.07,19,33.93,31010
31,11,102,72,70.59,30,29.41,31011
31,13,63,40,63.49,23,36.51,31013
31,14,63,43,68.25,20,31.75,31014
31,16,39,23,58.97,16,41.03,31016
31,18,57,44,77.19,13,22.81,31018
31,19,77,62,80.52,15,19.48,31019
31,20,1,0,0.0,1,100.0,31020
31,22,44,20,45.45,24,54.55,31022
31,23,51,25,49.02,26,50.98,31023
31,24,82,62,75.61,20,24.39,31024
31,26,44,26,59.09,18,40.91,31026
31,28,60,36,60.0,24,40.0,31028
31,30,89,64,71.91,25,28.09,31030
31,31,110,63,57.27,47,42.73,31031
31,32,101,74,73.27,27,26.73,31032
31,33,87,64,73.56,23,26.44,31033
31,35,48,27,56.25,21,43.75,31035
31,38,49,32,65.31,17,34.69,31038
31,40,70,33,47.14,37,52.86,31040
31,41,74,47,63.51,27,36.49,31041
31,46,71,55,77.46,16,22.54,31046
31,47,70,41,58.57,29,41.43,31047
35,5,0,0,0.0,0,0.0,35005
35,6,2,1,50.0,1,50.0,35006
35,7,77,26,33.77,51,66.23,35007
35,10,144,48,33.33,96,66.67,35010
35,11,87,48,55.17,39,44.83,35011
35,12,124,37,29.84,87,70.16,35012
35,14,105,68,64.76,37,35.24,35014
35,15,122,56,45.9,66,54.1,35015
35,16,124,40,32.26,84,67.74,35016
35,17,109,59,54.13,50,45.87,35017
35,19,120,52,43.33,68,56.67,35019
35,21,97,60,61.86,37,38.14,35021
35,25,158,52,32.91,106,67.09,35025
35,28,135,50,37.04,85,62.96,35028
35,30,227,73,32.16,154,67.84,35030
35,31,53,23,43.4,30,56.6,35031
35,34,146,54,36.99,92,63.01,35034
35,36,93,44,47.31,49,52.69,35036
38,2,115,58,50.43,57,49.57,38002
38,4,146,67,45.89,79,54.11,38004
38,6,98,48,48.98,50,51.02,38006
38,13,147,65,44.22,82,55.78,38013
38,16,106,53,50.0,53,50.0,38016
38,17,91,50,54.95,41,45.05,38017
38,23,169,46,27.22,123,72.78,38023
38,24,149,70,46.98,79,53.02,38024
38,27,90,35,38.89,55,61.11,38027
38,29,94,44,46.81,50,53.19,38029
38,30,65,34,52.31,31,47.69,38030
38,31,123,63,51.22,60,48.78,38031
38,34,118,74,62.71,44,37.29,38034
38,35,142,59,41.55,83,58.45,38035
38,36,94,50,53.19,44,46.81,38036
38,37,100,59,59.0,41,41.0,38037
38,39,95,44,46.32,51,53.68,38039
45,1,138,58,42.03,80,57.97,45001
45,16,109,43,39.45,66,60.55,45016
45,28,120,62,51.67,58,48.33,45028
45,31,103,42,40.78,61,59.22,45031
