ward,precinct,total,Nichole C. Patton,Nichole C. Patton Percent,Kevin W. Horan,Kevin W. Horan Percent,Diann Karen Marsalek,Diann Karen Marsalek Percent,Rodrick F. Wimberly,Rodrick F. Wimberly Percent,precinct_id
1,1,86,19,22.09,25,29.07,38,44.19,4,4.65,01001
1,2,40,6,15.0,7,17.5,24,60.0,3,7.5,01002
1,3,30,2,6.67,13,43.33,14,46.67,1,3.33,01003
1,4,50,9,18.0,21,42.0,19,38.0,1,2.0,01004
1,5,38,13,34.21,10,26.32,12,31.58,3,7.89,01005
1,6,46,4,8.7,17,36.96,24,52.17,1,2.17,01006
1,7,26,6,23.08,10,38.46,9,34.62,1,3.85,01007
1,8,61,12,19.67,19,31.15,24,39.34,6,9.84,01008
1,9,81,21,25.93,22,27.16,31,38.27,7,8.64,01009
1,10,44,6,13.64,12,27.27,21,47.73,5,11.36,01010
1,11,36,8,22.22,9,25.0,18,50.0,1,2.78,01011
1,12,54,7,12.96,27,50.0,19,35.19,1,1.85,01012
1,13,117,24,20.51,32,27.35,50,42.74,11,9.4,01013
1,14,68,16,23.53,29,42.65,20,29.41,3,4.41,01014
1,15,50,19,38.0,13,26.0,15,30.0,3,6.0,01015
1,16,62,27,43.55,11,17.74,14,22.58,10,16.13,01016
1,17,20,2,10.0,9,45.0,9,45.0,0,0.0,01017
1,18,49,12,24.49,13,26.53,22,44.9,2,4.08,01018
1,19,47,10,21.28,10,21.28,25,53.19,2,4.26,01019
1,20,110,33,30.0,27,24.55,40,36.36,10,9.09,01020
1,21,58,10,17.24,25,43.1,21,36.21,2,3.45,01021
1,22,45,12,26.67,10,22.22,19,42.22,4,8.89,01022
1,23,56,15,26.79,14,25.0,26,46.43,1,1.79,01023
1,24,139,31,22.3,39,28.06,63,45.32,6,4.32,01024
1,25,39,13,33.33,13,33.33,11,28.21,2,5.13,01025
1,26,21,6,28.57,5,23.81,6,28.57,4,19.05,01026
1,27,24,6,25.0,7,29.17,10,41.67,1,4.17,01027
1,28,18,3,16.67,10,55.56,5,27.78,0,0.0,01028
1,29,52,11,21.15,9,17.31,25,48.08,7,13.46,01029
1,30,116,38,32.76,33,28.45,34,29.31,11,9.48,01030
1,31,40,4,10.0,24,60.0,10,25.0,2,5.0,01031
1,32,54,11,20.37,16,29.63,20,37.04,7,12.96,01032
1,33,57,11,19.3,11,19.3,30,52.63,5,8.77,01033
1,34,29,8,27.59,5,17.24,14,48.28,2,6.9,01034
1,35,32,8,25.0,15,46.88,7,21.88,2,6.25,01035
1,36,44,5,11.36,20,45.45,19,43.18,0,0.0,01036
1,37,58,15,25.86,13,22.41,25,43.1,5,8.62,01037
1,38,35,7,20.0,14,40.0,11,31.43,3,8.57,01038
1,39,59,14,23.73,17,28.81,23,38.98,5,8.47,01039
1,40,29,4,13.79,14,48.28,9,31.03,2,6.9,01040
1,41,44,9,20.45,12,27.27,21,47.73,2,4.55,01041
1,42,35,8,22.86,16,45.71,5,14.29,6,17.14,01042
1,43,62,19,30.65,19,30.65,21,33.87,3,4.84,01043
1,44,29,6,20.69,13,44.83,9,31.03,1,3.45,01044
1,45,55,17,30.91,13,23.64,22,40.0,3,5.45,01045
1,46,62,8,12.9,27,43.55,22,35.48,5,8.06,01046
1,47,47,9,19.15,15,31.91,17,36.17,6,12.77,01047
1,48,52,14,26.92,13,25.0,20,38.46,5,9.62,01048
2,1,122,32,26.23,36,29.51,40,32.79,14,11.48,02001
2,2,14,2,14.29,4,28.57,5,35.71,3,21.43,02002
2,3,84,28,33.33,19,22.62,24,28.57,13,15.48,02003
2,4,68,31,45.59,8,11.76,19,27.94,10,14.71,02004
2,5,76,26,34.21,18,23.68,21,27.63,11,14.47,02005
2,6,65,12,18.46,31,47.69,19,29.23,3,4.62,02006
2,7,158,68,43.04,19,12.03,38,24.05,33,20.89,02007
2,8,118,29,24.58,35,29.66,44,37.29,10,8.47,02008
2,9,77,34,44.16,13,16.88,16,20.78,14,18.18,02009
2,10,81,33,40.74,19,23.46,24,29.63,5,6.17,02010
2,11,150,18,12.0,65,43.33,53,35.33,14,9.33,02011
2,12,68,8,11.76,28,41.18,27,39.71,5,7.35,02012
2,13,128,35,27.34,27,21.09,41,32.03,25,19.53,02013
2,14,156,74,47.44,11,7.05,42,26.92,29,18.59,02014
2,15,51,18,35.29,13,25.49,11,21.57,9,17.65,02015
2,16,65,6,9.23,38,58.46,18,27.69,3,4.62,02016
2,17,79,24,30.38,13,16.46,29,36.71,13,16.46,02017
2,18,84,15,17.86,35,41.67,29,34.52,5,5.95,02018
2,19,106,25,23.58,33,31.13,33,31.13,15,14.15,02019
2,20,181,64,35.36,27,14.92,44,24.31,46,25.41,02020
2,21,145,55,37.93,32,22.07,39,26.9,19,13.1,02021
2,22,150,31,20.67,46,30.67,46,30.67,27,18.0,02022
2,23,67,26,38.81,10,14.93,17,25.37,14,20.9,02023
2,24,51,13,25.49,19,37.25,13,25.49,6,11.76,02024
2,25,93,34,36.56,18,19.35,28,30.11,13,13.98,02025
2,26,89,34,38.2,13,14.61,18,20.22,24,26.97,02026
2,27,81,33,40.74,18,22.22,15,18.52,15,18.52,02027
2,28,42,16,38.1,14,33.33,8,19.05,4,9.52,02028
2,29,51,18,35.29,8,15.69,16,31.37,9,17.65,02029
2,30,70,22,31.43,16,22.86,25,35.71,7,10.0,02030
2,31,111,54,48.65,14,12.61,20,18.02,23,20.72,02031
2,32,30,14,46.67,3,10.0,9,30.0,4,13.33,02032
2,33,35,18,51.43,5,14.29,7,20.0,5,14.29,02033
2,34,112,50,44.64,15,13.39,27,24.11,20,17.86,02034
2,35,77,13,16.88,31,40.26,28,36.36,5,6.49,02035
2,36,139,50,35.97,31,22.3,45,32.37,13,9.35,02036
2,37,75,8,10.67,31,41.33,27,36.0,9,12.0,02037
2,38,143,25,17.48,48,33.57,56,39.16,14,9.79,02038
2,39,75,25,33.33,11,14.67,17,22.67,22,29.33,02039
2,40,146,47,32.19,36,24.66,42,28.77,21,14.38,02040
2,41,40,19,47.5,9,22.5,8,20.0,4,10.0,02041
2,42,74,37,50.0,10,13.51,15,20.27,12,16.22,02042
2,43,115,26,22.61,32,27.83,41,35.65,16,13.91,02043
2,44,83,29,34.94,15,18.07,19,22.89,20,24.1,02044
2,45,95,42,44.21,19,20.0,9,9.47,25,26.32,02045
2,46,157,66,42.04,27,17.2,28,17.83,36,22.93,02046
2,47,142,77,54.23,28,19.72,17,11.97,20,14.08,02047
2,48,93,37,39.78,16,17.2,23,24.73,17,18.28,02048
2,49,72,16,22.22,27,37.5,21,29.17,8,11.11,02049
2,50,44,13,29.55,9,20.45,17,38.64,5,11.36,02050
2,51,54,26,48.15,10,18.52,10,18.52,8,14.81,02051
2,52,135,62,45.93,14,10.37,33,24.44,26,19.26,02052
2,53,53,12,22.64,22,41.51,13,24.53,6,11.32,02053
2,54,35,14,40.0,10,28.57,9,25.71,2,5.71,02054
3,1,109,41,37.61,16,14.68,29,26.61,23,21.1,03001
3,2,161,61,37.89,29,18.01,36,22.36,35,21.74,03002
3,3,83,34,40.96,19,22.89,22,26.51,8,9.64,03003
3,4,79,34,43.04,7,8.86,19,24.05,19,24.05,03004
3,5,104,48,46.15,14,13.46,17,16.35,25,24.04,03005
3,6,6,4,66.67,1,16.67,1,16.67,0,0.0,03006
3,7,147,64,43.54,17,11.56,37,25.17,29,19.73,03007
3,8,78,32,41.03,16,20.51,14,17.95,16,20.51,03008
3,9,96,44,45.83,13,13.54,19,19.79,20,20.83,03009
3,10,27,11,40.74,3,11.11,9,33.33,4,14.81,03010
3,11,93,32,34.41,11,11.83,30,32.26,20,21.51,03011
3,12,70,22,31.43,11,15.71,21,30.0,16,22.86,03012
3,13,31,8,25.81,8,25.81,12,38.71,3,9.68,03013
3,14,96,47,48.96,20,20.83,19,19.79,10,10.42,03014
3,15,92,45,48.91,14,15.22,18,19.57,15,16.3,03015
3,16,89,40,44.94,9,10.11,23,25.84,17,19.1,03016
3,17,37,11,29.73,6,16.22,12,32.43,8,21.62,03017
3,18,51,22,43.14,5,9.8,13,25.49,11,21.57,03018
3,19,14,2,14.29,2,14.29,10,71.43,0,0.0,03019
3,20,74,33,44.59,12,16.22,18,24.32,11,14.86,03020
3,21,27,13,48.15,5,18.52,6,22.22,3,11.11,03021
3,22,54,18,33.33,7,12.96,21,38.89,8,14.81,03022
3,23,83,46,55.42,6,7.23,18,21.69,13,15.66,03023
3,24,122,59,48.36,19,15.57,25,20.49,19,15.57,03024
3,25,59,24,40.68,12,20.34,11,18.64,12,20.34,03025
3,26,17,7,41.18,1,5.88,6,35.29,3,17.65,03026
3,27,88,41,46.59,14,15.91,21,23.86,12,13.64,03027
3,28,101,28,27.72,23,22.77,31,30.69,19,18.81,03028
3,29,101,44,43.56,12,11.88,31,30.69,14,13.86,03029
3,30,76,43,56.58,4,5.26,15,19.74,14,18.42,03030
3,31,170,70,41.18,29,17.06,37,21.76,34,20.0,03031
3,32,64,20,31.25,5,7.81,20,31.25,19,29.69,03032
3,33,118,49,41.53,20,16.95,25,21.19,24,20.34,03033
3,34,87,35,40.23,7,8.05,21,24.14,24,27.59,03034
3,35,88,41,46.59,8,9.09,19,21.59,20,22.73,03035
3,36,20,7,35.0,7,35.0,2,10.0,4,20.0,03036
3,37,35,21,60.0,3,8.57,8,22.86,3,8.57,03037
3,38,200,109,54.5,22,11.0,31,15.5,38,19.0,03038
3,39,191,74,38.74,20,10.47,67,35.08,30,15.71,03039
3,40,104,47,45.19,15,14.42,19,18.27,23,22.12,03040
3,41,98,32,32.65,17,17.35,30,30.61,19,19.39,03041
3,42,73,30,41.1,10,13.7,19,26.03,14,19.18,03042
3,43,30,15,50.0,4,13.33,6,20.0,5,16.67,03043
3,44,16,8,50.0,1,6.25,4,25.0,3,18.75,03044
3,45,135,51,37.78,18,13.33,43,31.85,23,17.04,03045
3,46,39,16,41.03,4,10.26,7,17.95,12,30.77,03046
3,47,52,26,50.0,9,17.31,13,25.0,4,7.69,03047
3,48,45,20,44.44,10,22.22,13,28.89,2,4.44,03048
3,49,47,18,38.3,8,17.02,9,19.15,12,25.53,03049
3,50,32,14,43.75,3,9.38,12,37.5,3,9.38,03050
4,1,159,38,23.9,29,18.24,61,38.36,31,19.5,04001
4,2,186,72,38.71,23,12.37,54,29.03,37,19.89,04002
4,3,144,64,44.44,13,9.03,38,26.39,29,20.14,04003
4,4,139,51,36.69,19,13.67,43,30.94,26,18.71,04004
4,5,157,66,42.04,17,10.83,34,21.66,40,25.48,04005
4,6,70,25,35.71,3,4.29,20,28.57,22,31.43,04006
4,7,175,72,41.14,22,12.57,46,26.29,35,20.0,04007
4,8,164,64,39.02,15,9.15,53,32.32,32,19.51,04008
4,9,279,100,35.84,33,11.83,72,25.81,74,26.52,04009
4,10,132,52,39.39,15,11.36,29,21.97,36,27.27,04010
4,11,101,51,50.5,13,12.87,28,27.72,9,8.91,04011
4,12,79,37,46.84,6,7.59,19,24.05,17,21.52,04012
4,13,105,32,30.48,23,21.9,31,29.52,19,18.1,04013
4,14,68,30,44.12,8,11.76,20,29.41,10,14.71,04014
4,15,95,21,22.11,15,15.79,29,30.53,30,31.58,04015
4,16,148,66,44.59,24,16.22,31,20.95,27,18.24,04016
4,17,128,47,36.72,25,19.53,27,21.09,29,22.66,04017
4,18,106,51,48.11,17,16.04,27,25.47,11,10.38,04018
4,19,118,48,40.68,26,22.03,24,20.34,20,16.95,04019
4,20,113,43,38.05,16,14.16,35,30.97,19,16.81,04020
4,21,151,44,29.14,25,16.56,50,33.11,32,21.19,04021
4,22,143,52,36.36,30,20.98,39,27.27,22,15.38,04022
4,23,95,37,38.95,19,20.0,23,24.21,16,16.84,04023
4,24,112,31,27.68,18,16.07,28,25.0,35,31.25,04024
4,25,167,69,41.32,8,4.79,40,23.95,50,29.94,04025
4,26,124,50,40.32,16,12.9,33,26.61,25,20.16,04026
4,27,123,47,38.21,14,11.38,37,30.08,25,20.33,04027
4,28,79,30,37.97,11,13.92,26,32.91,12,15.19,04028
4,29,118,27,22.88,31,26.27,41,34.75,19,16.1,04029
4,30,109,45,41.28,12,11.01,25,22.94,27,24.77,04030
4,31,57,8,14.04,20,35.09,26,45.61,3,5.26,04031
4,32,98,17,17.35,26,26.53,40,40.82,15,15.31,04032
4,33,124,50,40.32,19,15.32,28,22.58,27,21.77,04033
4,34,81,14,17.28,28,34.57,31,38.27,8,9.88,04034
4,35,84,28,33.33,6,7.14,26,30.95,24,28.57,04035
4,36,86,31,36.05,10,11.63,30,34.88,15,17.44,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,192,50,26.04,34,17.71,72,37.5,36,18.75,04038
4,39,84,40,47.62,6,7.14,26,30.95,12,14.29,04039
4,40,134,47,35.07,14,10.45,52,38.81,21,15.67,04040
4,41,40,7,17.5,10,25.0,20,50.0,3,7.5,04041
4,42,150,62,41.33,20,13.33,37,24.67,31,20.67,04042
4,43,67,13,19.4,15,22.39,23,34.33,16,23.88,04043
