ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Farah Baqai,Farah Baqai Percent,precinct_id
3,13,35,26,74.29,9,25.71,03013
3,19,16,16,100.0,0,0.0,03019
11,1,138,124,89.86,14,10.14,11001
11,2,112,90,80.36,22,19.64,11002
11,4,91,76,83.52,15,16.48,11004
11,5,64,42,65.63,22,34.38,11005
11,6,132,100,75.76,32,24.24,11006
11,7,118,105,88.98,13,11.02,11007
11,8,108,85,78.7,23,21.3,11008
11,9,84,73,86.9,11,13.1,11009
11,11,130,107,82.31,23,17.69,11011
11,12,114,110,96.49,4,3.51,11012
11,13,96,84,87.5,12,12.5,11013
11,15,99,89,89.9,10,10.1,11015
11,16,124,106,85.48,18,14.52,11016
11,17,150,119,79.33,31,20.67,11017
11,19,72,50,69.44,22,30.56,11019
11,20,115,108,93.91,7,6.09,11020
11,21,145,141,97.24,4,2.76,11021
11,22,105,96,91.43,9,8.57,11022
11,23,85,76,89.41,9,10.59,11023
11,24,265,252,95.09,13,4.91,11024
11,25,83,73,87.95,10,12.05,11025
11,26,126,106,84.13,20,15.87,11026
11,28,71,65,91.55,6,8.45,11028
11,29,115,103,89.57,12,10.43,11029
11,30,99,75,75.76,24,24.24,11030
11,31,95,87,91.58,8,8.42,11031
11,32,86,73,84.88,13,15.12,11032
11,33,74,64,86.49,10,13.51,11033
11,35,126,118,93.65,8,6.35,11035
11,37,137,123,89.78,14,10.22,11037
11,38,169,147,86.98,22,13.02,11038
11,39,184,168,91.3,16,8.7,11039
11,40,74,60,81.08,14,18.92,11040
11,41,71,54,76.06,17,23.94,11041
11,42,79,74,93.67,5,6.33,11042
11,43,103,96,93.2,7,6.8,11043
11,44,101,77,76.24,24,23.76,11044
11,45,46,38,82.61,8,17.39,11045
11,47,84,70,83.33,14,16.67,11047
11,48,48,46,95.83,2,4.17,11048
11,49,92,82,89.13,10,10.87,11049
11,50,66,57,86.36,9,13.64,11050
12,17,85,68,80.0,17,20.0,12017
13,1,188,174,92.55,14,7.45,13001
13,2,143,130,90.91,13,9.09,13002
13,3,128,116,90.63,12,9.38,13003
