ward,precinct,total,Nicholas Sposato,Nicholas Sposato Percent,Lawrence Andolino,Lawrence Andolino Percent,precinct_id
36,1,84,68,80.95,16,19.05,36001
36,2,104,81,77.88,23,22.12,36002
36,3,228,121,53.07,107,46.93,36003
36,4,40,29,72.5,11,27.5,36004
36,5,193,159,82.38,34,17.62,36005
36,6,88,68,77.27,20,22.73,36006
36,7,103,88,85.44,15,14.56,36007
36,8,107,88,82.24,19,17.76,36008
36,9,163,138,84.66,25,15.34,36009
36,10,91,76,83.52,15,16.48,36010
36,11,134,86,64.18,48,35.82,36011
36,12,87,55,63.22,32,36.78,36012
36,13,210,86,40.95,124,59.05,36013
36,14,137,81,59.12,56,40.88,36014
36,15,103,89,86.41,14,13.59,36015
36,16,216,129,59.72,87,40.28,36016
36,17,59,41,69.49,18,30.51,36017
36,18,134,104,77.61,30,22.39,36018
36,19,114,89,78.07,25,21.93,36019
36,20,173,89,51.45,84,48.55,36020
36,21,170,131,77.06,39,22.94,36021
36,22,176,133,75.57,43,24.43,36022
36,23,255,151,59.22,104,40.78,36023
36,24,121,71,58.68,50,41.32,36024
36,25,185,122,65.95,63,34.05,36025
36,26,86,77,89.53,9,10.47,36026
36,27,77,61,79.22,16,20.78,36027
36,28,79,64,81.01,15,18.99,36028
36,29,104,81,77.88,23,22.12,36029
36,30,125,92,73.6,33,26.4,36030
36,31,110,51,46.36,59,53.64,36031
36,32,79,63,79.75,16,20.25,36032
36,33,115,72,62.61,43,37.39,36033
36,34,61,50,81.97,11,18.03,36034
36,35,125,101,80.8,24,19.2,36035
36,36,70,53,75.71,17,24.29,36036
36,37,97,86,88.66,11,11.34,36037
36,38,55,47,85.45,8,14.55,36038
36,39,74,55,74.32,19,25.68,36039
36,40,120,91,75.83,29,24.17,36040
36,41,72,61,84.72,11,15.28,36041
36,42,66,52,78.79,14,21.21,36042
36,43,94,73,77.66,21,22.34,36043
36,44,160,116,72.5,44,27.5,36044
36,45,168,132,78.57,36,21.43,36045
36,46,109,94,86.24,15,13.76,36046
36,47,242,161,66.53,81,33.47,36047
36,48,79,71,89.87,8,10.13,36048
36,49,145,93,64.14,52,35.86,36049
36,50,116,80,68.97,36,31.03,36050
36,51,117,82,70.09,35,29.91,36051
