ward,precinct,total,Matthew J. O'Shea,Matthew J. O'Shea Percent,precinct_id
19,1,176,176,100.0,19001
19,2,171,171,100.0,19002
19,3,126,126,100.0,19003
19,4,150,150,100.0,19004
19,5,176,176,100.0,19005
19,6,121,121,100.0,19006
19,7,195,195,100.0,19007
19,8,111,111,100.0,19008
19,9,101,101,100.0,19009
19,10,197,197,100.0,19010
19,11,199,199,100.0,19011
19,12,136,136,100.0,19012
19,13,111,111,100.0,19013
19,14,162,162,100.0,19014
19,15,113,113,100.0,19015
19,16,205,205,100.0,19016
19,17,157,157,100.0,19017
19,18,200,200,100.0,19018
19,19,156,156,100.0,19019
19,20,156,156,100.0,19020
19,21,109,109,100.0,19021
19,22,163,163,100.0,19022
19,23,201,201,100.0,19023
19,24,150,150,100.0,19024
19,25,159,159,100.0,19025
19,26,183,183,100.0,19026
19,27,81,81,100.0,19027
19,28,194,194,100.0,19028
19,29,92,92,100.0,19029
19,30,123,123,100.0,19030
19,31,135,135,100.0,19031
19,32,161,161,100.0,19032
19,33,163,163,100.0,19033
19,34,155,155,100.0,19034
19,35,161,161,100.0,19035
19,36,165,165,100.0,19036
19,37,186,186,100.0,19037
19,38,174,174,100.0,19038
19,39,47,47,100.0,19039
19,40,150,150,100.0,19040
19,41,114,114,100.0,19041
19,42,121,121,100.0,19042
19,43,178,178,100.0,19043
19,44,148,148,100.0,19044
19,45,180,180,100.0,19045
19,46,214,214,100.0,19046
19,47,227,227,100.0,19047
19,48,203,203,100.0,19048
19,49,197,197,100.0,19049
19,50,151,151,100.0,19050
19,51,126,126,100.0,19051
19,52,99,99,100.0,19052
19,53,162,162,100.0,19053
19,54,121,121,100.0,19054
19,55,111,111,100.0,19055
19,56,183,183,100.0,19056
19,57,179,179,100.0,19057
19,58,132,132,100.0,19058
19,59,176,176,100.0,19059
19,60,112,112,100.0,19060
19,61,256,256,100.0,19061
19,62,140,140,100.0,19062
19,63,121,121,100.0,19063
