ward,precinct,total,Scott Waguespack,Scott Waguespack Percent,precinct_id
32,1,70,70,100.0,32001
32,2,67,67,100.0,32002
32,3,36,36,100.0,32003
32,4,95,95,100.0,32004
32,5,37,37,100.0,32005
32,6,45,45,100.0,32006
32,7,33,33,100.0,32007
32,8,65,65,100.0,32008
32,9,77,77,100.0,32009
32,10,50,50,100.0,32010
32,11,47,47,100.0,32011
32,12,33,33,100.0,32012
32,13,21,21,100.0,32013
32,14,52,52,100.0,32014
32,15,25,25,100.0,32015
32,16,46,46,100.0,32016
32,17,56,56,100.0,32017
32,18,32,32,100.0,32018
32,19,38,38,100.0,32019
32,20,24,24,100.0,32020
32,21,22,22,100.0,32021
32,22,47,47,100.0,32022
32,23,49,49,100.0,32023
32,24,38,38,100.0,32024
32,25,25,25,100.0,32025
32,26,51,51,100.0,32026
32,27,39,39,100.0,32027
32,28,24,24,100.0,32028
32,29,51,51,100.0,32029
32,30,33,33,100.0,32030
32,31,81,81,100.0,32031
32,32,34,34,100.0,32032
32,33,46,46,100.0,32033
32,34,47,47,100.0,32034
32,35,52,52,100.0,32035
32,36,59,59,100.0,32036
32,37,35,35,100.0,32037
32,38,40,40,100.0,32038
32,39,43,43,100.0,32039
32,40,43,43,100.0,32040
32,41,48,48,100.0,32041
32,42,56,56,100.0,32042
32,43,54,54,100.0,32043
32,44,42,42,100.0,32044
32,45,24,24,100.0,32045
32,46,13,13,100.0,32046
32,47,52,52,100.0,32047
32,48,74,74,100.0,32048
32,49,28,28,100.0,32049
32,50,60,60,100.0,32050
32,51,60,60,100.0,32051
32,52,29,29,100.0,32052
