ward,precinct,total,Regina Ann Scannicchio,Regina Ann Scannicchio Percent,precinct_id
2,28,11,11,100.0,02028
3,13,29,29,100.0,03013
3,19,14,14,100.0,03019
3,47,4,4,100.0,03047
11,1,87,87,100.0,11001
11,2,89,89,100.0,11002
11,3,54,54,100.0,11003
11,4,64,64,100.0,11004
11,5,48,48,100.0,11005
11,6,92,92,100.0,11006
11,7,88,88,100.0,11007
11,8,67,67,100.0,11008
11,9,61,61,100.0,11009
11,10,50,50,100.0,11010
11,11,82,82,100.0,11011
11,16,86,86,100.0,11016
11,17,119,119,100.0,11017
11,18,49,49,100.0,11018
11,19,46,46,100.0,11019
11,20,64,64,100.0,11020
11,21,85,85,100.0,11021
11,22,64,64,100.0,11022
11,23,50,50,100.0,11023
11,24,145,145,100.0,11024
11,25,54,54,100.0,11025
11,26,97,97,100.0,11026
11,29,82,82,100.0,11029
11,30,66,66,100.0,11030
11,33,48,48,100.0,11033
11,35,71,71,100.0,11035
11,37,70,70,100.0,11037
11,38,95,95,100.0,11038
11,40,45,45,100.0,11040
11,41,42,42,100.0,11041
11,42,1,1,100.0,11042
11,44,64,64,100.0,11044
11,50,41,41,100.0,11050
12,1,63,63,100.0,12001
12,2,51,51,100.0,12002
12,3,41,41,100.0,12003
12,4,27,27,100.0,12004
12,5,42,42,100.0,12005
12,6,51,51,100.0,12006
12,7,78,78,100.0,12007
12,8,82,82,100.0,12008
12,9,37,37,100.0,12009
12,10,67,67,100.0,12010
12,11,109,109,100.0,12011
12,12,52,52,100.0,12012
12,13,92,92,100.0,12013
12,14,41,41,100.0,12014
12,15,47,47,100.0,12015
12,16,32,32,100.0,12016
12,17,65,65,100.0,12017
12,18,73,73,100.0,12018
12,19,64,64,100.0,12019
12,20,37,37,100.0,12020
12,21,56,56,100.0,12021
12,22,55,55,100.0,12022
12,23,51,51,100.0,12023
12,24,63,63,100.0,12024
14,5,61,61,100.0,14005
14,6,31,31,100.0,14006
14,7,84,84,100.0,14007
14,8,69,69,100.0,14008
14,10,54,54,100.0,14010
14,11,48,48,100.0,14011
14,12,82,82,100.0,14012
14,14,80,80,100.0,14014
14,15,80,80,100.0,14015
14,16,64,64,100.0,14016
14,17,56,56,100.0,14017
14,18,38,38,100.0,14018
14,19,70,70,100.0,14019
14,20,42,42,100.0,14020
14,21,50,50,100.0,14021
14,22,110,110,100.0,14022
14,23,67,67,100.0,14023
14,24,52,52,100.0,14024
14,25,45,45,100.0,14025
14,26,43,43,100.0,14026
14,29,87,87,100.0,14029
14,30,71,71,100.0,14030
14,31,45,45,100.0,14031
14,32,47,47,100.0,14032
15,6,33,33,100.0,15006
15,9,79,79,100.0,15009
15,11,42,42,100.0,15011
15,13,52,52,100.0,15013
15,14,43,43,100.0,15014
15,15,24,24,100.0,15015
15,22,58,58,100.0,15022
15,24,39,39,100.0,15024
15,25,34,34,100.0,15025
15,27,40,40,100.0,15027
15,29,11,11,100.0,15029
15,30,28,28,100.0,15030
15,32,36,36,100.0,15032
15,38,60,60,100.0,15038
15,39,28,28,100.0,15039
16,1,30,30,100.0,16001
16,2,24,24,100.0,16002
16,4,24,24,100.0,16004
16,7,43,43,100.0,16007
16,11,46,46,100.0,16011
16,13,28,28,100.0,16013
16,21,26,26,100.0,16021
16,22,29,29,100.0,16022
16,23,20,20,100.0,16023
16,30,38,38,100.0,16030
16,32,31,31,100.0,16032
16,35,23,23,100.0,16035
16,39,7,7,100.0,16039
20,4,28,28,100.0,20004
20,8,22,22,100.0,20008
20,15,20,20,100.0,20015
20,21,18,18,100.0,20021
20,41,14,14,100.0,20041
22,1,44,44,100.0,22001
22,2,28,28,100.0,22002
22,3,52,52,100.0,22003
22,4,44,44,100.0,22004
22,5,56,56,100.0,22005
22,6,53,53,100.0,22006
22,8,41,41,100.0,22008
22,9,46,46,100.0,22009
22,10,58,58,100.0,22010
22,11,54,54,100.0,22011
22,12,61,61,100.0,22012
22,13,68,68,100.0,22013
22,14,43,43,100.0,22014
22,15,44,44,100.0,22015
22,16,83,83,100.0,22016
22,17,53,53,100.0,22017
22,18,60,60,100.0,22018
22,19,41,41,100.0,22019
22,20,50,50,100.0,22020
22,22,48,48,100.0,22022
22,23,66,66,100.0,22023
22,24,52,52,100.0,22024
22,25,76,76,100.0,22025
22,26,56,56,100.0,22026
22,27,55,55,100.0,22027
22,28,36,36,100.0,22028
23,31,71,71,100.0,23031
24,10,27,27,100.0,24010
24,33,68,68,100.0,24033
24,44,97,97,100.0,24044
25,1,59,59,100.0,25001
25,2,72,72,100.0,25002
25,3,11,11,100.0,25003
25,5,72,72,100.0,25005
25,6,54,54,100.0,25006
25,7,42,42,100.0,25007
25,8,54,54,100.0,25008
25,9,70,70,100.0,25009
25,11,62,62,100.0,25011
25,12,44,44,100.0,25012
25,13,56,56,100.0,25013
25,15,54,54,100.0,25015
25,17,87,87,100.0,25017
25,19,50,50,100.0,25019
25,20,76,76,100.0,25020
25,22,45,45,100.0,25022
25,23,90,90,100.0,25023
25,24,73,73,100.0,25024
25,25,42,42,100.0,25025
25,26,22,22,100.0,25026
25,27,44,44,100.0,25027
25,29,42,42,100.0,25029
25,30,62,62,100.0,25030
28,29,73,73,100.0,28029
28,34,83,83,100.0,28034
