ward,precinct,total,Nancy Schiavone,Nancy Schiavone Percent,precinct_id
35,1,58,58,100.0,35001
35,2,44,44,100.0,35002
35,3,44,44,100.0,35003
35,4,56,56,100.0,35004
35,5,48,48,100.0,35005
35,6,57,57,100.0,35006
35,7,108,108,100.0,35007
35,8,93,93,100.0,35008
35,9,57,57,100.0,35009
35,10,88,88,100.0,35010
35,11,67,67,100.0,35011
35,12,117,117,100.0,35012
35,13,9,9,100.0,35013
35,14,79,79,100.0,35014
35,15,87,87,100.0,35015
35,16,83,83,100.0,35016
35,17,70,70,100.0,35017
35,18,56,56,100.0,35018
35,19,80,80,100.0,35019
35,20,47,47,100.0,35020
35,21,63,63,100.0,35021
35,22,12,12,100.0,35022
35,23,35,35,100.0,35023
35,24,26,26,100.0,35024
35,25,101,101,100.0,35025
35,26,58,58,100.0,35026
35,27,111,111,100.0,35027
35,28,81,81,100.0,35028
35,29,100,100,100.0,35029
35,30,160,160,100.0,35030
35,31,39,39,100.0,35031
35,32,32,32,100.0,35032
35,33,51,51,100.0,35033
35,34,97,97,100.0,35034
35,35,71,71,100.0,35035
35,36,72,72,100.0,35036
