ward,precinct,total,Pamela E. Hill-Veal,Pamela E. Hill-Veal Percent,Mathias William Delort,Mathias William Delort Percent,Kay Marie Hanlon,Kay Marie Hanlon Percent,James Michael McGing,James Michael McGing Percent,Laura Marie Sullivan,Laura Marie Sullivan Percent,precinct_id
1,1,88,3,3.41,22,25.0,6,6.82,8,9.09,28,31.82,01001
1,2,45,3,6.67,11,24.44,5,11.11,5,11.11,13,28.89,01002
1,3,34,2,5.88,11,32.35,5,14.71,4,11.76,9,26.47,01003
1,4,58,2,3.45,16,27.59,11,18.97,10,17.24,8,13.79,01004
1,5,38,4,10.53,7,18.42,4,10.53,6,15.79,9,23.68,01005
1,6,52,1,1.92,21,40.38,4,7.69,8,15.38,16,30.77,01006
1,7,28,3,10.71,7,25.0,4,14.29,4,14.29,7,25.0,01007
1,8,67,3,4.48,21,31.34,10,14.93,10,14.93,11,16.42,01008
1,9,86,5,5.81,22,25.58,14,16.28,18,20.93,14,16.28,01009
1,10,54,5,9.26,16,29.63,5,9.26,7,12.96,12,22.22,01010
1,11,40,3,7.5,9,22.5,5,12.5,4,10.0,15,37.5,01011
1,12,58,7,12.07,16,27.59,10,17.24,9,15.52,9,15.52,01012
1,13,132,15,11.36,27,20.45,18,13.64,23,17.42,35,26.52,01013
1,14,75,10,13.33,27,36.0,7,9.33,11,14.67,10,13.33,01014
1,15,53,7,13.21,11,20.75,6,11.32,5,9.43,17,32.08,01015
1,16,67,15,22.39,6,8.96,7,10.45,5,7.46,23,34.33,01016
1,17,23,1,4.35,9,39.13,2,8.7,6,26.09,3,13.04,01017
1,18,54,8,14.81,12,22.22,6,11.11,4,7.41,9,16.67,01018
1,19,51,6,11.76,8,15.69,3,5.88,9,17.65,13,25.49,01019
1,20,125,21,16.8,23,18.4,13,10.4,22,17.6,28,22.4,01020
1,21,62,5,8.06,26,41.94,6,9.68,10,16.13,10,16.13,01021
1,22,48,3,6.25,5,10.42,12,25.0,8,16.67,7,14.58,01022
1,23,55,9,16.36,14,25.45,6,10.91,3,5.45,12,21.82,01023
