ward,precinct,total,Michele Smith,Michele Smith Percent,precinct_id
43,1,103,103,100.0,43001
43,2,49,49,100.0,43002
43,3,75,75,100.0,43003
43,4,71,71,100.0,43004
43,5,48,48,100.0,43005
43,6,100,100,100.0,43006
43,7,100,100,100.0,43007
43,8,99,99,100.0,43008
43,9,56,56,100.0,43009
43,10,59,59,100.0,43010
43,11,48,48,100.0,43011
43,12,78,78,100.0,43012
43,13,62,62,100.0,43013
43,14,71,71,100.0,43014
43,15,55,55,100.0,43015
43,16,52,52,100.0,43016
43,17,103,103,100.0,43017
43,18,79,79,100.0,43018
43,19,86,86,100.0,43019
43,20,86,86,100.0,43020
43,21,76,76,100.0,43021
43,22,43,43,100.0,43022
43,23,57,57,100.0,43023
43,24,69,69,100.0,43024
43,25,64,64,100.0,43025
43,26,54,54,100.0,43026
43,27,48,48,100.0,43027
43,28,78,78,100.0,43028
43,29,48,48,100.0,43029
43,30,49,49,100.0,43030
43,31,39,39,100.0,43031
43,32,72,72,100.0,43032
43,33,37,37,100.0,43033
43,34,23,23,100.0,43034
43,35,78,78,100.0,43035
43,36,45,45,100.0,43036
43,37,71,71,100.0,43037
43,38,28,28,100.0,43038
43,39,94,94,100.0,43039
43,40,75,75,100.0,43040
43,41,27,27,100.0,43041
43,42,24,24,100.0,43042
43,43,39,39,100.0,43043
43,44,46,46,100.0,43044
43,45,68,68,100.0,43045
43,46,71,71,100.0,43046
43,47,102,102,100.0,43047
43,48,49,49,100.0,43048
43,49,56,56,100.0,43049
43,50,48,48,100.0,43050
43,51,89,89,100.0,43051
