ward,precinct,total,Jacqueline ''Jacqui'' Collins,Jacqueline ''Jacqui'' Collins Percent,precinct_id
6,4,90,90,100.0,06004
6,5,125,125,100.0,06005
6,6,247,247,100.0,06006
6,7,137,137,100.0,06007
6,11,98,98,100.0,06011
6,12,114,114,100.0,06012
6,15,74,74,100.0,06015
6,19,61,61,100.0,06019
6,20,34,34,100.0,06020
6,30,97,97,100.0,06030
6,32,128,128,100.0,06032
6,33,161,161,100.0,06033
6,36,61,61,100.0,06036
6,39,0,0,0.0,06039
6,42,48,48,100.0,06042
6,48,101,101,100.0,06048
6,49,142,142,100.0,06049
6,55,98,98,100.0,06055
6,56,93,93,100.0,06056
13,6,80,80,100.0,13006
13,10,63,63,100.0,13010
13,11,78,78,100.0,13011
13,21,90,90,100.0,13021
13,38,93,93,100.0,13038
15,5,32,32,100.0,15005
15,7,9,9,100.0,15007
15,8,7,7,100.0,15008
15,21,64,64,100.0,15021
15,34,45,45,100.0,15034
15,40,27,27,100.0,15040
15,41,1,1,100.0,15041
15,42,110,110,100.0,15042
17,1,78,78,100.0,17001
17,2,72,72,100.0,17002
17,3,74,74,100.0,17003
17,4,108,108,100.0,17004
17,5,62,62,100.0,17005
17,6,101,101,100.0,17006
17,7,82,82,100.0,17007
17,8,66,66,100.0,17008
17,9,118,118,100.0,17009
17,10,91,91,100.0,17010
17,11,65,65,100.0,17011
17,12,134,134,100.0,17012
17,13,42,42,100.0,17013
17,14,16,16,100.0,17014
17,15,66,66,100.0,17015
17,16,79,79,100.0,17016
17,17,41,41,100.0,17017
17,18,115,115,100.0,17018
17,19,32,32,100.0,17019
17,20,66,66,100.0,17020
17,22,90,90,100.0,17022
17,23,101,101,100.0,17023
17,24,97,97,100.0,17024
17,25,55,55,100.0,17025
17,26,89,89,100.0,17026
17,27,111,111,100.0,17027
17,28,61,61,100.0,17028
17,29,174,174,100.0,17029
17,30,93,93,100.0,17030
17,31,84,84,100.0,17031
17,32,72,72,100.0,17032
17,33,61,61,100.0,17033
17,34,65,65,100.0,17034
17,35,120,120,100.0,17035
17,36,38,38,100.0,17036
17,37,82,82,100.0,17037
17,38,52,52,100.0,17038
17,39,67,67,100.0,17039
17,40,47,47,100.0,17040
17,41,47,47,100.0,17041
17,42,57,57,100.0,17042
17,43,47,47,100.0,17043
17,44,110,110,100.0,17044
17,45,38,38,100.0,17045
17,46,74,74,100.0,17046
17,47,80,80,100.0,17047
17,48,74,74,100.0,17048
17,49,39,39,100.0,17049
17,50,59,59,100.0,17050
17,51,52,52,100.0,17051
17,52,109,109,100.0,17052
17,53,78,78,100.0,17053
17,54,73,73,100.0,17054
17,55,63,63,100.0,17055
18,1,140,140,100.0,18001
18,2,49,49,100.0,18002
18,3,148,148,100.0,18003
18,4,255,255,100.0,18004
18,5,78,78,100.0,18005
18,6,127,127,100.0,18006
18,7,73,73,100.0,18007
18,8,39,39,100.0,18008
18,9,190,190,100.0,18009
18,10,197,197,100.0,18010
18,11,83,83,100.0,18011
18,12,112,112,100.0,18012
18,13,120,120,100.0,18013
18,14,104,104,100.0,18014
18,15,50,50,100.0,18015
18,16,162,162,100.0,18016
18,17,92,92,100.0,18017
18,18,118,118,100.0,18018
18,19,149,149,100.0,18019
18,20,232,232,100.0,18020
18,21,170,170,100.0,18021
18,22,201,201,100.0,18022
18,23,107,107,100.0,18023
18,26,58,58,100.0,18026
18,27,18,18,100.0,18027
18,28,100,100,100.0,18028
18,29,88,88,100.0,18029
18,31,87,87,100.0,18031
18,32,9,9,100.0,18032
18,33,78,78,100.0,18033
18,35,295,295,100.0,18035
18,36,60,60,100.0,18036
18,37,99,99,100.0,18037
18,38,133,133,100.0,18038
18,39,70,70,100.0,18039
18,40,107,107,100.0,18040
18,41,55,55,100.0,18041
18,42,57,57,100.0,18042
18,44,68,68,100.0,18044
18,45,63,63,100.0,18045
18,47,71,71,100.0,18047
18,48,78,78,100.0,18048
18,49,65,65,100.0,18049
18,50,72,72,100.0,18050
18,51,164,164,100.0,18051
18,52,118,118,100.0,18052
18,53,76,76,100.0,18053
20,10,6,6,100.0,20010
20,28,70,70,100.0,20028
20,30,125,125,100.0,20030
21,2,41,41,100.0,21002
21,4,42,42,100.0,21004
21,15,75,75,100.0,21015
21,16,105,105,100.0,21016
21,26,84,84,100.0,21026
21,29,45,45,100.0,21029
21,32,97,97,100.0,21032
21,34,144,144,100.0,21034
21,36,83,83,100.0,21036
21,37,94,94,100.0,21037
21,41,102,102,100.0,21041
21,52,94,94,100.0,21052
21,57,95,95,100.0,21057
21,62,92,92,100.0,21062
21,63,161,161,100.0,21063
21,66,107,107,100.0,21066
21,67,124,124,100.0,21067
