ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
50,1,69,69,100.0,50001
50,2,83,83,100.0,50002
50,3,70,70,100.0,50003
50,4,72,72,100.0,50004
50,5,59,59,100.0,50005
50,6,73,73,100.0,50006
50,7,95,95,100.0,50007
50,8,31,31,100.0,50008
50,9,55,55,100.0,50009
50,10,41,41,100.0,50010
50,11,52,52,100.0,50011
50,12,64,64,100.0,50012
50,13,64,64,100.0,50013
50,14,34,34,100.0,50014
50,15,99,99,100.0,50015
50,16,50,50,100.0,50016
50,17,36,36,100.0,50017
50,18,58,58,100.0,50018
50,19,42,42,100.0,50019
50,20,76,76,100.0,50020
50,21,65,65,100.0,50021
50,22,44,44,100.0,50022
50,23,41,41,100.0,50023
50,24,50,50,100.0,50024
50,25,29,29,100.0,50025
50,26,30,30,100.0,50026
50,27,38,38,100.0,50027
50,28,68,68,100.0,50028
50,29,59,59,100.0,50029
50,30,54,54,100.0,50030
50,31,18,18,100.0,50031
50,32,59,59,100.0,50032
50,33,38,38,100.0,50033
50,34,48,48,100.0,50034
50,35,102,102,100.0,50035
50,36,68,68,100.0,50036
50,37,78,78,100.0,50037
50,38,74,74,100.0,50038
50,39,38,38,100.0,50039
50,40,47,47,100.0,50040
50,41,75,75,100.0,50041
50,42,69,69,100.0,50042
50,43,41,41,100.0,50043
