ward,precinct,total,Pat Dowell,Pat Dowell Percent,precinct_id
3,1,100,100,100.0,03001
3,2,171,171,100.0,03002
3,3,102,102,100.0,03003
3,4,78,78,100.0,03004
3,5,112,112,100.0,03005
3,6,11,11,100.0,03006
3,7,187,187,100.0,03007
3,8,78,78,100.0,03008
3,9,99,99,100.0,03009
3,10,26,26,100.0,03010
3,11,95,95,100.0,03011
3,12,72,72,100.0,03012
3,13,31,31,100.0,03013
3,14,102,102,100.0,03014
3,15,115,115,100.0,03015
3,16,88,88,100.0,03016
3,17,42,42,100.0,03017
3,18,51,51,100.0,03018
3,19,18,18,100.0,03019
3,20,68,68,100.0,03020
3,21,22,22,100.0,03021
3,22,57,57,100.0,03022
3,23,80,80,100.0,03023
3,24,122,122,100.0,03024
3,25,62,62,100.0,03025
3,26,17,17,100.0,03026
3,27,96,96,100.0,03027
3,28,112,112,100.0,03028
3,29,107,107,100.0,03029
3,30,86,86,100.0,03030
3,31,164,164,100.0,03031
3,32,65,65,100.0,03032
3,33,122,122,100.0,03033
3,34,89,89,100.0,03034
3,35,81,81,100.0,03035
3,36,22,22,100.0,03036
3,37,40,40,100.0,03037
3,38,207,207,100.0,03038
3,39,197,197,100.0,03039
3,40,100,100,100.0,03040
3,41,105,105,100.0,03041
3,42,83,83,100.0,03042
3,43,31,31,100.0,03043
3,44,14,14,100.0,03044
3,45,151,151,100.0,03045
3,46,36,36,100.0,03046
3,47,49,49,100.0,03047
3,48,66,66,100.0,03048
3,49,45,45,100.0,03049
3,50,37,37,100.0,03050
