ward,precinct,total,Laura Liu,Laura Liu Percent,precinct_id
2,1,105,105,100.0,02001
2,7,137,137,100.0,02007
2,8,112,112,100.0,02008
2,11,129,129,100.0,02011
2,12,0,0,0.0,02012
2,18,78,78,100.0,02018
2,19,99,99,100.0,02019
2,20,58,58,100.0,02020
2,21,127,127,100.0,02021
2,22,131,131,100.0,02022
2,24,48,48,100.0,02024
2,26,78,78,100.0,02026
2,30,63,63,100.0,02030
2,35,67,67,100.0,02035
2,36,118,118,100.0,02036
2,37,66,66,100.0,02037
2,38,120,120,100.0,02038
2,40,141,141,100.0,02040
2,43,107,107,100.0,02043
2,49,54,54,100.0,02049
2,53,50,50,100.0,02053
2,54,30,30,100.0,02054
3,3,73,73,100.0,03003
3,6,7,7,100.0,03006
3,28,85,85,100.0,03028
3,45,110,110,100.0,03045
11,14,48,48,100.0,11014
11,27,11,11,100.0,11027
11,36,14,14,100.0,11036
25,14,42,42,100.0,25014
25,16,33,33,100.0,25016
25,18,70,70,100.0,25018
27,5,19,19,100.0,27005
27,6,35,35,100.0,27006
27,9,110,110,100.0,27009
27,11,18,18,100.0,27011
27,12,51,51,100.0,27012
27,20,88,88,100.0,27020
27,21,87,87,100.0,27021
27,28,72,72,100.0,27028
27,35,51,51,100.0,27035
27,37,123,123,100.0,27037
27,42,26,26,100.0,27042
32,7,30,30,100.0,32007
32,8,65,65,100.0,32008
32,10,48,48,100.0,32010
32,13,17,17,100.0,32013
32,18,28,28,100.0,32018
32,20,6,6,100.0,32020
32,23,44,44,100.0,32023
32,27,36,36,100.0,32027
32,32,41,41,100.0,32032
32,37,31,31,100.0,32037
32,38,41,41,100.0,32038
32,39,45,45,100.0,32039
32,43,43,43,100.0,32043
32,44,49,49,100.0,32044
32,46,0,0,0.0,32046
32,47,57,57,100.0,32047
32,48,77,77,100.0,32048
32,49,28,28,100.0,32049
32,50,59,59,100.0,32050
32,51,45,45,100.0,32051
40,3,59,59,100.0,40003
40,4,73,73,100.0,40004
40,7,68,68,100.0,40007
40,11,43,43,100.0,40011
40,13,2,2,100.0,40013
40,16,84,84,100.0,40016
40,22,21,21,100.0,40022
40,23,58,58,100.0,40023
40,31,47,47,100.0,40031
40,32,84,84,100.0,40032
40,33,58,58,100.0,40033
40,36,64,64,100.0,40036
40,40,33,33,100.0,40040
40,41,125,125,100.0,40041
42,1,72,72,100.0,42001
42,2,48,48,100.0,42002
42,3,39,39,100.0,42003
42,4,69,69,100.0,42004
42,5,54,54,100.0,42005
42,6,151,151,100.0,42006
42,7,52,52,100.0,42007
42,8,69,69,100.0,42008
42,9,128,128,100.0,42009
42,10,115,115,100.0,42010
42,11,88,88,100.0,42011
42,12,47,47,100.0,42012
42,13,132,132,100.0,42013
42,14,46,46,100.0,42014
42,15,54,54,100.0,42015
42,16,37,37,100.0,42016
42,17,134,134,100.0,42017
42,19,13,13,100.0,42019
42,20,33,33,100.0,42020
42,22,29,29,100.0,42022
42,23,82,82,100.0,42023
42,24,55,55,100.0,42024
42,25,56,56,100.0,42025
42,26,100,100,100.0,42026
42,27,67,67,100.0,42027
42,28,73,73,100.0,42028
42,29,69,69,100.0,42029
42,30,39,39,100.0,42030
42,31,49,49,100.0,42031
42,32,48,48,100.0,42032
42,33,103,103,100.0,42033
42,34,43,43,100.0,42034
42,35,63,63,100.0,42035
42,36,35,35,100.0,42036
42,37,51,51,100.0,42037
42,38,36,36,100.0,42038
42,39,43,43,100.0,42039
42,40,58,58,100.0,42040
42,41,64,64,100.0,42041
42,42,76,76,100.0,42042
42,43,67,67,100.0,42043
42,44,51,51,100.0,42044
42,45,55,55,100.0,42045
42,46,32,32,100.0,42046
42,47,44,44,100.0,42047
42,48,45,45,100.0,42048
42,49,14,14,100.0,42049
42,50,92,92,100.0,42050
42,51,126,126,100.0,42051
42,52,39,39,100.0,42052
42,53,106,106,100.0,42053
42,54,41,41,100.0,42054
42,55,53,53,100.0,42055
42,56,54,54,100.0,42056
42,57,45,45,100.0,42057
42,58,25,25,100.0,42058
42,59,39,39,100.0,42059
42,60,31,31,100.0,42060
42,62,34,34,100.0,42062
42,63,76,76,100.0,42063
42,64,21,21,100.0,42064
42,65,71,71,100.0,42065
42,66,41,41,100.0,42066
42,67,68,68,100.0,42067
43,1,77,77,100.0,43001
43,2,46,46,100.0,43002
43,3,67,67,100.0,43003
43,4,62,62,100.0,43004
43,5,44,44,100.0,43005
43,6,91,91,100.0,43006
43,7,79,79,100.0,43007
43,8,81,81,100.0,43008
43,9,53,53,100.0,43009
43,10,50,50,100.0,43010
43,11,43,43,100.0,43011
43,12,66,66,100.0,43012
43,13,50,50,100.0,43013
43,14,61,61,100.0,43014
43,15,58,58,100.0,43015
43,16,48,48,100.0,43016
43,17,97,97,100.0,43017
43,18,76,76,100.0,43018
43,19,68,68,100.0,43019
43,20,76,76,100.0,43020
43,21,58,58,100.0,43021
43,22,34,34,100.0,43022
43,23,52,52,100.0,43023
43,24,68,68,100.0,43024
43,25,61,61,100.0,43025
43,26,48,48,100.0,43026
43,27,50,50,100.0,43027
43,28,72,72,100.0,43028
43,29,47,47,100.0,43029
43,30,55,55,100.0,43030
43,31,38,38,100.0,43031
43,32,60,60,100.0,43032
43,33,34,34,100.0,43033
43,34,22,22,100.0,43034
43,35,67,67,100.0,43035
43,36,43,43,100.0,43036
43,37,58,58,100.0,43037
43,38,25,25,100.0,43038
43,39,80,80,100.0,43039
43,40,65,65,100.0,43040
43,41,29,29,100.0,43041
43,42,24,24,100.0,43042
43,43,35,35,100.0,43043
43,44,55,55,100.0,43044
43,45,54,54,100.0,43045
43,46,59,59,100.0,43046
43,47,92,92,100.0,43047
43,48,42,42,100.0,43048
43,49,56,56,100.0,43049
43,50,43,43,100.0,43050
43,51,82,82,100.0,43051
44,1,58,58,100.0,44001
44,2,46,46,100.0,44002
44,3,83,83,100.0,44003
44,4,89,89,100.0,44004
44,5,84,84,100.0,44005
44,6,39,39,100.0,44006
44,7,63,63,100.0,44007
44,8,51,51,100.0,44008
44,9,27,27,100.0,44009
44,10,26,26,100.0,44010
44,11,57,57,100.0,44011
44,12,94,94,100.0,44012
44,13,34,34,100.0,44013
44,14,52,52,100.0,44014
44,15,78,78,100.0,44015
44,16,48,48,100.0,44016
44,17,81,81,100.0,44017
44,18,23,23,100.0,44018
44,19,88,88,100.0,44019
44,20,50,50,100.0,44020
44,21,53,53,100.0,44021
44,22,67,67,100.0,44022
44,23,45,45,100.0,44023
44,24,112,112,100.0,44024
44,25,35,35,100.0,44025
44,26,52,52,100.0,44026
44,27,58,58,100.0,44027
44,28,34,34,100.0,44028
44,29,51,51,100.0,44029
44,30,53,53,100.0,44030
44,31,44,44,100.0,44031
44,32,31,31,100.0,44032
44,33,67,67,100.0,44033
44,34,35,35,100.0,44034
44,35,138,138,100.0,44035
44,36,40,40,100.0,44036
44,37,76,76,100.0,44037
44,38,33,33,100.0,44038
44,39,42,42,100.0,44039
44,40,49,49,100.0,44040
44,41,75,75,100.0,44041
44,42,81,81,100.0,44042
44,43,42,42,100.0,44043
44,44,74,74,100.0,44044
44,45,54,54,100.0,44045
44,46,29,29,100.0,44046
44,47,72,72,100.0,44047
46,1,141,141,100.0,46001
46,2,61,61,100.0,46002
46,3,68,68,100.0,46003
46,4,45,45,100.0,46004
46,5,33,33,100.0,46005
46,6,65,65,100.0,46006
46,7,43,43,100.0,46007
46,8,59,59,100.0,46008
46,9,55,55,100.0,46009
46,10,34,34,100.0,46010
46,11,66,66,100.0,46011
46,12,65,65,100.0,46012
46,13,50,50,100.0,46013
46,14,44,44,100.0,46014
46,15,63,63,100.0,46015
46,16,53,53,100.0,46016
46,17,103,103,100.0,46017
46,18,111,111,100.0,46018
46,19,71,71,100.0,46019
46,20,61,61,100.0,46020
46,22,56,56,100.0,46022
46,23,59,59,100.0,46023
46,24,34,34,100.0,46024
46,25,67,67,100.0,46025
46,26,63,63,100.0,46026
46,27,63,63,100.0,46027
46,28,70,70,100.0,46028
46,29,64,64,100.0,46029
46,30,89,89,100.0,46030
46,31,84,84,100.0,46031
46,32,57,57,100.0,46032
46,33,67,67,100.0,46033
46,34,69,69,100.0,46034
46,35,81,81,100.0,46035
46,36,70,70,100.0,46036
46,37,56,56,100.0,46037
46,38,57,57,100.0,46038
46,39,90,90,100.0,46039
46,40,43,43,100.0,46040
46,41,58,58,100.0,46041
46,42,83,83,100.0,46042
46,43,85,85,100.0,46043
46,44,51,51,100.0,46044
46,45,66,66,100.0,46045
47,18,58,58,100.0,47018
47,23,34,34,100.0,47023
47,24,50,50,100.0,47024
47,25,4,4,100.0,47025
47,41,94,94,100.0,47041
47,44,59,59,100.0,47044
47,50,24,24,100.0,47050
48,1,72,72,100.0,48001
48,3,108,108,100.0,48003
48,4,80,80,100.0,48004
48,5,82,82,100.0,48005
48,6,98,98,100.0,48006
48,7,64,64,100.0,48007
48,8,48,48,100.0,48008
48,9,88,88,100.0,48009
48,10,48,48,100.0,48010
48,11,104,104,100.0,48011
48,12,72,72,100.0,48012
48,14,87,87,100.0,48014
48,15,0,0,0.0,48015
48,16,63,63,100.0,48016
48,17,77,77,100.0,48017
