ward,precinct,total,Bruce Randazzo,Bruce Randazzo Percent,precinct_id
36,5,116,116,100.0,36005
36,18,76,76,100.0,36018
36,29,71,71,100.0,36029
36,34,40,40,100.0,36034
36,48,56,56,100.0,36048
36,49,109,109,100.0,36049
41,1,58,58,100.0,41001
41,2,93,93,100.0,41002
41,3,49,49,100.0,41003
41,4,65,65,100.0,41004
41,5,78,78,100.0,41005
41,7,78,78,100.0,41007
41,8,49,49,100.0,41008
41,9,5,5,100.0,41009
41,11,65,65,100.0,41011
41,13,38,38,100.0,41013
41,15,64,64,100.0,41015
41,16,66,66,100.0,41016
41,17,77,77,100.0,41017
41,18,72,72,100.0,41018
41,20,87,87,100.0,41020
41,21,72,72,100.0,41021
41,22,55,55,100.0,41022
41,25,20,20,100.0,41025
41,26,23,23,100.0,41026
41,27,15,15,100.0,41027
41,31,77,77,100.0,41031
41,32,33,33,100.0,41032
41,33,47,47,100.0,41033
41,34,57,57,100.0,41034
41,35,73,73,100.0,41035
41,36,81,81,100.0,41036
41,37,65,65,100.0,41037
41,40,70,70,100.0,41040
41,41,56,56,100.0,41041
41,42,88,88,100.0,41042
41,43,59,59,100.0,41043
41,45,51,51,100.0,41045
41,46,62,62,100.0,41046
41,48,10,10,100.0,41048
41,49,76,76,100.0,41049
41,51,44,44,100.0,41051
41,52,114,114,100.0,41052
41,55,35,35,100.0,41055
41,56,85,85,100.0,41056
