ward,precinct,total,Kevin Cunningham,Kevin Cunningham Percent,Erica L. Reddick,Erica L. Reddick Percent,precinct_id
1,1,84,39,46.43,45,53.57,01001
1,2,42,17,40.48,25,59.52,01002
1,3,34,11,32.35,23,67.65,01003
1,4,52,19,36.54,33,63.46,01004
1,5,40,18,45.0,22,55.0,01005
1,6,45,23,51.11,22,48.89,01006
1,7,26,15,57.69,11,42.31,01007
1,8,62,19,30.65,43,69.35,01008
1,9,82,44,53.66,38,46.34,01009
1,10,44,11,25.0,33,75.0,01010
1,11,36,14,38.89,22,61.11,01011
1,12,54,26,48.15,28,51.85,01012
1,13,119,54,45.38,65,54.62,01013
1,14,71,24,33.8,47,66.2,01014
1,15,52,22,42.31,30,57.69,01015
1,16,59,33,55.93,26,44.07,01016
1,17,21,6,28.57,15,71.43,01017
1,18,50,20,40.0,30,60.0,01018
1,19,48,24,50.0,24,50.0,01019
1,20,114,53,46.49,61,53.51,01020
1,21,58,16,27.59,42,72.41,01021
1,22,49,21,42.86,28,57.14,01022
1,23,55,17,30.91,38,69.09,01023
1,24,140,55,39.29,85,60.71,01024
1,25,39,10,25.64,29,74.36,01025
1,26,22,12,54.55,10,45.45,01026
1,27,27,11,40.74,16,59.26,01027
1,28,21,7,33.33,14,66.67,01028
1,29,53,18,33.96,35,66.04,01029
1,30,131,63,48.09,68,51.91,01030
1,31,41,12,29.27,29,70.73,01031
1,32,55,26,47.27,29,52.73,01032
1,33,50,18,36.0,32,64.0,01033
1,34,28,9,32.14,19,67.86,01034
1,35,34,10,29.41,24,70.59,01035
1,36,44,11,25.0,33,75.0,01036
1,37,59,28,47.46,31,52.54,01037
1,38,36,14,38.89,22,61.11,01038
1,39,61,25,40.98,36,59.02,01039
1,40,27,9,33.33,18,66.67,01040
1,41,44,17,38.64,27,61.36,01041
1,42,35,13,37.14,22,62.86,01042
1,43,61,26,42.62,35,57.38,01043
1,44,28,10,35.71,18,64.29,01044
1,45,56,23,41.07,33,58.93,01045
1,46,63,14,22.22,49,77.78,01046
1,47,48,13,27.08,35,72.92,01047
1,48,51,17,33.33,34,66.67,01048
2,1,116,42,36.21,74,63.79,02001
2,2,14,9,64.29,5,35.71,02002
2,3,85,34,40.0,51,60.0,02003
2,4,60,35,58.33,25,41.67,02004
2,5,79,44,55.7,35,44.3,02005
2,6,65,22,33.85,43,66.15,02006
2,7,155,75,48.39,80,51.61,02007
2,8,118,45,38.14,73,61.86,02008
2,9,78,49,62.82,29,37.18,02009
2,10,81,49,60.49,32,39.51,02010
2,11,146,43,29.45,103,70.55,02011
2,12,71,25,35.21,46,64.79,02012
2,13,128,56,43.75,72,56.25,02013
2,14,154,57,37.01,97,62.99,02014
2,15,52,26,50.0,26,50.0,02015
2,16,63,13,20.63,50,79.37,02016
2,17,77,35,45.45,42,54.55,02017
2,18,83,33,39.76,50,60.24,02018
2,19,109,44,40.37,65,59.63,02019
2,20,193,97,50.26,96,49.74,02020
2,21,144,75,52.08,69,47.92,02021
2,22,156,53,33.97,103,66.03,02022
2,23,63,29,46.03,34,53.97,02023
2,24,53,22,41.51,31,58.49,02024
2,25,89,44,49.44,45,50.56,02025
2,26,93,47,50.54,46,49.46,02026
2,27,85,39,45.88,46,54.12,02027
2,28,44,16,36.36,28,63.64,02028
2,29,52,23,44.23,29,55.77,02029
2,30,68,23,33.82,45,66.18,02030
2,31,113,55,48.67,58,51.33,02031
2,32,31,15,48.39,16,51.61,02032
2,33,38,18,47.37,20,52.63,02033
2,34,113,69,61.06,44,38.94,02034
2,35,76,17,22.37,59,77.63,02035
2,36,137,63,45.99,74,54.01,02036
2,37,73,15,20.55,58,79.45,02037
2,38,134,47,35.07,87,64.93,02038
2,39,74,31,41.89,43,58.11,02039
2,40,149,77,51.68,72,48.32,02040
2,41,38,24,63.16,14,36.84,02041
2,42,76,42,55.26,34,44.74,02042
2,43,119,49,41.18,70,58.82,02043
2,44,80,38,47.5,42,52.5,02044
2,45,93,48,51.61,45,48.39,02045
2,46,163,80,49.08,83,50.92,02046
2,47,143,71,49.65,72,50.35,02047
2,48,99,56,56.57,43,43.43,02048
2,49,72,13,18.06,59,81.94,02049
2,50,43,20,46.51,23,53.49,02050
2,51,56,27,48.21,29,51.79,02051
2,52,137,62,45.26,75,54.74,02052
2,53,55,25,45.45,30,54.55,02053
2,54,36,13,36.11,23,63.89,02054
3,1,109,55,50.46,54,49.54,03001
3,2,164,69,42.07,95,57.93,03002
3,3,86,38,44.19,48,55.81,03003
3,4,79,27,34.18,52,65.82,03004
3,5,108,59,54.63,49,45.37,03005
3,6,8,3,37.5,5,62.5,03006
3,7,150,80,53.33,70,46.67,03007
3,8,76,40,52.63,36,47.37,03008
3,9,95,44,46.32,51,53.68,03009
3,10,25,7,28.0,18,72.0,03010
3,11,95,43,45.26,52,54.74,03011
3,12,72,36,50.0,36,50.0,03012
3,13,30,9,30.0,21,70.0,03013
3,14,98,65,66.33,33,33.67,03014
3,15,88,50,56.82,38,43.18,03015
3,16,87,35,40.23,52,59.77,03016
3,17,38,21,55.26,17,44.74,03017
3,18,48,26,54.17,22,45.83,03018
3,19,15,7,46.67,8,53.33,03019
3,20,70,31,44.29,39,55.71,03020
3,21,29,20,68.97,9,31.03,03021
3,22,54,22,40.74,32,59.26,03022
3,23,82,46,56.1,36,43.9,03023
3,24,126,73,57.94,53,42.06,03024
3,25,62,39,62.9,23,37.1,03025
3,26,16,6,37.5,10,62.5,03026
3,27,87,53,60.92,34,39.08,03027
3,28,102,35,34.31,67,65.69,03028
3,29,100,50,50.0,50,50.0,03029
3,30,82,37,45.12,45,54.88,03030
3,31,171,84,49.12,87,50.88,03031
3,32,65,28,43.08,37,56.92,03032
3,33,119,63,52.94,56,47.06,03033
3,34,83,33,39.76,50,60.24,03034
3,35,87,32,36.78,55,63.22,03035
3,36,22,15,68.18,7,31.82,03036
3,37,40,15,37.5,25,62.5,03037
3,38,201,131,65.17,70,34.83,03038
3,39,203,100,49.26,103,50.74,03039
3,40,110,55,50.0,55,50.0,03040
3,41,96,44,45.83,52,54.17,03041
3,42,81,40,49.38,41,50.62,03042
3,43,34,15,44.12,19,55.88,03043
3,44,16,6,37.5,10,62.5,03044
3,45,140,68,48.57,72,51.43,03045
3,46,38,19,50.0,19,50.0,03046
3,47,53,24,45.28,29,54.72,03047
3,48,50,31,62.0,19,38.0,03048
3,49,46,25,54.35,21,45.65,03049
3,50,34,23,67.65,11,32.35,03050
4,1,155,40,25.81,115,74.19,04001
4,2,187,82,43.85,105,56.15,04002
4,3,142,65,45.77,77,54.23,04003
4,4,139,60,43.17,79,56.83,04004
4,5,156,74,47.44,82,52.56,04005
4,6,70,30,42.86,40,57.14,04006
4,7,177,77,43.5,100,56.5,04007
4,8,165,69,41.82,96,58.18,04008
4,9,294,108,36.73,186,63.27,04009
4,10,132,59,44.7,73,55.3,04010
4,11,102,46,45.1,56,54.9,04011
4,12,84,39,46.43,45,53.57,04012
4,13,108,41,37.96,67,62.04,04013
4,14,68,25,36.76,43,63.24,04014
4,15,93,27,29.03,66,70.97,04015
4,16,156,75,48.08,81,51.92,04016
4,17,133,53,39.85,80,60.15,04017
4,18,102,45,44.12,57,55.88,04018
4,19,118,58,49.15,60,50.85,04019
4,20,115,57,49.57,58,50.43,04020
4,21,155,45,29.03,110,70.97,04021
4,22,141,50,35.46,91,64.54,04022
4,23,98,28,28.57,70,71.43,04023
4,24,115,43,37.39,72,62.61,04024
4,25,174,68,39.08,106,60.92,04025
4,26,125,62,49.6,63,50.4,04026
4,27,125,48,38.4,77,61.6,04027
4,28,77,23,29.87,54,70.13,04028
4,29,116,33,28.45,83,71.55,04029
4,30,108,61,56.48,47,43.52,04030
4,31,56,13,23.21,43,76.79,04031
4,32,96,23,23.96,73,76.04,04032
4,33,127,54,42.52,73,57.48,04033
4,34,77,14,18.18,63,81.82,04034
4,35,83,32,38.55,51,61.45,04035
4,36,87,27,31.03,60,68.97,04036
4,37,0,0,0.0,0,0.0,04037
4,38,195,54,27.69,141,72.31,04038
4,39,82,30,36.59,52,63.41,04039
4,40,137,61,44.53,76,55.47,04040
4,41,40,5,12.5,35,87.5,04041
4,42,148,71,47.97,77,52.03,04042
4,43,70,24,34.29,46,65.71,04043
4,44,59,27,45.76,32,54.24,04044
4,45,255,91,35.69,164,64.31,04045
4,46,94,38,40.43,56,59.57,04046
4,47,125,33,26.4,92,73.6,04047
4,48,135,44,32.59,91,67.41,04048
4,49,102,46,45.1,56,54.9,04049
4,50,134,65,48.51,69,51.49,04050
4,51,162,71,43.83,91,56.17,04051
4,52,139,87,62.59,52,37.41,04052
5,1,139,74,53.24,65,46.76,05001
5,2,161,78,48.45,83,51.55,05002
5,3,55,10,18.18,45,81.82,05003
5,4,87,42,48.28,45,51.72,05004
5,5,90,47,52.22,43,47.78,05005
5,6,140,71,50.71,69,49.29,05006
5,7,156,81,51.92,75,48.08,05007
5,8,113,17,15.04,96,84.96,05008
5,9,105,60,57.14,45,42.86,05009
5,10,81,44,54.32,37,45.68,05010
5,11,237,73,30.8,164,69.2,05011
5,12,65,38,58.46,27,41.54,05012
5,13,126,70,55.56,56,44.44,05013
5,14,196,74,37.76,122,62.24,05014
5,15,83,25,30.12,58,69.88,05015
5,16,79,44,55.7,35,44.3,05016
5,17,120,70,58.33,50,41.67,05017
5,18,101,51,50.5,50,49.5,05018
5,19,62,31,50.0,31,50.0,05019
5,20,38,16,42.11,22,57.89,05020
5,21,157,82,52.23,75,47.77,05021
5,22,115,64,55.65,51,44.35,05022
5,23,71,34,47.89,37,52.11,05023
5,24,123,38,30.89,85,69.11,05024
5,25,90,44,48.89,46,51.11,05025
5,26,135,65,48.15,70,51.85,05026
5,27,94,23,24.47,71,75.53,05027
5,28,156,62,39.74,94,60.26,05028
5,29,114,52,45.61,62,54.39,05029
5,30,83,13,15.66,70,84.34,05030
5,31,87,45,51.72,42,48.28,05031
5,32,246,91,36.99,155,63.01,05032
5,33,103,58,56.31,45,43.69,05033
5,34,116,61,52.59,55,47.41,05034
5,35,140,38,27.14,102,72.86,05035
5,36,198,114,57.58,84,42.42,05036
5,37,237,83,35.02,154,64.98,05037
5,38,67,39,58.21,28,41.79,05038
5,39,119,39,32.77,80,67.23,05039
5,40,102,42,41.18,60,58.82,05040
5,41,132,17,12.88,115,87.12,05041
5,42,60,37,61.67,23,38.33,05042
5,43,132,65,49.24,67,50.76,05043
5,44,105,41,39.05,64,60.95,05044
5,45,100,55,55.0,45,45.0,05045
5,46,117,28,23.93,89,76.07,05046
5,47,87,42,48.28,45,51.72,05047
5,48,77,31,40.26,46,59.74,05048
6,1,200,83,41.5,117,58.5,06001
6,2,171,68,39.77,103,60.23,06002
6,3,158,61,38.61,97,61.39,06003
6,4,77,43,55.84,34,44.16,06004
6,5,132,46,34.85,86,65.15,06005
6,6,246,90,36.59,156,63.41,06006
6,7,171,84,49.12,87,50.88,06007
6,8,184,70,38.04,114,61.96,06008
6,9,137,48,35.04,89,64.96,06009
6,10,250,112,44.8,138,55.2,06010
6,11,102,30,29.41,72,70.59,06011
6,12,127,61,48.03,66,51.97,06012
6,13,100,48,48.0,52,52.0,06013
6,14,108,46,42.59,62,57.41,06014
6,15,66,37,56.06,29,43.94,06015
6,16,175,61,34.86,114,65.14,06016
6,17,167,60,35.93,107,64.07,06017
6,18,51,21,41.18,30,58.82,06018
6,19,138,43,31.16,95,68.84,06019
6,20,121,46,38.02,75,61.98,06020
6,21,166,60,36.14,106,63.86,06021
6,22,143,67,46.85,76,53.15,06022
6,23,121,51,42.15,70,57.85,06023
6,24,145,57,39.31,88,60.69,06024
6,25,85,29,34.12,56,65.88,06025
6,26,128,53,41.41,75,58.59,06026
6,27,190,81,42.63,109,57.37,06027
6,28,271,104,38.38,167,61.62,06028
6,29,178,72,40.45,106,59.55,06029
6,30,93,34,36.56,59,63.44,06030
6,31,164,67,40.85,97,59.15,06031
6,32,129,47,36.43,82,63.57,06032
6,33,147,64,43.54,83,56.46,06033
6,34,99,40,40.4,59,59.6,06034
6,35,130,56,43.08,74,56.92,06035
6,36,60,34,56.67,26,43.33,06036
6,37,178,69,38.76,109,61.24,06037
6,38,143,53,37.06,90,62.94,06038
6,39,77,33,42.86,44,57.14,06039
6,40,189,78,41.27,111,58.73,06040
6,41,163,76,46.63,87,53.37,06041
6,42,38,15,39.47,23,60.53,06042
6,43,141,58,41.13,83,58.87,06043
6,44,160,61,38.13,99,61.88,06044
6,45,202,64,31.68,138,68.32,06045
6,46,130,49,37.69,81,62.31,06046
6,47,146,58,39.73,88,60.27,06047
6,48,109,54,49.54,55,50.46,06048
6,49,143,61,42.66,82,57.34,06049
6,50,179,64,35.75,115,64.25,06050
6,51,131,47,35.88,84,64.12,06051
6,52,87,35,40.23,52,59.77,06052
6,53,119,50,42.02,69,57.98,06053
6,54,119,47,39.5,72,60.5,06054
6,55,98,38,38.78,60,61.22,06055
6,56,96,40,41.67,56,58.33,06056
6,57,133,45,33.83,88,66.17,06057
6,58,180,61,33.89,119,66.11,06058
6,59,123,55,44.72,68,55.28,06059
7,1,252,100,39.68,152,60.32,07001
7,2,132,49,37.12,83,62.88,07002
7,3,133,64,48.12,69,51.88,07003
7,4,75,42,56.0,33,44.0,07004
7,5,63,31,49.21,32,50.79,07005
7,6,81,42,51.85,39,48.15,07006
7,7,70,38,54.29,32,45.71,07007
7,8,26,14,53.85,12,46.15,07008
7,9,229,97,42.36,132,57.64,07009
7,10,129,56,43.41,73,56.59,07010
7,11,132,44,33.33,88,66.67,07011
7,12,131,69,52.67,62,47.33,07012
7,13,195,89,45.64,106,54.36,07013
7,14,130,64,49.23,66,50.77,07014
7,15,101,43,42.57,58,57.43,07015
7,16,121,47,38.84,74,61.16,07016
7,17,55,34,61.82,21,38.18,07017
7,18,149,66,44.3,83,55.7,07018
7,19,145,83,57.24,62,42.76,07019
7,20,28,9,32.14,19,67.86,07020
7,21,80,40,50.0,40,50.0,07021
7,22,57,27,47.37,30,52.63,07022
7,23,87,37,42.53,50,57.47,07023
7,24,208,99,47.6,109,52.4,07024
7,25,212,107,50.47,105,49.53,07025
7,26,128,66,51.56,62,48.44,07026
7,27,200,99,49.5,101,50.5,07027
7,28,92,42,45.65,50,54.35,07028
7,29,84,38,45.24,46,54.76,07029
7,30,136,65,47.79,71,52.21,07030
7,31,129,58,44.96,71,55.04,07031
7,32,61,27,44.26,34,55.74,07032
7,33,99,59,59.6,40,40.4,07033
7,34,39,26,66.67,13,33.33,07034
7,35,151,62,41.06,89,58.94,07035
7,36,112,59,52.68,53,47.32,07036
7,37,155,74,47.74,81,52.26,07037
7,38,171,94,54.97,77,45.03,07038
7,39,276,102,36.96,174,63.04,07039
7,40,137,67,48.91,70,51.09,07040
7,41,84,36,42.86,48,57.14,07041
7,42,141,68,48.23,73,51.77,07042
7,43,109,59,54.13,50,45.87,07043
7,44,163,83,50.92,80,49.08,07044
7,45,176,67,38.07,109,61.93,07045
7,46,70,40,57.14,30,42.86,07046
7,47,79,44,55.7,35,44.3,07047
7,48,93,39,41.94,54,58.06,07048
7,49,209,97,46.41,112,53.59,07049
8,1,145,67,46.21,78,53.79,08001
8,2,63,34,53.97,29,46.03,08002
8,3,199,94,47.24,105,52.76,08003
8,4,285,108,37.89,177,62.11,08004
8,5,299,133,44.48,166,55.52,08005
8,6,136,69,50.74,67,49.26,08006
8,7,105,51,48.57,54,51.43,08007
8,8,154,68,44.16,86,55.84,08008
8,9,181,84,46.41,97,53.59,08009
8,10,182,64,35.16,118,64.84,08010
8,11,115,53,46.09,62,53.91,08011
8,12,108,50,46.3,58,53.7,08012
8,13,77,42,54.55,35,45.45,08013
8,14,82,38,46.34,44,53.66,08014
8,15,109,52,47.71,57,52.29,08015
8,16,160,56,35.0,104,65.0,08016
8,17,151,78,51.66,73,48.34,08017
8,18,60,23,38.33,37,61.67,08018
8,19,176,79,44.89,97,55.11,08019
8,20,201,92,45.77,109,54.23,08020
8,21,115,39,33.91,76,66.09,08021
8,22,106,45,42.45,61,57.55,08022
8,23,104,46,44.23,58,55.77,08023
8,24,138,64,46.38,74,53.62,08024
8,25,117,37,31.62,80,68.38,08025
8,26,70,23,32.86,47,67.14,08026
8,27,156,77,49.36,79,50.64,08027
8,28,241,86,35.68,155,64.32,08028
8,29,115,45,39.13,70,60.87,08029
8,30,92,45,48.91,47,51.09,08030
8,31,85,40,47.06,45,52.94,08031
8,32,190,79,41.58,111,58.42,08032
8,33,161,91,56.52,70,43.48,08033
8,34,155,68,43.87,87,56.13,08034
8,35,165,78,47.27,87,52.73,08035
8,36,137,65,47.45,72,52.55,08036
8,37,135,62,45.93,73,54.07,08037
8,38,102,68,66.67,34,33.33,08038
8,39,143,69,48.25,74,51.75,08039
8,40,91,40,43.96,51,56.04,08040
8,41,95,44,46.32,51,53.68,08041
