ward,precinct,total,Jesse G. Reyes,Jesse G. Reyes Percent,Rodolfo (Rudy) Garcia,Rodolfo (Rudy) Garcia Percent,William Stewart Boyd,William Stewart Boyd Percent,Ellen L. Flannigan,Ellen L. Flannigan Percent,Don R. Sampen,Don R. Sampen Percent,precinct_id
1,1,84,25,29.76,20,23.81,12,14.29,21,25.0,6,7.14,01001
1,2,47,13,27.66,12,25.53,9,19.15,9,19.15,4,8.51,01002
1,3,35,14,40.0,2,5.71,7,20.0,8,22.86,4,11.43,01003
1,4,54,20,37.04,5,9.26,8,14.81,15,27.78,6,11.11,01004
1,5,42,19,45.24,3,7.14,4,9.52,11,26.19,5,11.9,01005
1,6,53,10,18.87,17,32.08,11,20.75,13,24.53,2,3.77,01006
1,7,29,9,31.03,5,17.24,8,27.59,4,13.79,3,10.34,01007
1,8,64,15,23.44,9,14.06,19,29.69,15,23.44,6,9.38,01008
1,9,86,33,38.37,21,24.42,12,13.95,16,18.6,4,4.65,01009
1,10,56,16,28.57,7,12.5,11,19.64,9,16.07,13,23.21,01010
1,11,46,14,30.43,14,30.43,3,6.52,12,26.09,3,6.52,01011
1,12,61,15,24.59,10,16.39,9,14.75,18,29.51,9,14.75,01012
1,13,131,45,34.35,26,19.85,14,10.69,32,24.43,14,10.69,01013
1,14,73,30,41.1,13,17.81,13,17.81,10,13.7,7,9.59,01014
1,15,59,23,38.98,18,30.51,11,18.64,3,5.08,4,6.78,01015
1,16,68,33,48.53,16,23.53,8,11.76,11,16.18,0,0.0,01016
1,17,23,6,26.09,1,4.35,6,26.09,6,26.09,4,17.39,01017
1,18,56,22,39.29,15,26.79,8,14.29,8,14.29,3,5.36,01018
1,19,52,19,36.54,11,21.15,7,13.46,11,21.15,4,7.69,01019
1,20,134,73,54.48,23,17.16,9,6.72,21,15.67,8,5.97,01020
1,21,61,19,31.15,12,19.67,9,14.75,13,21.31,8,13.11,01021
1,22,53,15,28.3,15,28.3,7,13.21,10,18.87,6,11.32,01022
1,23,58,21,36.21,10,17.24,5,8.62,15,25.86,7,12.07,01023
1,24,151,59,39.07,22,14.57,25,16.56,31,20.53,14,9.27,01024
1,25,43,15,34.88,9,20.93,5,11.63,7,16.28,7,16.28,01025
1,26,27,12,44.44,2,7.41,2,7.41,7,25.93,4,14.81,01026
1,27,34,14,41.18,8,23.53,2,5.88,8,23.53,2,5.88,01027
1,28,23,7,30.43,1,4.35,10,43.48,3,13.04,2,8.7,01028
1,29,56,16,28.57,10,17.86,6,10.71,16,28.57,8,14.29,01029
1,30,141,62,43.97,32,22.7,14,9.93,25,17.73,8,5.67,01030
1,31,46,8,17.39,8,17.39,18,39.13,5,10.87,7,15.22,01031
1,32,73,41,56.16,16,21.92,7,9.59,8,10.96,1,1.37,01032
1,33,63,19,30.16,15,23.81,6,9.52,13,20.63,10,15.87,01033
1,34,32,10,31.25,8,25.0,4,12.5,7,21.88,3,9.38,01034
1,35,37,10,27.03,11,29.73,3,8.11,9,24.32,4,10.81,01035
1,36,45,11,24.44,5,11.11,4,8.89,11,24.44,14,31.11,01036
1,37,64,24,37.5,10,15.63,15,23.44,11,17.19,4,6.25,01037
1,38,36,16,44.44,6,16.67,4,11.11,7,19.44,3,8.33,01038
1,39,68,24,35.29,20,29.41,4,5.88,14,20.59,6,8.82,01039
1,40,33,10,30.3,5,15.15,5,15.15,9,27.27,4,12.12,01040
1,41,50,21,42.0,9,18.0,5,10.0,9,18.0,6,12.0,01041
1,42,34,13,38.24,4,11.76,11,32.35,4,11.76,2,5.88,01042
1,43,75,36,48.0,13,17.33,7,9.33,13,17.33,6,8.0,01043
1,44,29,9,31.03,4,13.79,7,24.14,7,24.14,2,6.9,01044
1,45,65,19,29.23,18,27.69,9,13.85,14,21.54,5,7.69,01045
1,46,70,24,34.29,13,18.57,8,11.43,19,27.14,6,8.57,01046
1,47,52,15,28.85,10,19.23,9,17.31,11,21.15,7,13.46,01047
1,48,66,21,31.82,16,24.24,9,13.64,15,22.73,5,7.58,01048
2,1,126,33,26.19,24,19.05,29,23.02,24,19.05,16,12.7,02001
2,2,13,4,30.77,5,38.46,3,23.08,1,7.69,0,0.0,02002
2,3,93,26,27.96,11,11.83,21,22.58,28,30.11,7,7.53,02003
2,4,75,24,32.0,7,9.33,26,34.67,16,21.33,2,2.67,02004
2,5,91,33,36.26,11,12.09,32,35.16,13,14.29,2,2.2,02005
