ward,precinct,total,Pamela M. Leeming,Pamela M. Leeming Percent,Terrence M Jordan,Terrence M Jordan Percent,Mary Margaret Burke,Mary Margaret Burke Percent,Sammy W. Lacey Jr.,Sammy W. Lacey Jr. Percent,Rhonda Salle̩,Rhonda Salle̩ Percent,Steve Demitro,Steve Demitro Percent,precinct_id
1,1,92,26,28.26,9,9.78,22,23.91,2,2.17,3,3.26,27,29.35,01001
1,2,45,14,31.11,5,11.11,8,17.78,0,0.0,3,6.67,9,20.0,01002
1,3,32,13,40.63,2,6.25,7,21.88,0,0.0,1,3.13,2,6.25,01003
1,4,54,22,40.74,1,1.85,14,25.93,3,5.56,2,3.7,6,11.11,01004
1,5,37,10,27.03,3,8.11,15,40.54,1,2.7,3,8.11,3,8.11,01005
1,6,57,18,31.58,4,7.02,12,21.05,1,1.75,1,1.75,18,31.58,01006
1,7,26,11,42.31,1,3.85,8,30.77,1,3.85,3,11.54,1,3.85,01007
1,8,63,25,39.68,4,6.35,10,15.87,2,3.17,4,6.35,9,14.29,01008
1,9,79,16,20.25,10,12.66,15,18.99,4,5.06,4,5.06,21,26.58,01009
1,10,44,22,50.0,4,9.09,9,20.45,1,2.27,3,6.82,5,11.36,01010
1,11,39,13,33.33,3,7.69,10,25.64,1,2.56,4,10.26,6,15.38,01011
1,12,56,21,37.5,5,8.93,12,21.43,0,0.0,4,7.14,8,14.29,01012
1,13,125,39,31.2,10,8.0,22,17.6,6,4.8,10,8.0,28,22.4,01013
1,14,72,29,40.28,9,12.5,13,18.06,2,2.78,6,8.33,11,15.28,01014
1,15,53,18,33.96,6,11.32,11,20.75,3,5.66,4,7.55,9,16.98,01015
1,16,62,17,27.42,17,27.42,15,24.19,5,8.06,1,1.61,6,9.68,01016
1,17,20,11,55.0,0,0.0,6,30.0,1,5.0,0,0.0,2,10.0,01017
1,18,54,19,35.19,7,12.96,11,20.37,4,7.41,3,5.56,7,12.96,01018
1,19,46,14,30.43,5,10.87,12,26.09,1,2.17,2,4.35,8,17.39,01019
1,20,119,34,28.57,13,10.92,31,26.05,5,4.2,4,3.36,20,16.81,01020
1,21,61,32,52.46,3,4.92,15,24.59,0,0.0,4,6.56,3,4.92,01021
1,22,46,9,19.57,8,17.39,15,32.61,5,10.87,2,4.35,6,13.04,01022
1,23,59,21,35.59,4,6.78,14,23.73,4,6.78,2,3.39,9,15.25,01023
1,24,143,40,27.97,13,9.09,39,27.27,2,1.4,18,12.59,16,11.19,01024
1,25,40,18,45.0,3,7.5,7,17.5,1,2.5,4,10.0,3,7.5,01025
1,26,23,4,17.39,3,13.04,9,39.13,0,0.0,2,8.7,4,17.39,01026
1,27,25,9,36.0,1,4.0,10,40.0,1,4.0,0,0.0,1,4.0,01027
1,28,20,9,45.0,2,10.0,3,15.0,0,0.0,1,5.0,1,5.0,01028
1,29,50,17,34.0,3,6.0,13,26.0,2,4.0,3,6.0,6,12.0,01029
1,30,132,43,32.58,14,10.61,30,22.73,2,1.52,5,3.79,30,22.73,01030
1,31,43,21,48.84,3,6.98,8,18.6,4,9.3,3,6.98,2,4.65,01031
1,32,61,15,24.59,7,11.48,13,21.31,4,6.56,5,8.2,15,24.59,01032
1,33,57,16,28.07,7,12.28,20,35.09,0,0.0,2,3.51,7,12.28,01033
1,34,29,11,37.93,4,13.79,6,20.69,0,0.0,2,6.9,3,10.34,01034
1,35,35,15,42.86,5,14.29,7,20.0,0,0.0,2,5.71,5,14.29,01035
1,36,44,23,52.27,1,2.27,14,31.82,1,2.27,1,2.27,1,2.27,01036
1,37,59,19,32.2,9,15.25,14,23.73,0,0.0,2,3.39,10,16.95,01037
1,38,36,13,36.11,9,25.0,8,22.22,0,0.0,4,11.11,1,2.78,01038
1,39,62,19,30.65,9,14.52,13,20.97,2,3.23,9,14.52,6,9.68,01039
1,40,29,12,41.38,4,13.79,6,20.69,0,0.0,1,3.45,3,10.34,01040
1,41,43,19,44.19,4,9.3,9,20.93,0,0.0,3,6.98,3,6.98,01041
1,42,35,17,48.57,2,5.71,9,25.71,1,2.86,0,0.0,5,14.29,01042
1,43,63,21,33.33,6,9.52,18,28.57,1,1.59,3,4.76,7,11.11,01043
1,44,29,15,51.72,1,3.45,5,17.24,0,0.0,2,6.9,4,13.79,01044
1,45,57,23,40.35,4,7.02,15,26.32,1,1.75,5,8.77,6,10.53,01045
1,46,65,29,44.62,6,9.23,14,21.54,2,3.08,4,6.15,7,10.77,01046
1,47,46,22,47.83,7,15.22,10,21.74,1,2.17,2,4.35,2,4.35,01047
