ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,precinct_id
4,1,158,158,100.0,04001
4,2,188,188,100.0,04002
4,3,142,142,100.0,04003
4,4,140,140,100.0,04004
4,5,154,154,100.0,04005
4,6,64,64,100.0,04006
4,7,170,170,100.0,04007
4,8,171,171,100.0,04008
4,9,274,274,100.0,04009
4,10,128,128,100.0,04010
4,11,100,100,100.0,04011
4,12,83,83,100.0,04012
4,13,113,113,100.0,04013
4,14,70,70,100.0,04014
4,15,107,107,100.0,04015
4,16,149,149,100.0,04016
4,17,137,137,100.0,04017
4,18,102,102,100.0,04018
4,19,113,113,100.0,04019
4,20,128,128,100.0,04020
4,21,153,153,100.0,04021
4,22,134,134,100.0,04022
4,23,101,101,100.0,04023
4,24,122,122,100.0,04024
4,25,166,166,100.0,04025
4,26,109,109,100.0,04026
4,27,123,123,100.0,04027
4,28,77,77,100.0,04028
4,29,121,121,100.0,04029
4,30,116,116,100.0,04030
4,31,63,63,100.0,04031
4,32,111,111,100.0,04032
4,33,126,126,100.0,04033
4,34,86,86,100.0,04034
4,35,73,73,100.0,04035
4,36,86,86,100.0,04036
4,37,0,0,0.0,04037
4,38,212,212,100.0,04038
4,39,82,82,100.0,04039
4,40,143,143,100.0,04040
4,41,51,51,100.0,04041
4,42,157,157,100.0,04042
4,43,77,77,100.0,04043
4,44,53,53,100.0,04044
4,45,261,261,100.0,04045
4,46,89,89,100.0,04046
4,47,126,126,100.0,04047
4,48,144,144,100.0,04048
4,49,105,105,100.0,04049
4,50,131,131,100.0,04050
4,51,154,154,100.0,04051
4,52,137,137,100.0,04052
