ward,precinct,total,Carl B. Boyd,Carl B. Boyd Percent,Arthur Wesley ''Wes'' Willis,Arthur Wesley ''Wes'' Willis Percent,Alma Learetta Tyson,Alma Learetta Tyson Percent,Chester Slaughter,Chester Slaughter Percent,precinct_id
9,1,149,66,44.3,24,16.11,26,17.45,33,22.15,09001
9,2,119,61,51.26,21,17.65,16,13.45,21,17.65,09002
9,3,43,33,76.74,5,11.63,3,6.98,2,4.65,09003
9,4,147,81,55.1,41,27.89,15,10.2,10,6.8,09004
9,5,133,69,51.88,16,12.03,19,14.29,29,21.8,09005
9,6,201,116,57.71,35,17.41,17,8.46,33,16.42,09006
9,7,127,74,58.27,14,11.02,25,19.69,14,11.02,09007
9,8,113,52,46.02,25,22.12,17,15.04,19,16.81,09008
9,9,185,107,57.84,20,10.81,28,15.14,30,16.22,09009
9,10,111,57,51.35,13,11.71,15,13.51,26,23.42,09010
9,11,75,37,49.33,20,26.67,9,12.0,9,12.0,09011
9,12,103,46,44.66,23,22.33,17,16.5,17,16.5,09012
9,14,182,101,55.49,29,15.93,26,14.29,26,14.29,09014
9,15,108,48,44.44,21,19.44,24,22.22,15,13.89,09015
9,16,157,56,35.67,51,32.48,30,19.11,20,12.74,09016
9,17,83,40,48.19,11,13.25,15,18.07,17,20.48,09017
9,18,124,66,53.23,24,19.35,13,10.48,21,16.94,09018
9,19,143,75,52.45,35,24.48,12,8.39,21,14.69,09019
9,20,166,77,46.39,44,26.51,14,8.43,31,18.67,09020
9,21,144,63,43.75,21,14.58,32,22.22,28,19.44,09021
9,22,217,121,55.76,43,19.82,27,12.44,26,11.98,09022
9,23,97,47,48.45,22,22.68,15,15.46,13,13.4,09023
9,24,85,68,80.0,5,5.88,8,9.41,4,4.71,09024
9,25,78,27,34.62,18,23.08,24,30.77,9,11.54,09025
9,26,64,33,51.56,14,21.88,7,10.94,10,15.63,09026
9,27,100,55,55.0,15,15.0,18,18.0,12,12.0,09027
9,28,39,16,41.03,9,23.08,9,23.08,5,12.82,09028
9,29,75,28,37.33,17,22.67,14,18.67,16,21.33,09029
9,30,70,32,45.71,11,15.71,11,15.71,16,22.86,09030
9,31,103,51,49.51,21,20.39,12,11.65,19,18.45,09031
9,32,187,88,47.06,36,19.25,29,15.51,34,18.18,09032
9,33,84,48,57.14,14,16.67,10,11.9,12,14.29,09033
9,34,121,63,52.07,15,12.4,20,16.53,23,19.01,09034
9,37,87,34,39.08,24,27.59,18,20.69,11,12.64,09037
9,38,114,60,52.63,20,17.54,21,18.42,13,11.4,09038
9,39,214,128,59.81,37,17.29,23,10.75,26,12.15,09039
9,40,224,111,49.55,45,20.09,32,14.29,36,16.07,09040
9,41,139,60,43.17,51,36.69,12,8.63,16,11.51,09041
9,42,55,22,40.0,10,18.18,13,23.64,10,18.18,09042
9,43,56,23,41.07,13,23.21,10,17.86,10,17.86,09043
9,44,67,31,46.27,12,17.91,13,19.4,11,16.42,09044
9,45,222,89,40.09,68,30.63,33,14.86,32,14.41,09045
9,46,60,23,38.33,9,15.0,18,30.0,10,16.67,09046
18,24,162,99,61.11,25,15.43,11,6.79,27,16.67,18024
18,25,256,132,51.56,50,19.53,37,14.45,37,14.45,18025
18,46,109,60,55.05,13,11.93,18,16.51,18,16.51,18046
19,43,22,12,54.55,8,36.36,0,0.0,2,9.09,19043
19,60,116,61,52.59,21,18.1,25,21.55,9,7.76,19060
21,1,170,75,44.12,37,21.76,40,23.53,18,10.59,21001
21,3,203,95,46.8,31,15.27,38,18.72,39,19.21,21003
21,5,137,68,49.64,20,14.6,26,18.98,23,16.79,21005
21,6,114,58,50.88,20,17.54,19,16.67,17,14.91,21006
21,7,238,124,52.1,33,13.87,39,16.39,42,17.65,21007
21,8,133,84,63.16,16,12.03,17,12.78,16,12.03,21008
21,9,115,72,62.61,20,17.39,12,10.43,11,9.57,21009
21,10,180,93,51.67,26,14.44,30,16.67,31,17.22,21010
21,11,106,63,59.43,19,17.92,18,16.98,6,5.66,21011
21,12,129,78,60.47,25,19.38,15,11.63,11,8.53,21012
21,13,57,31,54.39,15,26.32,5,8.77,6,10.53,21013
21,14,225,113,50.22,30,13.33,26,11.56,56,24.89,21014
21,18,115,57,49.57,20,17.39,20,17.39,18,15.65,21018
21,19,121,72,59.5,21,17.36,11,9.09,17,14.05,21019
21,20,62,34,54.84,10,16.13,11,17.74,7,11.29,21020
21,21,123,57,46.34,32,26.02,19,15.45,15,12.2,21021
21,22,114,50,43.86,34,29.82,18,15.79,12,10.53,21022
21,23,90,48,53.33,13,14.44,15,16.67,14,15.56,21023
21,24,134,69,51.49,22,16.42,17,12.69,26,19.4,21024
21,25,213,117,54.93,35,16.43,28,13.15,33,15.49,21025
