ward,precinct,total,Arthur Turner,Arthur Turner Percent,precinct_id
2,2,13,13,100.0,02002
2,3,84,84,100.0,02003
2,4,66,66,100.0,02004
2,6,67,67,100.0,02006
2,9,73,73,100.0,02009
2,10,83,83,100.0,02010
2,12,68,68,100.0,02012
2,13,134,134,100.0,02013
2,16,64,64,100.0,02016
2,17,78,78,100.0,02017
2,25,97,97,100.0,02025
2,28,41,41,100.0,02028
2,29,55,55,100.0,02029
2,32,34,34,100.0,02032
2,33,39,39,100.0,02033
2,34,111,111,100.0,02034
2,39,78,78,100.0,02039
2,41,38,38,100.0,02041
2,50,43,43,100.0,02050
2,51,56,56,100.0,02051
22,7,103,103,100.0,22007
22,19,52,52,100.0,22019
22,21,105,105,100.0,22021
24,1,129,129,100.0,24001
24,2,62,62,100.0,24002
24,3,69,69,100.0,24003
24,4,84,84,100.0,24004
24,5,90,90,100.0,24005
24,6,110,110,100.0,24006
24,8,74,74,100.0,24008
24,9,86,86,100.0,24009
24,10,76,76,100.0,24010
24,11,126,126,100.0,24011
24,12,74,74,100.0,24012
24,13,61,61,100.0,24013
24,14,104,104,100.0,24014
24,15,75,75,100.0,24015
24,17,60,60,100.0,24017
24,20,59,59,100.0,24020
24,21,43,43,100.0,24021
24,22,153,153,100.0,24022
24,23,118,118,100.0,24023
24,24,151,151,100.0,24024
24,25,87,87,100.0,24025
24,26,105,105,100.0,24026
24,27,140,140,100.0,24027
24,28,114,114,100.0,24028
24,30,68,68,100.0,24030
24,31,94,94,100.0,24031
24,34,77,77,100.0,24034
24,35,126,126,100.0,24035
24,36,132,132,100.0,24036
24,37,100,100,100.0,24037
24,38,111,111,100.0,24038
24,40,122,122,100.0,24040
24,43,121,121,100.0,24043
24,44,140,140,100.0,24044
24,45,64,64,100.0,24045
24,47,74,74,100.0,24047
24,48,117,117,100.0,24048
24,49,194,194,100.0,24049
24,50,164,164,100.0,24050
25,3,43,43,100.0,25003
25,4,82,82,100.0,25004
25,10,44,44,100.0,25010
25,21,79,79,100.0,25021
25,25,60,60,100.0,25025
25,27,49,49,100.0,25027
25,28,85,85,100.0,25028
25,29,134,134,100.0,25029
27,1,51,51,100.0,27001
27,5,26,26,100.0,27005
27,6,28,28,100.0,27006
27,7,55,55,100.0,27007
27,9,129,129,100.0,27009
27,11,20,20,100.0,27011
27,12,55,55,100.0,27012
27,16,28,28,100.0,27016
27,17,40,40,100.0,27017
27,20,85,85,100.0,27020
27,21,81,81,100.0,27021
27,28,78,78,100.0,27028
27,33,0,0,0.0,27033
27,37,115,115,100.0,27037
27,45,21,21,100.0,27045
28,34,55,55,100.0,28034
28,35,59,59,100.0,28035
28,52,55,55,100.0,28052
28,54,60,60,100.0,28054
28,55,41,41,100.0,28055
42,12,56,56,100.0,42012
42,21,0,0,0.0,42021
42,61,34,34,100.0,42061
43,1,82,82,100.0,43001
43,3,19,19,100.0,43003
43,5,48,48,100.0,43005
43,15,56,56,100.0,43015
43,19,75,75,100.0,43019
43,25,63,63,100.0,43025
43,37,61,61,100.0,43037
43,51,96,96,100.0,43051
