ward,precinct,total,Maureen A. Murphy,Maureen A. Murphy Percent,Michael R. Clancy,Michael R. Clancy Percent,Maritza Martinez,Maritza Martinez Percent,Roger Zamparo,Roger Zamparo Percent,precinct_id
29,2,47,5,10.64,12,25.53,27,57.45,3,6.38,29002
29,6,78,19,24.36,17,21.79,35,44.87,7,8.97,29006
29,7,34,8,23.53,3,8.82,21,61.76,2,5.88,29007
29,9,48,9,18.75,10,20.83,24,50.0,5,10.42,29009
29,10,46,17,36.96,7,15.22,17,36.96,5,10.87,29010
29,12,121,42,34.71,49,40.5,26,21.49,4,3.31,29012
29,15,146,68,46.58,46,31.51,27,18.49,5,3.42,29015
29,17,100,40,40.0,31,31.0,27,27.0,2,2.0,29017
29,24,120,64,53.33,31,25.83,21,17.5,4,3.33,29024
29,25,103,16,15.53,69,66.99,14,13.59,4,3.88,29025
29,30,42,9,21.43,11,26.19,17,40.48,5,11.9,29030
29,32,39,6,15.38,9,23.08,18,46.15,6,15.38,29032
29,36,172,61,35.47,74,43.02,29,16.86,8,4.65,29036
29,39,53,13,24.53,9,16.98,30,56.6,1,1.89,29039
30,2,63,23,36.51,9,14.29,26,41.27,5,7.94,30002
30,6,88,31,35.23,12,13.64,39,44.32,6,6.82,30006
30,7,45,14,31.11,5,11.11,22,48.89,4,8.89,30007
30,8,83,32,38.55,10,12.05,38,45.78,3,3.61,30008
30,9,149,36,24.16,16,10.74,93,62.42,4,2.68,30009
30,10,44,11,25.0,7,15.91,22,50.0,4,9.09,30010
30,12,57,18,31.58,5,8.77,25,43.86,9,15.79,30012
30,13,116,35,30.17,19,16.38,54,46.55,8,6.9,30013
30,14,45,14,31.11,3,6.67,26,57.78,2,4.44,30014
30,17,30,8,26.67,5,16.67,13,43.33,4,13.33,30017
30,18,84,33,39.29,14,16.67,33,39.29,4,4.76,30018
30,25,26,7,26.92,4,15.38,15,57.69,0,0.0,30025
30,28,80,14,17.5,5,6.25,58,72.5,3,3.75,30028
30,30,67,22,32.84,13,19.4,27,40.3,5,7.46,30030
31,3,47,17,36.17,7,14.89,17,36.17,6,12.77,31003
31,8,55,19,34.55,9,16.36,23,41.82,4,7.27,31008
31,9,54,22,40.74,6,11.11,22,40.74,4,7.41,31009
31,15,21,7,33.33,2,9.52,11,52.38,1,4.76,31015
31,16,29,8,27.59,3,10.34,14,48.28,4,13.79,31016
31,18,3,2,66.67,1,33.33,0,0.0,0,0.0,31018
31,26,38,13,34.21,10,26.32,13,34.21,2,5.26,31026
31,29,34,12,35.29,5,14.71,16,47.06,1,2.94,31029
31,38,37,13,35.14,6,16.22,14,37.84,4,10.81,31038
31,43,35,12,34.29,7,20.0,16,45.71,0,0.0,31043
31,45,30,8,26.67,6,20.0,13,43.33,3,10.0,31045
35,11,1,0,0.0,0,0.0,1,100.0,0,0.0,35011
35,13,10,2,20.0,0,0.0,7,70.0,1,10.0,35013
35,33,24,4,16.67,3,12.5,16,66.67,1,4.17,35033
36,1,73,22,30.14,24,32.88,25,34.25,2,2.74,36001
36,2,91,22,24.18,33,36.26,33,36.26,3,3.3,36002
36,3,203,69,33.99,70,34.48,50,24.63,14,6.9,36003
36,4,40,11,27.5,6,15.0,17,42.5,6,15.0,36004
36,5,159,45,28.3,60,37.74,33,20.75,21,13.21,36005
36,6,78,24,30.77,37,47.44,13,16.67,4,5.13,36006
36,7,81,25,30.86,31,38.27,21,25.93,4,4.94,36007
36,8,91,29,31.87,37,40.66,18,19.78,7,7.69,36008
36,9,139,53,38.13,40,28.78,32,23.02,14,10.07,36009
36,10,79,32,40.51,20,25.32,21,26.58,6,7.59,36010
36,11,107,46,42.99,37,34.58,15,14.02,9,8.41,36011
36,12,79,26,32.91,26,32.91,12,15.19,15,18.99,36012
36,13,160,43,26.88,76,47.5,27,16.88,14,8.75,36013
36,14,117,31,26.5,43,36.75,35,29.91,8,6.84,36014
36,15,88,20,22.73,21,23.86,39,44.32,8,9.09,36015
36,16,191,43,22.51,94,49.21,35,18.32,19,9.95,36016
36,17,53,17,32.08,9,16.98,21,39.62,6,11.32,36017
36,18,105,24,22.86,43,40.95,16,15.24,22,20.95,36018
36,19,92,26,28.26,26,28.26,32,34.78,8,8.7,36019
36,20,122,33,27.05,53,43.44,29,23.77,7,5.74,36020
36,21,147,46,31.29,55,37.41,39,26.53,7,4.76,36021
36,22,152,41,26.97,57,37.5,38,25.0,16,10.53,36022
36,23,227,69,30.4,98,43.17,47,20.7,13,5.73,36023
36,24,110,31,28.18,39,35.45,31,28.18,9,8.18,36024
36,25,152,53,34.87,61,40.13,28,18.42,10,6.58,36025
36,26,77,29,37.66,20,25.97,24,31.17,4,5.19,36026
36,27,60,25,41.67,13,21.67,17,28.33,5,8.33,36027
36,28,60,16,26.67,11,18.33,24,40.0,9,15.0,36028
36,29,94,30,31.91,29,30.85,23,24.47,12,12.77,36029
36,30,101,42,41.58,37,36.63,9,8.91,13,12.87,36030
36,31,98,19,19.39,34,34.69,35,35.71,10,10.2,36031
36,32,75,27,36.0,29,38.67,10,13.33,9,12.0,36032
36,33,101,28,27.72,46,45.54,17,16.83,10,9.9,36033
36,34,46,10,21.74,19,41.3,10,21.74,7,15.22,36034
36,35,98,20,20.41,41,41.84,26,26.53,11,11.22,36035
36,36,69,25,36.23,23,33.33,16,23.19,5,7.25,36036
36,37,85,30,35.29,32,37.65,16,18.82,7,8.24,36037
36,38,43,19,44.19,11,25.58,7,16.28,6,13.95,36038
36,39,66,25,37.88,20,30.3,13,19.7,8,12.12,36039
36,40,89,35,39.33,29,32.58,10,11.24,15,16.85,36040
36,41,61,25,40.98,16,26.23,16,26.23,4,6.56,36041
36,42,60,16,26.67,19,31.67,17,28.33,8,13.33,36042
36,43,80,22,27.5,18,22.5,35,43.75,5,6.25,36043
36,44,138,35,25.36,63,45.65,30,21.74,10,7.25,36044
36,45,137,30,21.9,63,45.99,34,24.82,10,7.3,36045
36,46,83,35,42.17,31,37.35,13,15.66,4,4.82,36046
36,47,202,46,22.77,90,44.55,43,21.29,23,11.39,36047
