ward,precinct,total,Charles Smith (Obama),Charles Smith (Obama) Percent,Emma Mitts (Obama),Emma Mitts (Obama) Percent,Susan Lee (Obama),Susan Lee (Obama) Percent,Carmen Lonstein (Obama),Carmen Lonstein (Obama) Percent,La Shawn K. Ford (Obama),La Shawn K. Ford (Obama) Percent,Karen A. Yarbrough (Obama),Karen A. Yarbrough (Obama) Percent,Matt Fruth (Obama),Matt Fruth (Obama) Percent,Byron Brazier (Obama),Byron Brazier (Obama) Percent,precinct_id
1,1,559,57,10.2,55,9.84,58,10.38,55,9.84,55,9.84,58,10.38,52,9.3,55,9.84,01001
1,6,369,36,9.76,38,10.3,40,10.84,37,10.03,36,9.76,39,10.57,36,9.76,36,9.76,01006
1,11,34,3,8.82,4,11.76,4,11.76,3,8.82,3,8.82,3,8.82,3,8.82,4,11.76,01011
1,44,100,9,9.0,11,11.0,11,11.0,9,9.0,9,9.0,12,12.0,9,9.0,11,11.0,01044
2,1,1074,110,10.24,110,10.24,109,10.15,105,9.78,108,10.06,109,10.15,102,9.5,106,9.87,02001
2,2,128,13,10.16,13,10.16,13,10.16,11,8.59,12,9.38,15,11.72,12,9.38,14,10.94,02002
2,3,607,69,11.37,66,10.87,64,10.54,60,9.88,62,10.21,62,10.21,52,8.57,59,9.72,02003
2,4,565,69,12.21,57,10.09,56,9.91,52,9.2,58,10.27,59,10.44,50,8.85,53,9.38,02004
2,5,712,75,10.53,77,10.81,68,9.55,65,9.13,75,10.53,76,10.67,66,9.27,70,9.83,02005
2,6,610,60,9.84,61,10.0,61,10.0,60,9.84,61,10.0,62,10.16,61,10.0,62,10.16,02006
2,7,1337,144,10.77,139,10.4,129,9.65,129,9.65,136,10.17,137,10.25,124,9.27,138,10.32,02007
2,8,1184,119,10.05,118,9.97,119,10.05,118,9.97,117,9.88,122,10.3,115,9.71,120,10.14,02008
2,9,646,75,11.61,67,10.37,64,9.91,59,9.13,62,9.6,69,10.68,56,8.67,64,9.91,02009
2,10,678,72,10.62,74,10.91,69,10.18,64,9.44,65,9.59,71,10.47,62,9.14,69,10.18,02010
2,11,1409,145,10.29,142,10.08,142,10.08,141,10.01,139,9.87,143,10.15,137,9.72,140,9.94,02011
2,12,616,59,9.58,63,10.23,65,10.55,62,10.06,61,9.9,65,10.55,59,9.58,62,10.06,02012
2,13,1076,119,11.06,113,10.5,107,9.94,97,9.01,110,10.22,110,10.22,98,9.11,112,10.41,02013
2,14,60,6,10.0,6,10.0,6,10.0,6,10.0,6,10.0,6,10.0,6,10.0,6,10.0,02014
2,15,477,51,10.69,51,10.69,48,10.06,42,8.81,52,10.9,51,10.69,45,9.43,47,9.85,02015
2,16,585,58,9.91,59,10.09,62,10.6,57,9.74,55,9.4,63,10.77,58,9.91,58,9.91,02016
2,17,643,69,10.73,70,10.89,66,10.26,60,9.33,66,10.26,63,9.8,57,8.86,64,9.95,02017
