ward,precinct,total,Michael A. Forti,Michael A. Forti Percent,Jessica A. O'Brien,Jessica A. O'Brien Percent,James A. Wright,James A. Wright Percent,precinct_id
1,1,87,32,36.78,42,48.28,13,14.94,01001
1,2,45,17,37.78,22,48.89,6,13.33,01002
1,3,32,9,28.13,22,68.75,1,3.13,01003
1,4,55,20,36.36,32,58.18,3,5.45,01004
1,5,39,9,23.08,24,61.54,6,15.38,01005
1,6,49,17,34.69,28,57.14,4,8.16,01006
1,7,27,5,18.52,18,66.67,4,14.81,01007
1,8,65,20,30.77,38,58.46,7,10.77,01008
1,9,82,24,29.27,45,54.88,13,15.85,01009
1,10,44,10,22.73,25,56.82,9,20.45,01010
1,11,36,9,25.0,25,69.44,2,5.56,01011
1,12,54,23,42.59,23,42.59,8,14.81,01012
1,13,117,39,33.33,64,54.7,14,11.97,01013
1,14,70,29,41.43,33,47.14,8,11.43,01014
1,15,53,19,35.85,29,54.72,5,9.43,01015
1,16,61,11,18.03,36,59.02,14,22.95,01016
1,17,20,9,45.0,9,45.0,2,10.0,01017
1,18,52,15,28.85,31,59.62,6,11.54,01018
1,19,48,18,37.5,24,50.0,6,12.5,01019
1,20,111,38,34.23,63,56.76,10,9.01,01020
1,21,58,19,32.76,33,56.9,6,10.34,01021
1,22,50,18,36.0,27,54.0,5,10.0,01022
1,23,56,26,46.43,26,46.43,4,7.14,01023
1,24,144,42,29.17,81,56.25,21,14.58,01024
1,25,42,13,30.95,23,54.76,6,14.29,01025
1,26,25,10,40.0,14,56.0,1,4.0,01026
1,27,27,11,40.74,12,44.44,4,14.81,01027
1,28,19,2,10.53,15,78.95,2,10.53,01028
1,29,51,14,27.45,28,54.9,9,17.65,01029
1,30,132,48,36.36,67,50.76,17,12.88,01030
1,31,45,19,42.22,19,42.22,7,15.56,01031
1,32,55,19,34.55,26,47.27,10,18.18,01032
1,33,56,21,37.5,30,53.57,5,8.93,01033
1,34,30,9,30.0,18,60.0,3,10.0,01034
1,35,33,13,39.39,15,45.45,5,15.15,01035
1,36,43,19,44.19,23,53.49,1,2.33,01036
1,37,58,20,34.48,31,53.45,7,12.07,01037
1,38,36,6,16.67,26,72.22,4,11.11,01038
1,39,61,13,21.31,39,63.93,9,14.75,01039
1,40,28,12,42.86,14,50.0,2,7.14,01040
1,41,43,16,37.21,23,53.49,4,9.3,01041
1,42,35,8,22.86,22,62.86,5,14.29,01042
1,43,63,20,31.75,30,47.62,13,20.63,01043
1,44,29,7,24.14,20,68.97,2,6.9,01044
1,45,59,19,32.2,31,52.54,9,15.25,01045
1,46,65,20,30.77,36,55.38,9,13.85,01046
1,47,48,15,31.25,28,58.33,5,10.42,01047
1,48,53,14,26.42,31,58.49,8,15.09,01048
2,1,124,42,33.87,54,43.55,28,22.58,02001
2,2,14,5,35.71,6,42.86,3,21.43,02002
2,3,90,18,20.0,38,42.22,34,37.78,02003
2,4,63,15,23.81,27,42.86,21,33.33,02004
2,5,80,13,16.25,28,35.0,39,48.75,02005
2,6,64,28,43.75,32,50.0,4,6.25,02006
2,7,157,48,30.57,43,27.39,66,42.04,02007
2,8,120,38,31.67,43,35.83,39,32.5,02008
2,9,78,22,28.21,29,37.18,27,34.62,02009
2,10,78,27,34.62,31,39.74,20,25.64,02010
2,11,161,51,31.68,89,55.28,21,13.04,02011
2,12,71,28,39.44,34,47.89,9,12.68,02012
2,13,129,53,41.09,37,28.68,39,30.23,02013
2,14,158,44,27.85,46,29.11,68,43.04,02014
2,15,50,16,32.0,15,30.0,19,38.0,02015
2,16,68,22,32.35,33,48.53,13,19.12,02016
2,17,80,18,22.5,28,35.0,34,42.5,02017
2,18,81,21,25.93,39,48.15,21,25.93,02018
2,19,111,28,25.23,53,47.75,30,27.03,02019
2,20,191,63,32.98,48,25.13,80,41.88,02020
2,21,150,40,26.67,55,36.67,55,36.67,02021
2,22,156,47,30.13,66,42.31,43,27.56,02022
2,23,70,13,18.57,18,25.71,39,55.71,02023
2,24,53,14,26.42,20,37.74,19,35.85,02024
2,25,93,23,24.73,41,44.09,29,31.18,02025
