ward,precinct,total,Arthur P. Wheatley,Arthur P. Wheatley Percent,Mable Taylor,Mable Taylor Percent,Kimberly D. Lewis,Kimberly D. Lewis Percent,Mark Battaglia,Mark Battaglia Percent,precinct_id
1,6,11,8,72.73,0,0.0,2,18.18,1,9.09,01006
2,2,16,5,31.25,5,31.25,2,12.5,4,25.0,02002
2,3,89,17,19.1,21,23.6,30,33.71,21,23.6,02003
2,4,65,9,13.85,24,36.92,25,38.46,7,10.77,02004
2,5,83,18,21.69,26,31.33,30,36.14,9,10.84,02005
2,6,69,32,46.38,4,5.8,9,13.04,24,34.78,02006
2,9,81,18,22.22,18,22.22,34,41.98,11,13.58,02009
2,10,83,21,25.3,23,27.71,23,27.71,16,19.28,02010
2,12,65,34,52.31,0,0.0,11,16.92,20,30.77,02012
2,13,132,34,25.76,34,25.76,32,24.24,32,24.24,02013
2,15,49,12,24.49,9,18.37,18,36.73,10,20.41,02015
2,16,67,34,50.75,7,10.45,7,10.45,19,28.36,02016
2,17,83,21,25.3,25,30.12,23,27.71,14,16.87,02017
2,23,74,17,22.97,21,28.38,18,24.32,18,24.32,02023
2,25,102,20,19.61,25,24.51,29,28.43,28,27.45,02025
2,27,86,11,12.79,38,44.19,30,34.88,7,8.14,02027
2,28,30,16,53.33,3,10.0,5,16.67,6,20.0,02028
2,29,51,10,19.61,14,27.45,19,37.25,8,15.69,02029
2,32,33,4,12.12,10,30.3,11,33.33,8,24.24,02032
2,33,38,11,28.95,5,13.16,16,42.11,6,15.79,02033
2,34,119,21,17.65,42,35.29,39,32.77,17,14.29,02034
2,39,73,17,23.29,25,34.25,19,26.03,12,16.44,02039
2,41,40,14,35.0,14,35.0,11,27.5,1,2.5,02041
2,42,75,24,32.0,22,29.33,22,29.33,7,9.33,02042
2,45,108,24,22.22,49,45.37,26,24.07,9,8.33,02045
2,47,147,40,27.21,54,36.73,40,27.21,13,8.84,02047
2,48,98,17,17.35,41,41.84,34,34.69,6,6.12,02048
2,50,51,9,17.65,11,21.57,9,17.65,22,43.14,02050
