ward,precinct,total,Derrick Smith,Derrick Smith Percent,Tom Swiss,Tom Swiss Percent,precinct_id
1,6,61,29,47.54,32,52.46,01006
1,8,65,33,50.77,32,49.23,01008
1,10,32,13,40.63,19,59.38,01010
1,12,46,25,54.35,21,45.65,01012
1,21,61,34,55.74,27,44.26,01021
1,25,44,27,61.36,17,38.64,01025
1,26,29,18,62.07,11,37.93,01026
1,31,43,24,55.81,19,44.19,01031
1,35,7,6,85.71,1,14.29,01035
1,37,69,35,50.72,34,49.28,01037
2,5,101,86,85.15,15,14.85,02005
2,15,58,46,79.31,12,20.69,02015
2,23,79,56,70.89,23,29.11,02023
2,27,96,80,83.33,16,16.67,02027
2,42,118,86,72.88,32,27.12,02042
2,45,114,86,75.44,28,24.56,02045
2,47,166,140,84.34,26,15.66,02047
2,48,114,87,76.32,27,23.68,02048
2,52,157,122,77.71,35,22.29,02052
24,7,92,75,81.52,17,18.48,24007
24,16,4,4,100.0,0,0.0,24016
24,18,119,97,81.51,22,18.49,24018
24,19,169,135,79.88,34,20.12,24019
24,20,5,4,80.0,1,20.0,24020
24,29,134,114,85.07,20,14.93,24029
24,32,109,90,82.57,19,17.43,24032
24,39,97,83,85.57,14,14.43,24039
24,41,45,39,86.67,6,13.33,24041
24,42,78,68,87.18,10,12.82,24042
24,46,25,20,80.0,5,20.0,24046
26,7,1,0,0.0,1,100.0,26007
26,17,41,18,43.9,23,56.1,26017
26,33,0,0,0.0,0,0.0,26033
26,46,33,15,45.45,18,54.55,26046
27,2,79,65,82.28,14,17.72,27002
27,3,124,93,75.0,31,25.0,27003
27,7,4,2,50.0,2,50.0,27007
27,8,86,69,80.23,17,19.77,27008
27,10,205,188,91.71,17,8.29,27010
27,11,30,16,53.33,14,46.67,27011
27,14,142,115,80.99,27,19.01,27014
27,15,141,114,80.85,27,19.15,27015
27,18,43,20,46.51,23,53.49,27018
27,19,153,132,86.27,21,13.73,27019
27,22,169,150,88.76,19,11.24,27022
27,23,97,81,83.51,16,16.49,27023
27,24,157,119,75.8,38,24.2,27024
27,25,49,38,77.55,11,22.45,27025
27,26,116,91,78.45,25,21.55,27026
27,27,85,67,78.82,18,21.18,27027
27,29,54,41,75.93,13,24.07,27029
27,30,47,42,89.36,5,10.64,27030
27,31,80,66,82.5,14,17.5,27031
27,33,61,54,88.52,7,11.48,27033
27,34,205,182,88.78,23,11.22,27034
27,35,73,32,43.84,41,56.16,27035
27,36,91,77,84.62,14,15.38,27036
27,40,64,56,87.5,8,12.5,27040
27,43,45,28,62.22,17,37.78,27043
27,44,171,143,83.63,28,16.37,27044
28,1,52,48,92.31,4,7.69,28001
28,2,109,92,84.4,17,15.6,28002
28,3,55,50,90.91,5,9.09,28003
28,5,74,59,79.73,15,20.27,28005
28,6,53,41,77.36,12,22.64,28006
28,7,50,45,90.0,5,10.0,28007
28,9,80,74,92.5,6,7.5,28009
28,10,26,23,88.46,3,11.54,28010
28,11,45,40,88.89,5,11.11,28011
28,12,0,0,0.0,0,0.0,28012
28,13,52,46,88.46,6,11.54,28013
28,18,121,102,84.3,19,15.7,28018
28,20,122,101,82.79,21,17.21,28020
28,21,104,82,78.85,22,21.15,28021
28,22,74,66,89.19,8,10.81,28022
28,23,138,112,81.16,26,18.84,28023
28,24,48,36,75.0,12,25.0,28024
28,25,76,67,88.16,9,11.84,28025
28,26,75,68,90.67,7,9.33,28026
28,27,84,68,80.95,16,19.05,28027
28,28,59,48,81.36,11,18.64,28028
28,30,12,12,100.0,0,0.0,28030
28,31,74,66,89.19,8,10.81,28031
28,32,76,58,76.32,18,23.68,28032
28,33,114,105,92.11,9,7.89,28033
28,36,133,113,84.96,20,15.04,28036
28,37,159,136,85.53,23,14.47,28037
28,40,126,111,88.1,15,11.9,28040
28,42,36,25,69.44,11,30.56,28042
28,43,126,95,75.4,31,24.6,28043
28,44,108,92,85.19,16,14.81,28044
28,50,56,44,78.57,12,21.43,28050
28,51,76,61,80.26,15,19.74,28051
32,2,76,47,61.84,29,38.16,32002
32,4,97,54,55.67,43,44.33,32004
32,5,45,19,42.22,26,57.78,32005
32,6,74,36,48.65,38,51.35,32006
32,14,54,28,51.85,26,48.15,32014
32,26,65,38,58.46,27,41.54,32026
32,28,37,23,62.16,14,37.84,32028
32,29,45,27,60.0,18,40.0,32029
32,31,74,37,50.0,37,50.0,32031
32,33,44,27,61.36,17,38.64,32033
32,34,46,22,47.83,24,52.17,32034
32,35,61,34,55.74,27,44.26,32035
32,36,60,36,60.0,24,40.0,32036
32,46,24,14,58.33,10,41.67,32046
32,51,68,34,50.0,34,50.0,32051
32,52,26,14,53.85,12,46.15,32052
37,2,0,0,0.0,0,0.0,37002
37,3,49,40,81.63,9,18.37,37003
37,4,106,82,77.36,24,22.64,37004
37,8,60,42,70.0,18,30.0,37008
37,12,66,55,83.33,11,16.67,37012
37,13,92,70,76.09,22,23.91,37013
37,14,27,24,88.89,3,11.11,37014
37,21,3,2,66.67,1,33.33,37021
37,28,117,88,75.21,29,24.79,37028
37,30,65,46,70.77,19,29.23,37030
37,33,17,16,94.12,1,5.88,37033
37,42,3,1,33.33,2,66.67,37042
37,43,88,79,89.77,9,10.23,37043
43,3,57,25,43.86,32,56.14,43003
43,7,43,28,65.12,15,34.88,43007
43,9,58,32,55.17,26,44.83,43009
43,10,56,31,55.36,25,44.64,43010
43,11,55,31,56.36,24,43.64,43011
43,19,6,3,50.0,3,50.0,43019
