ward,precinct,total,Jamie Manning (Obama),Jamie Manning (Obama) Percent,Lorrie Jones (Obama),Lorrie Jones (Obama) Percent,Mike Jordan (Obama),Mike Jordan (Obama) Percent,Leslie Hairston (Obama),Leslie Hairston (Obama) Percent,William Davis (Obama),William Davis (Obama) Percent,Abraham Carreon (Obama),Abraham Carreon (Obama) Percent,Robin Kelly (Obama),Robin Kelly (Obama) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,precinct_id
5,1,1047,93,8.88,94,8.98,94,8.98,109,10.41,105,10.03,72,6.88,103,9.84,104,9.93,73,6.97,112,10.7,05001
5,4,790,76,9.62,72,9.11,71,8.99,84,10.63,79,10.0,56,7.09,78,9.87,74,9.37,61,7.72,78,9.87,05004
5,6,1187,110,9.27,116,9.77,111,9.35,132,11.12,111,9.35,90,7.58,114,9.6,114,9.6,84,7.08,113,9.52,05006
5,7,1347,132,9.8,130,9.65,130,9.65,134,9.95,128,9.5,94,6.98,128,9.5,129,9.58,102,7.57,125,9.28,05007
5,11,2058,197,9.57,203,9.86,176,8.55,222,10.79,194,9.43,166,8.07,204,9.91,201,9.77,144,7.0,160,7.77,05011
5,14,1674,155,9.26,162,9.68,162,9.68,166,9.92,165,9.86,126,7.53,161,9.62,162,9.68,132,7.89,149,8.9,05014
5,21,1291,123,9.53,126,9.76,116,8.99,134,10.38,123,9.53,92,7.13,122,9.45,126,9.76,99,7.67,119,9.22,05021
5,24,1260,111,8.81,130,10.32,119,9.44,140,11.11,117,9.29,99,7.86,125,9.92,120,9.52,89,7.06,96,7.62,05024
5,26,969,91,9.39,89,9.18,83,8.57,118,12.18,98,10.11,67,6.91,91,9.39,89,9.18,63,6.5,95,9.8,05026
5,28,1336,123,9.21,129,9.66,121,9.06,143,10.7,134,10.03,99,7.41,132,9.88,125,9.36,101,7.56,113,8.46,05028
5,29,1033,94,9.1,96,9.29,93,9.0,95,9.2,102,9.87,79,7.65,99,9.58,99,9.58,85,8.23,102,9.87,05029
5,31,787,75,9.53,75,9.53,76,9.66,89,11.31,73,9.28,62,7.88,68,8.64,81,10.29,51,6.48,74,9.4,05031
5,32,2190,208,9.5,214,9.77,193,8.81,238,10.87,208,9.5,159,7.26,209,9.54,217,9.91,165,7.53,194,8.86,05032
5,34,1077,102,9.47,110,10.21,106,9.84,100,9.29,106,9.84,83,7.71,105,9.75,96,8.91,83,7.71,95,8.82,05034
5,36,1399,136,9.72,126,9.01,125,8.93,160,11.44,133,9.51,97,6.93,131,9.36,134,9.58,88,6.29,157,11.22,05036
5,37,2098,186,8.87,208,9.91,189,9.01,221,10.53,196,9.34,172,8.2,198,9.44,198,9.44,155,7.39,181,8.63,05037
5,40,836,83,9.93,85,10.17,75,8.97,85,10.17,78,9.33,56,6.7,80,9.57,80,9.57,62,7.42,81,9.69,05040
5,43,1243,114,9.17,122,9.81,109,8.77,138,11.1,127,10.22,90,7.24,126,10.14,119,9.57,89,7.16,112,9.01,05043
5,44,912,89,9.76,88,9.65,79,8.66,94,10.31,88,9.65,69,7.57,87,9.54,88,9.65,57,6.25,94,10.31,05044
5,46,1038,92,8.86,105,10.12,100,9.63,105,10.12,91,8.77,84,8.09,102,9.83,96,9.25,84,8.09,87,8.38,05046
5,47,770,73,9.48,75,9.74,71,9.22,74,9.61,78,10.13,59,7.66,78,10.13,78,10.13,53,6.88,67,8.7,05047
7,1,2222,208,9.36,217,9.77,211,9.5,220,9.9,213,9.59,182,8.19,219,9.86,214,9.63,164,7.38,192,8.64,07001
7,2,1063,103,9.69,104,9.78,98,9.22,98,9.22,100,9.41,76,7.15,101,9.5,105,9.88,81,7.62,110,10.35,07002
7,3,1041,96,9.22,98,9.41,100,9.61,100,9.61,102,9.8,81,7.78,96,9.22,100,9.61,76,7.3,99,9.51,07003
7,4,637,57,8.95,61,9.58,57,8.95,59,9.26,61,9.58,47,7.38,64,10.05,55,8.63,52,8.16,65,10.2,07004
7,5,541,55,10.17,57,10.54,52,9.61,50,9.24,48,8.87,39,7.21,50,9.24,51,9.43,35,6.47,52,9.61,07005
7,6,699,61,8.73,66,9.44,64,9.16,67,9.59,67,9.59,54,7.73,66,9.44,63,9.01,50,7.15,81,11.59,07006
7,7,551,52,9.44,54,9.8,53,9.62,54,9.8,54,9.8,38,6.9,50,9.07,49,8.89,40,7.26,56,10.16,07007
7,8,161,16,9.94,16,9.94,16,9.94,16,9.94,14,8.7,13,8.07,13,8.07,13,8.07,12,7.45,17,10.56,07008
7,9,1713,159,9.28,168,9.81,154,8.99,167,9.75,162,9.46,132,7.71,168,9.81,161,9.4,124,7.24,181,10.57,07009
7,10,1123,95,8.46,105,9.35,105,9.35,114,10.15,109,9.71,81,7.21,102,9.08,107,9.53,69,6.14,137,12.2,07010
7,11,1106,103,9.31,108,9.76,96,8.68,116,10.49,102,9.22,90,8.14,104,9.4,112,10.13,83,7.5,98,8.86,07011
7,12,1084,105,9.69,108,9.96,100,9.23,99,9.13,103,9.5,86,7.93,104,9.59,104,9.59,69,6.37,115,10.61,07012
7,13,1595,152,9.53,157,9.84,143,8.97,164,10.28,152,9.53,119,7.46,154,9.66,155,9.72,111,6.96,152,9.53,07013
7,14,1090,106,9.72,103,9.45,103,9.45,109,10.0,102,9.36,88,8.07,101,9.27,106,9.72,76,6.97,108,9.91,07014
7,15,959,88,9.18,94,9.8,92,9.59,92,9.59,93,9.7,69,7.19,90,9.38,92,9.59,73,7.61,107,11.16,07015
7,16,909,82,9.02,85,9.35,85,9.35,91,10.01,83,9.13,70,7.7,80,8.8,84,9.24,65,7.15,106,11.66,07016
7,17,341,32,9.38,30,8.8,27,7.92,32,9.38,37,10.85,23,6.74,31,9.09,32,9.38,26,7.62,44,12.9,07017
7,18,1078,97,9.0,109,10.11,103,9.55,106,9.83,103,9.55,82,7.61,104,9.65,101,9.37,71,6.59,111,10.3,07018
7,19,1287,125,9.71,123,9.56,118,9.17,124,9.63,124,9.63,95,7.38,118,9.17,122,9.48,95,7.38,142,11.03,07019
7,20,148,13,8.78,14,9.46,12,8.11,15,10.14,14,9.46,7,4.73,17,11.49,13,8.78,9,6.08,23,15.54,07020
7,21,646,54,8.36,61,9.44,59,9.13,61,9.44,65,10.06,44,6.81,60,9.29,63,9.75,45,6.97,77,11.92,07021
