ward,precinct,total,Sandi Jackson,Sandi Jackson Percent,precinct_id
7,1,234,234,100.0,07001
7,2,123,123,100.0,07002
7,3,120,120,100.0,07003
7,4,66,66,100.0,07004
7,5,64,64,100.0,07005
7,6,80,80,100.0,07006
7,7,66,66,100.0,07007
7,8,22,22,100.0,07008
7,9,215,215,100.0,07009
7,10,134,134,100.0,07010
7,11,118,118,100.0,07011
7,12,123,123,100.0,07012
7,13,173,173,100.0,07013
7,14,118,118,100.0,07014
7,15,103,103,100.0,07015
7,16,117,117,100.0,07016
7,17,49,49,100.0,07017
7,18,148,148,100.0,07018
7,19,142,142,100.0,07019
7,20,27,27,100.0,07020
7,21,84,84,100.0,07021
7,22,69,69,100.0,07022
7,23,77,77,100.0,07023
7,24,185,185,100.0,07024
7,25,193,193,100.0,07025
7,26,114,114,100.0,07026
7,27,202,202,100.0,07027
7,28,83,83,100.0,07028
7,29,79,79,100.0,07029
7,30,126,126,100.0,07030
7,31,117,117,100.0,07031
7,32,51,51,100.0,07032
7,33,99,99,100.0,07033
7,34,33,33,100.0,07034
7,35,130,130,100.0,07035
7,36,98,98,100.0,07036
7,37,147,147,100.0,07037
7,38,161,161,100.0,07038
7,39,267,267,100.0,07039
7,40,140,140,100.0,07040
7,41,82,82,100.0,07041
7,42,134,134,100.0,07042
7,43,108,108,100.0,07043
7,44,166,166,100.0,07044
7,45,161,161,100.0,07045
7,46,77,77,100.0,07046
7,47,81,81,100.0,07047
7,48,94,94,100.0,07048
7,49,196,196,100.0,07049
