ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
2,1,110,110,100.0,02001
2,11,126,126,100.0,02011
2,22,133,133,100.0,02022
2,35,69,69,100.0,02035
2,43,104,104,100.0,02043
2,49,60,60,100.0,02049
3,1,14,14,100.0,03001
3,3,77,77,100.0,03003
3,6,8,8,100.0,03006
3,10,25,25,100.0,03010
3,12,69,69,100.0,03012
3,13,32,32,100.0,03013
3,17,31,31,100.0,03017
3,18,48,48,100.0,03018
3,19,15,15,100.0,03019
3,21,8,8,100.0,03021
3,22,50,50,100.0,03022
3,26,19,19,100.0,03026
3,28,29,29,100.0,03028
3,29,0,0,0.0,03029
3,41,85,85,100.0,03041
3,43,28,28,100.0,03043
3,44,9,9,100.0,03044
3,45,42,42,100.0,03045
3,46,35,35,100.0,03046
3,48,42,42,100.0,03048
3,50,36,36,100.0,03050
6,18,52,52,100.0,06018
11,12,101,101,100.0,11012
11,15,79,79,100.0,11015
11,20,77,77,100.0,11020
11,21,115,115,100.0,11021
11,22,84,84,100.0,11022
11,24,215,215,100.0,11024
11,28,58,58,100.0,11028
11,30,1,1,100.0,11030
11,31,76,76,100.0,11031
11,32,77,77,100.0,11032
11,34,51,51,100.0,11034
11,35,118,118,100.0,11035
11,37,109,109,100.0,11037
11,46,82,82,100.0,11046
11,48,44,44,100.0,11048
11,49,66,66,100.0,11049
12,9,2,2,100.0,12009
12,16,17,17,100.0,12016
15,2,44,44,100.0,15002
15,3,42,42,100.0,15003
15,4,97,97,100.0,15004
15,7,49,49,100.0,15007
15,8,52,52,100.0,15008
15,9,79,79,100.0,15009
15,11,43,43,100.0,15011
15,12,31,31,100.0,15012
15,17,49,49,100.0,15017
15,18,94,94,100.0,15018
15,19,70,70,100.0,15019
15,20,34,34,100.0,15020
15,22,75,75,100.0,15022
15,23,90,90,100.0,15023
15,24,41,41,100.0,15024
15,26,94,94,100.0,15026
15,27,46,46,100.0,15027
15,29,13,13,100.0,15029
15,30,33,33,100.0,15030
15,31,84,84,100.0,15031
15,33,44,44,100.0,15033
15,35,57,57,100.0,15035
15,36,65,65,100.0,15036
15,37,42,42,100.0,15037
15,38,66,66,100.0,15038
15,41,69,69,100.0,15041
16,1,33,33,100.0,16001
16,3,53,53,100.0,16003
16,4,30,30,100.0,16004
16,5,44,44,100.0,16005
16,8,43,43,100.0,16008
16,9,93,93,100.0,16009
16,10,73,73,100.0,16010
16,12,92,92,100.0,16012
16,14,41,41,100.0,16014
16,15,62,62,100.0,16015
16,16,101,101,100.0,16016
16,18,58,58,100.0,16018
16,19,66,66,100.0,16019
16,20,81,81,100.0,16020
16,24,36,36,100.0,16024
16,25,42,42,100.0,16025
16,26,52,52,100.0,16026
16,27,111,111,100.0,16027
16,28,68,68,100.0,16028
16,29,35,35,100.0,16029
16,31,68,68,100.0,16031
16,33,43,43,100.0,16033
16,34,34,34,100.0,16034
16,36,70,70,100.0,16036
16,37,43,43,100.0,16037
16,38,42,42,100.0,16038
16,40,65,65,100.0,16040
17,14,35,35,100.0,17014
18,27,64,64,100.0,18027
20,8,22,22,100.0,20008
20,13,75,75,100.0,20013
20,15,23,23,100.0,20015
20,19,8,8,100.0,20019
20,20,40,40,100.0,20020
20,25,53,53,100.0,20025
20,39,46,46,100.0,20039
20,40,74,74,100.0,20040
20,41,15,15,100.0,20041
20,43,7,7,100.0,20043
20,44,100,100,100.0,20044
20,45,28,28,100.0,20045
27,1,3,3,100.0,27001
42,9,54,54,100.0,42009
42,14,39,39,100.0,42014
42,15,46,46,100.0,42015
42,18,95,95,100.0,42018
42,21,26,26,100.0,42021
42,59,35,35,100.0,42059
42,67,68,68,100.0,42067
