ward,precinct,total,Stella B. Black,Stella B. Black Percent,Debra Shore,Debra Shore Percent,Kari K. Steele,Kari K. Steele Percent,Patrick Daley Thompson,Patrick Daley Thompson Percent,Patricia Young,Patricia Young Percent,Patricia Horton,Patricia Horton Percent,precinct_id
1,1,207,21,10.14,50,24.15,37,17.87,34,16.43,32,15.46,33,15.94,01001
1,2,109,15,13.76,27,24.77,11,10.09,19,17.43,15,13.76,22,20.18,01002
1,3,77,10,12.99,23,29.87,13,16.88,10,12.99,12,15.58,9,11.69,01003
1,4,131,11,8.4,37,28.24,27,20.61,21,16.03,21,16.03,14,10.69,01004
1,5,86,13,15.12,16,18.6,13,15.12,20,23.26,13,15.12,11,12.79,01005
1,6,139,8,5.76,30,21.58,27,19.42,31,22.3,25,17.99,18,12.95,01006
1,7,72,10,13.89,14,19.44,11,15.28,16,22.22,7,9.72,14,19.44,01007
1,8,157,18,11.46,43,27.39,28,17.83,26,16.56,27,17.2,15,9.55,01008
1,9,209,35,16.75,51,24.4,32,15.31,30,14.35,34,16.27,27,12.92,01009
1,10,134,13,9.7,33,24.63,20,14.93,20,14.93,24,17.91,24,17.91,01010
1,11,83,11,13.25,24,28.92,12,14.46,13,15.66,12,14.46,11,13.25,01011
1,12,153,16,10.46,37,24.18,30,19.61,25,16.34,22,14.38,23,15.03,01012
1,13,316,38,12.03,68,21.52,51,16.14,65,20.57,47,14.87,47,14.87,01013
1,14,148,22,14.86,33,22.3,28,18.92,28,18.92,19,12.84,18,12.16,01014
1,15,123,17,13.82,29,23.58,23,18.7,21,17.07,18,14.63,15,12.2,01015
1,16,134,24,17.91,33,24.63,13,9.7,16,11.94,29,21.64,19,14.18,01016
1,17,59,7,11.86,16,27.12,14,23.73,12,20.34,6,10.17,4,6.78,01017
1,18,124,21,16.94,28,22.58,17,13.71,24,19.35,17,13.71,17,13.71,01018
1,19,122,17,13.93,27,22.13,18,14.75,21,17.21,22,18.03,17,13.93,01019
1,20,255,43,16.86,51,20.0,33,12.94,43,16.86,49,19.22,36,14.12,01020
1,21,163,11,6.75,43,26.38,35,21.47,34,20.86,24,14.72,16,9.82,01021
1,22,103,11,10.68,21,20.39,15,14.56,25,24.27,12,11.65,19,18.45,01022
1,23,129,21,16.28,26,20.16,27,20.93,21,16.28,18,13.95,16,12.4,01023
1,24,336,42,12.5,76,22.62,73,21.73,48,14.29,52,15.48,45,13.39,01024
1,25,93,11,11.83,24,25.81,18,19.35,15,16.13,12,12.9,13,13.98,01025
1,26,61,8,13.11,10,16.39,8,13.11,13,21.31,11,18.03,11,18.03,01026
1,27,60,11,18.33,19,31.67,10,16.67,5,8.33,6,10.0,9,15.0,01027
1,28,51,5,9.8,12,23.53,11,21.57,8,15.69,8,15.69,7,13.73,01028
1,29,132,20,15.15,35,26.52,17,12.88,19,14.39,21,15.91,20,15.15,01029
1,30,300,38,12.67,74,24.67,52,17.33,47,15.67,51,17.0,38,12.67,01030
1,31,101,8,7.92,26,25.74,20,19.8,25,24.75,8,7.92,14,13.86,01031
1,32,143,27,18.88,19,13.29,20,13.99,26,18.18,25,17.48,26,18.18,01032
1,33,143,19,13.29,36,25.17,27,18.88,31,21.68,15,10.49,15,10.49,01033
1,34,61,9,14.75,17,27.87,10,16.39,9,14.75,7,11.48,9,14.75,01034
1,35,90,8,8.89,27,30.0,18,20.0,14,15.56,10,11.11,13,14.44,01035
1,36,94,17,18.09,27,28.72,17,18.09,15,15.96,9,9.57,9,9.57,01036
1,37,172,23,13.37,30,17.44,36,20.93,26,15.12,29,16.86,28,16.28,01037
1,38,81,11,13.58,20,24.69,14,17.28,15,18.52,11,13.58,10,12.35,01038
1,39,146,20,13.7,34,23.29,19,13.01,33,22.6,16,10.96,24,16.44,01039
1,40,77,11,14.29,21,27.27,13,16.88,14,18.18,7,9.09,11,14.29,01040
