ward,precinct,total,Anthony R. Martin,Anthony R. Martin Percent,Frances Ann Hurley,Frances Ann Hurley Percent,Andrew Byrne Hodorowicz,Andrew Byrne Hodorowicz Percent,precinct_id
19,1,211,68,32.23,127,60.19,16,7.58,19001
19,2,184,59,32.07,106,57.61,19,10.33,19002
19,4,182,56,30.77,104,57.14,22,12.09,19004
19,5,67,21,31.34,38,56.72,8,11.94,19005
19,6,142,55,38.73,76,53.52,11,7.75,19006
19,7,227,49,21.59,101,44.49,77,33.92,19007
19,8,142,47,33.1,82,57.75,13,9.15,19008
19,10,227,68,29.96,126,55.51,33,14.54,19010
19,11,246,72,29.27,153,62.2,21,8.54,19011
19,13,124,45,36.29,73,58.87,6,4.84,19013
19,15,139,41,29.5,78,56.12,20,14.39,19015
19,16,207,72,34.78,119,57.49,16,7.73,19016
19,17,199,66,33.17,66,33.17,67,33.67,19017
19,18,109,25,22.94,62,56.88,22,20.18,19018
19,19,196,66,33.67,108,55.1,22,11.22,19019
19,20,167,45,26.95,104,62.28,18,10.78,19020
19,21,120,32,26.67,72,60.0,16,13.33,19021
19,22,202,85,42.08,96,47.52,21,10.4,19022
19,23,225,49,21.78,112,49.78,64,28.44,19023
19,24,11,4,36.36,7,63.64,0,0.0,19024
19,25,185,49,26.49,101,54.59,35,18.92,19025
19,26,205,59,28.78,107,52.2,39,19.02,19026
19,27,91,14,15.38,68,74.73,9,9.89,19027
19,28,217,50,23.04,159,73.27,8,3.69,19028
19,29,133,58,43.61,57,42.86,18,13.53,19029
19,30,141,57,40.43,70,49.65,14,9.93,19030
19,32,205,75,36.59,75,36.59,55,26.83,19032
19,33,133,47,35.34,78,58.65,8,6.02,19033
19,34,182,46,25.27,110,60.44,26,14.29,19034
19,35,201,65,32.34,95,47.26,41,20.4,19035
19,36,193,77,39.9,104,53.89,12,6.22,19036
19,37,204,55,26.96,140,68.63,9,4.41,19037
19,38,196,39,19.9,140,71.43,17,8.67,19038
19,39,52,16,30.77,30,57.69,6,11.54,19039
19,41,136,41,30.15,88,64.71,7,5.15,19041
19,44,172,66,38.37,91,52.91,15,8.72,19044
19,45,202,80,39.6,93,46.04,29,14.36,19045
19,46,232,46,19.83,128,55.17,58,25.0,19046
19,51,144,36,25.0,97,67.36,11,7.64,19051
19,52,133,51,38.35,66,49.62,16,12.03,19052
19,53,183,81,44.26,80,43.72,22,12.02,19053
19,54,146,45,30.82,87,59.59,14,9.59,19054
19,55,132,30,22.73,85,64.39,17,12.88,19055
19,56,63,18,28.57,32,50.79,13,20.63,19056
19,57,200,63,31.5,110,55.0,27,13.5,19057
19,59,212,75,35.38,123,58.02,14,6.6,19059
19,60,129,50,38.76,76,58.91,3,2.33,19060
19,61,289,89,30.8,158,54.67,42,14.53,19061
19,62,176,45,25.57,79,44.89,52,29.55,19062
21,1,169,81,47.93,82,48.52,6,3.55,21001
21,3,196,102,52.04,80,40.82,14,7.14,21003
21,7,240,119,49.58,112,46.67,9,3.75,21007
21,8,131,64,48.85,62,47.33,5,3.82,21008
21,9,47,27,57.45,20,42.55,0,0.0,21009
21,14,221,103,46.61,107,48.42,11,4.98,21014
21,18,116,61,52.59,50,43.1,5,4.31,21018
21,35,62,35,56.45,26,41.94,1,1.61,21035
21,38,127,63,49.61,62,48.82,2,1.57,21038
21,51,107,53,49.53,52,48.6,2,1.87,21051
21,58,34,22,64.71,12,35.29,0,0.0,21058
21,60,44,20,45.45,22,50.0,2,4.55,21060
