ward,precinct,total,Tom Tunney,Tom Tunney Percent,precinct_id
44,1,75,75,100.0,44001
44,2,57,57,100.0,44002
44,3,105,105,100.0,44003
44,4,117,117,100.0,44004
44,5,91,91,100.0,44005
44,6,54,54,100.0,44006
44,7,74,74,100.0,44007
44,8,61,61,100.0,44008
44,9,30,30,100.0,44009
44,10,31,31,100.0,44010
44,11,59,59,100.0,44011
44,12,103,103,100.0,44012
44,13,35,35,100.0,44013
44,14,58,58,100.0,44014
44,15,90,90,100.0,44015
44,16,55,55,100.0,44016
44,17,92,92,100.0,44017
44,18,23,23,100.0,44018
44,19,98,98,100.0,44019
44,20,57,57,100.0,44020
44,21,62,62,100.0,44021
44,22,86,86,100.0,44022
44,23,53,53,100.0,44023
44,24,126,126,100.0,44024
44,25,41,41,100.0,44025
44,26,57,57,100.0,44026
44,27,72,72,100.0,44027
44,28,36,36,100.0,44028
44,29,55,55,100.0,44029
44,30,56,56,100.0,44030
44,31,54,54,100.0,44031
44,32,33,33,100.0,44032
44,33,67,67,100.0,44033
44,34,37,37,100.0,44034
44,35,154,154,100.0,44035
44,36,43,43,100.0,44036
44,37,84,84,100.0,44037
44,38,45,45,100.0,44038
44,39,48,48,100.0,44039
44,40,56,56,100.0,44040
44,41,87,87,100.0,44041
44,42,85,85,100.0,44042
44,43,47,47,100.0,44043
44,44,88,88,100.0,44044
44,45,62,62,100.0,44045
44,46,36,36,100.0,44046
44,47,87,87,100.0,44047
