ward,precinct,total,Hanah Jubeh (Obama),Hanah Jubeh (Obama) Percent,Juan Salgado (Obama),Juan Salgado (Obama) Percent,Jorge Ramirez (Obama),Jorge Ramirez (Obama) Percent,Maria Pesqueira (Obama),Maria Pesqueira (Obama) Percent,Shirley Madigan (Obama),Shirley Madigan (Obama) Percent,George Brousalis (Obama),George Brousalis (Obama) Percent,John Daley (Obama),John Daley (Obama) Percent,precinct_id
3,13,151,17,11.26,29,19.21,26,17.22,22,14.57,19,12.58,16,10.6,22,14.57,03013
3,19,83,11,13.25,14,16.87,12,14.46,13,15.66,12,14.46,10,12.05,11,13.25,03019
11,1,488,55,11.27,57,11.68,55,11.27,52,10.66,92,18.85,51,10.45,126,25.82,11001
11,2,406,48,11.82,61,15.02,63,15.52,53,13.05,63,15.52,45,11.08,73,17.98,11002
11,4,341,43,12.61,46,13.49,47,13.78,43,12.61,53,15.54,39,11.44,70,20.53,11004
11,5,259,32,12.36,35,13.51,37,14.29,37,14.29,44,16.99,34,13.13,40,15.44,11005
11,6,537,65,12.1,83,15.46,75,13.97,71,13.22,85,15.83,65,12.1,93,17.32,11006
11,7,537,71,13.22,73,13.59,79,14.71,75,13.97,77,14.34,68,12.66,94,17.5,11007
11,8,369,46,12.47,52,14.09,48,13.01,49,13.28,57,15.45,39,10.57,78,21.14,11008
11,9,361,46,12.74,46,12.74,47,13.02,45,12.47,59,16.34,43,11.91,75,20.78,11009
11,11,516,62,12.02,68,13.18,71,13.76,67,12.98,83,16.09,60,11.63,105,20.35,11011
11,12,302,24,7.95,25,8.28,25,8.28,24,7.95,78,25.83,23,7.62,103,34.11,11012
11,13,371,43,11.59,47,12.67,46,12.4,48,12.94,65,17.52,43,11.59,79,21.29,11013
11,15,388,43,11.08,44,11.34,46,11.86,43,11.08,78,20.1,43,11.08,91,23.45,11015
11,16,466,52,11.16,57,12.23,57,12.23,54,11.59,87,18.67,51,10.94,108,23.18,11016
11,17,638,72,11.29,97,15.2,93,14.58,84,13.17,103,16.14,72,11.29,117,18.34,11017
11,19,283,32,11.31,35,12.37,43,15.19,37,13.07,51,18.02,29,10.25,56,19.79,11019
11,20,367,36,9.81,34,9.26,36,9.81,35,9.54,79,21.53,39,10.63,108,29.43,11020
11,21,543,59,10.87,58,10.68,59,10.87,59,10.87,112,20.63,59,10.87,137,25.23,11021
11,22,343,35,10.2,35,10.2,36,10.5,39,11.37,71,20.7,33,9.62,94,27.41,11022
11,23,286,31,10.84,31,10.84,28,9.79,31,10.84,64,22.38,30,10.49,71,24.83,11023
11,24,812,72,8.87,70,8.62,78,9.61,75,9.24,205,25.25,69,8.5,243,29.93,11024
11,25,349,39,11.17,42,12.03,39,11.17,39,11.17,68,19.48,40,11.46,82,23.5,11025
11,26,483,52,10.77,65,13.46,69,14.29,62,12.84,91,18.84,53,10.97,91,18.84,11026
11,28,281,33,11.74,32,11.39,35,12.46,33,11.74,56,19.93,33,11.74,59,21.0,11028
11,29,500,64,12.8,75,15.0,71,14.2,71,14.2,69,13.8,60,12.0,90,18.0,11029
11,30,346,39,11.27,49,14.16,46,13.29,46,13.29,63,18.21,36,10.4,67,19.36,11030
11,31,269,21,7.81,24,8.92,24,8.92,24,8.92,67,24.91,23,8.55,86,31.97,11031
11,32,250,22,8.8,22,8.8,22,8.8,23,9.2,64,25.6,21,8.4,76,30.4,11032
11,33,317,39,12.3,42,13.25,40,12.62,42,13.25,54,17.03,38,11.99,62,19.56,11033
11,35,429,43,10.02,47,10.96,46,10.72,46,10.72,92,21.45,41,9.56,114,26.57,11035
11,37,447,45,10.07,49,10.96,47,10.51,44,9.84,99,22.15,42,9.4,121,27.07,11037
11,38,590,65,11.02,64,10.85,65,11.02,64,10.85,117,19.83,60,10.17,155,26.27,11038
11,39,517,49,9.48,55,10.64,51,9.86,54,10.44,101,19.54,50,9.67,157,30.37,11039
11,40,250,24,9.6,27,10.8,27,10.8,26,10.4,50,20.0,29,11.6,67,26.8,11040
11,41,299,37,12.37,36,12.04,37,12.37,35,11.71,56,18.73,35,11.71,63,21.07,11041
11,42,328,39,11.89,41,12.5,42,12.8,40,12.2,54,16.46,39,11.89,73,22.26,11042
11,43,335,40,11.94,44,13.13,38,11.34,38,11.34,54,16.12,36,10.75,85,25.37,11043
11,44,335,41,12.24,40,11.94,40,11.94,42,12.54,62,18.51,39,11.64,71,21.19,11044
11,45,156,20,12.82,20,12.82,20,12.82,19,12.18,29,18.59,19,12.18,29,18.59,11045
11,47,310,34,10.97,37,11.94,38,12.26,34,10.97,52,16.77,34,10.97,81,26.13,11047
11,48,153,17,11.11,16,10.46,17,11.11,15,9.8,33,21.57,15,9.8,40,26.14,11048
11,49,284,31,10.92,29,10.21,28,9.86,29,10.21,60,21.13,32,11.27,75,26.41,11049
11,50,257,29,11.28,30,11.67,36,14.01,27,10.51,50,19.46,29,11.28,56,21.79,11050
12,17,354,51,14.41,52,14.69,55,15.54,50,14.12,53,14.97,41,11.58,52,14.69,12017
13,1,784,103,13.14,106,13.52,113,14.41,104,13.27,125,15.94,105,13.39,128,16.33,13001
13,2,575,72,12.52,91,15.83,86,14.96,81,14.09,88,15.3,72,12.52,85,14.78,13002
13,3,568,68,11.97,95,16.73,90,15.85,82,14.44,86,15.14,69,12.15,78,13.73,13003
13,4,1078,142,13.17,144,13.36,148,13.73,151,14.01,171,15.86,143,13.27,179,16.6,13004
13,5,681,88,12.92,102,14.98,95,13.95,93,13.66,111,16.3,80,11.75,112,16.45,13005
13,6,446,57,12.78,60,13.45,67,15.02,61,13.68,70,15.7,55,12.33,76,17.04,13006
13,7,692,93,13.44,104,15.03,100,14.45,91,13.15,109,15.75,88,12.72,107,15.46,13007
13,8,746,97,13.0,101,13.54,105,14.08,101,13.54,123,16.49,97,13.0,122,16.35,13008
13,9,640,75,11.72,97,15.16,93,14.53,86,13.44,103,16.09,80,12.5,106,16.56,13009
13,10,376,49,13.03,53,14.1,55,14.63,52,13.83,60,15.96,48,12.77,59,15.69,13010
13,11,367,46,12.53,57,15.53,56,15.26,49,13.35,56,15.26,44,11.99,59,16.08,13011
13,12,619,82,13.25,88,14.22,99,15.99,89,14.38,98,15.83,76,12.28,87,14.05,13012
13,13,806,99,12.28,126,15.63,123,15.26,109,13.52,127,15.76,102,12.66,120,14.89,13013
13,14,670,85,12.69,97,14.48,97,14.48,88,13.13,114,17.01,81,12.09,108,16.12,13014
13,15,952,123,12.92,147,15.44,144,15.13,130,13.66,148,15.55,125,13.13,135,14.18,13015
13,16,844,108,12.8,128,15.17,119,14.1,121,14.34,132,15.64,103,12.2,133,15.76,13016
13,17,653,82,12.56,88,13.48,96,14.7,85,13.02,107,16.39,84,12.86,111,17.0,13017
13,18,576,76,13.19,91,15.8,82,14.24,84,14.58,79,13.72,75,13.02,89,15.45,13018
13,20,559,63,11.27,100,17.89,90,16.1,82,14.67,82,14.67,62,11.09,80,14.31,13020
13,21,571,74,12.96,81,14.19,82,14.36,79,13.84,89,15.59,79,13.84,87,15.24,13021
13,22,564,71,12.59,86,15.25,81,14.36,81,14.36,82,14.54,74,13.12,89,15.78,13022
13,23,579,75,12.95,88,15.2,91,15.72,83,14.34,86,14.85,73,12.61,83,14.34,13023
13,24,601,76,12.65,84,13.98,82,13.64,79,13.14,107,17.8,73,12.15,100,16.64,13024
13,25,571,77,13.49,87,15.24,81,14.19,77,13.49,85,14.89,72,12.61,92,16.11,13025
13,26,841,107,12.72,118,14.03,123,14.63,112,13.32,129,15.34,111,13.2,141,16.77,13026
13,27,831,108,13.0,124,14.92,120,14.44,116,13.96,120,14.44,116,13.96,127,15.28,13027
13,28,459,57,12.42,69,15.03,66,14.38,63,13.73,79,17.21,55,11.98,70,15.25,13028
13,29,622,75,12.06,95,15.27,92,14.79,86,13.83,99,15.92,80,12.86,95,15.27,13029
13,30,897,110,12.26,150,16.72,140,15.61,131,14.6,136,15.16,108,12.04,122,13.6,13030
13,31,549,72,13.11,86,15.66,85,15.48,80,14.57,78,14.21,70,12.75,78,14.21,13031
13,32,631,92,14.58,88,13.95,91,14.42,86,13.63,99,15.69,81,12.84,94,14.9,13032
