ward,precinct,total,Bob Fioretti,Bob Fioretti Percent,precinct_id
2,1,121,121,100.0,02001
2,2,16,16,100.0,02002
2,3,86,86,100.0,02003
2,4,83,83,100.0,02004
2,5,92,92,100.0,02005
2,6,73,73,100.0,02006
2,7,160,160,100.0,02007
2,8,132,132,100.0,02008
2,9,79,79,100.0,02009
2,10,83,83,100.0,02010
2,11,137,137,100.0,02011
2,12,67,67,100.0,02012
2,13,129,129,100.0,02013
2,14,159,159,100.0,02014
2,15,53,53,100.0,02015
2,16,67,67,100.0,02016
2,17,81,81,100.0,02017
2,18,90,90,100.0,02018
2,19,116,116,100.0,02019
2,20,195,195,100.0,02020
2,21,163,163,100.0,02021
2,22,134,134,100.0,02022
2,23,66,66,100.0,02023
2,24,54,54,100.0,02024
2,25,106,106,100.0,02025
2,26,97,97,100.0,02026
2,27,86,86,100.0,02027
2,28,42,42,100.0,02028
2,29,55,55,100.0,02029
2,30,83,83,100.0,02030
2,31,108,108,100.0,02031
2,32,39,39,100.0,02032
2,33,38,38,100.0,02033
2,34,121,121,100.0,02034
2,35,82,82,100.0,02035
2,36,144,144,100.0,02036
2,37,69,69,100.0,02037
2,38,150,150,100.0,02038
2,39,80,80,100.0,02039
2,40,162,162,100.0,02040
2,41,43,43,100.0,02041
2,42,81,81,100.0,02042
2,43,121,121,100.0,02043
2,44,84,84,100.0,02044
2,45,100,100,100.0,02045
2,46,166,166,100.0,02046
2,47,138,138,100.0,02047
2,48,98,98,100.0,02048
2,49,68,68,100.0,02049
2,50,52,52,100.0,02050
2,51,60,60,100.0,02051
2,52,132,132,100.0,02052
2,53,52,52,100.0,02053
2,54,35,35,100.0,02054
