ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,Danny K. Davis,Danny K. Davis Percent,precinct_id
29,1,201,121,60.2,80,39.8,29001
29,2,47,36,76.6,11,23.4,29002
29,3,169,88,52.07,81,47.93,29003
29,4,154,96,62.34,58,37.66,29004
29,5,113,51,45.13,62,54.87,29005
29,6,87,58,66.67,29,33.33,29006
29,7,40,25,62.5,15,37.5,29007
29,8,81,42,51.85,39,48.15,29008
29,9,55,44,80.0,11,20.0,29009
29,10,54,27,50.0,27,50.0,29010
29,11,121,47,38.84,74,61.16,29011
29,12,148,73,49.32,75,50.68,29012
29,13,144,87,60.42,57,39.58,29013
29,14,170,87,51.18,83,48.82,29014
29,15,178,87,48.88,91,51.12,29015
29,16,224,141,62.95,83,37.05,29016
29,17,126,52,41.27,74,58.73,29017
29,18,151,84,55.63,67,44.37,29018
29,19,181,79,43.65,102,56.35,29019
29,20,172,76,44.19,96,55.81,29020
29,21,103,42,40.78,61,59.22,29021
29,22,119,52,43.7,67,56.3,29022
29,23,120,71,59.17,49,40.83,29023
29,24,138,67,48.55,71,51.45,29024
29,25,127,99,77.95,28,22.05,29025
29,26,135,77,57.04,58,42.96,29026
29,27,83,20,24.1,63,75.9,29027
29,28,144,68,47.22,76,52.78,29028
29,29,186,131,70.43,55,29.57,29029
29,30,48,31,64.58,17,35.42,29030
29,31,99,29,29.29,70,70.71,29031
29,32,40,31,77.5,9,22.5,29032
29,33,151,68,45.03,83,54.97,29033
29,34,81,49,60.49,32,39.51,29034
29,35,123,49,39.84,74,60.16,29035
29,36,194,115,59.28,79,40.72,29036
29,37,123,62,50.41,61,49.59,29037
29,38,131,46,35.11,85,64.89,29038
29,39,55,38,69.09,17,30.91,29039
29,40,181,81,44.75,100,55.25,29040
29,41,143,75,52.45,68,47.55,29041
29,42,176,47,26.7,129,73.3,29042
29,43,177,105,59.32,72,40.68,29043
29,44,127,61,48.03,66,51.97,29044
29,45,105,44,41.9,61,58.1,29045
29,46,91,55,60.44,36,39.56,29046
29,47,186,79,42.47,107,57.53,29047
29,48,113,45,39.82,68,60.18,29048
