ward,precinct,total,Michael R. Zalewski,Michael R. Zalewski Percent,precinct_id
23,1,157,157,100.0,23001
23,2,63,63,100.0,23002
23,3,166,166,100.0,23003
23,4,117,117,100.0,23004
23,5,43,43,100.0,23005
23,6,110,110,100.0,23006
23,7,125,125,100.0,23007
23,8,116,116,100.0,23008
23,9,109,109,100.0,23009
23,10,145,145,100.0,23010
23,11,333,333,100.0,23011
23,12,146,146,100.0,23012
23,13,156,156,100.0,23013
23,14,77,77,100.0,23014
23,15,122,122,100.0,23015
23,16,167,167,100.0,23016
23,17,43,43,100.0,23017
23,18,202,202,100.0,23018
23,19,109,109,100.0,23019
23,20,128,128,100.0,23020
23,21,91,91,100.0,23021
23,22,136,136,100.0,23022
23,23,118,118,100.0,23023
23,24,42,42,100.0,23024
23,25,45,45,100.0,23025
23,26,123,123,100.0,23026
23,27,178,178,100.0,23027
23,28,113,113,100.0,23028
23,29,63,63,100.0,23029
23,30,100,100,100.0,23030
23,31,87,87,100.0,23031
23,32,84,84,100.0,23032
23,33,151,151,100.0,23033
23,34,88,88,100.0,23034
23,35,70,70,100.0,23035
23,36,131,131,100.0,23036
23,37,70,70,100.0,23037
23,38,111,111,100.0,23038
23,39,284,284,100.0,23039
23,40,99,99,100.0,23040
23,41,88,88,100.0,23041
23,42,89,89,100.0,23042
23,43,157,157,100.0,23043
23,44,123,123,100.0,23044
23,45,90,90,100.0,23045
23,46,130,130,100.0,23046
23,47,157,157,100.0,23047
23,48,67,67,100.0,23048
23,49,237,237,100.0,23049
