ward,precinct,total,Derrick G. Curtis,Derrick G. Curtis Percent,precinct_id
18,1,145,145,100.0,18001
18,2,47,47,100.0,18002
18,3,148,148,100.0,18003
18,4,264,264,100.0,18004
18,5,78,78,100.0,18005
18,6,127,127,100.0,18006
18,7,80,80,100.0,18007
18,8,47,47,100.0,18008
18,9,288,288,100.0,18009
18,10,198,198,100.0,18010
18,11,79,79,100.0,18011
18,12,109,109,100.0,18012
18,13,121,121,100.0,18013
18,14,112,112,100.0,18014
18,15,47,47,100.0,18015
18,16,153,153,100.0,18016
18,17,84,84,100.0,18017
18,18,111,111,100.0,18018
18,19,152,152,100.0,18019
18,20,205,205,100.0,18020
18,21,162,162,100.0,18021
18,22,190,190,100.0,18022
18,23,121,121,100.0,18023
18,24,150,150,100.0,18024
18,25,240,240,100.0,18025
18,26,99,99,100.0,18026
18,27,84,84,100.0,18027
18,28,95,95,100.0,18028
18,29,88,88,100.0,18029
18,30,84,84,100.0,18030
18,31,94,94,100.0,18031
18,32,172,172,100.0,18032
18,33,73,73,100.0,18033
18,34,192,192,100.0,18034
18,35,284,284,100.0,18035
18,36,59,59,100.0,18036
18,37,101,101,100.0,18037
18,38,122,122,100.0,18038
18,39,65,65,100.0,18039
18,40,102,102,100.0,18040
18,41,54,54,100.0,18041
18,42,55,55,100.0,18042
18,43,51,51,100.0,18043
18,44,70,70,100.0,18044
18,45,62,62,100.0,18045
18,46,95,95,100.0,18046
18,47,66,66,100.0,18047
18,48,79,79,100.0,18048
18,49,71,71,100.0,18049
18,50,80,80,100.0,18050
18,51,149,149,100.0,18051
18,52,114,114,100.0,18052
18,53,79,79,100.0,18053
