ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,4,118,118,100.0,29004
29,5,87,87,100.0,29005
29,8,62,62,100.0,29008
29,12,110,110,100.0,29012
29,13,77,77,100.0,29013
29,15,137,137,100.0,29015
29,17,97,97,100.0,29017
29,24,110,110,100.0,29024
29,25,105,105,100.0,29025
29,26,91,91,100.0,29026
29,29,167,167,100.0,29029
29,33,116,116,100.0,29033
29,35,94,94,100.0,29035
29,36,117,117,100.0,29036
29,37,90,90,100.0,29037
29,40,143,143,100.0,29040
29,41,116,116,100.0,29041
29,43,129,129,100.0,29043
29,44,100,100,100.0,29044
29,45,76,76,100.0,29045
29,46,72,72,100.0,29046
29,47,155,155,100.0,29047
29,48,74,74,100.0,29048
36,2,10,10,100.0,36002
36,16,188,188,100.0,36016
36,22,108,108,100.0,36022
36,23,220,220,100.0,36023
36,24,105,105,100.0,36024
36,33,99,99,100.0,36033
36,44,143,143,100.0,36044
36,45,129,129,100.0,36045
36,47,181,181,100.0,36047
37,9,20,20,100.0,37009
37,18,112,112,100.0,37018
37,29,69,69,100.0,37029
37,35,108,108,100.0,37035
37,37,86,86,100.0,37037
