ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
1,1,80,80,100.0,01001
1,2,41,41,100.0,01002
1,3,32,32,100.0,01003
1,4,43,43,100.0,01004
1,5,37,37,100.0,01005
1,6,49,49,100.0,01006
1,7,25,25,100.0,01007
1,8,59,59,100.0,01008
1,9,74,74,100.0,01009
1,10,43,43,100.0,01010
1,11,36,36,100.0,01011
1,12,54,54,100.0,01012
1,13,104,104,100.0,01013
1,14,61,61,100.0,01014
1,15,52,52,100.0,01015
1,16,47,47,100.0,01016
1,17,19,19,100.0,01017
1,18,50,50,100.0,01018
1,19,41,41,100.0,01019
1,20,92,92,100.0,01020
1,21,54,54,100.0,01021
1,22,38,38,100.0,01022
1,23,54,54,100.0,01023
1,24,136,136,100.0,01024
1,25,36,36,100.0,01025
1,26,24,24,100.0,01026
1,27,24,24,100.0,01027
1,28,19,19,100.0,01028
1,29,53,53,100.0,01029
1,30,108,108,100.0,01030
1,31,36,36,100.0,01031
1,32,60,60,100.0,01032
1,33,54,54,100.0,01033
1,34,27,27,100.0,01034
1,35,33,33,100.0,01035
1,36,39,39,100.0,01036
1,37,61,61,100.0,01037
1,38,33,33,100.0,01038
1,39,57,57,100.0,01039
1,40,32,32,100.0,01040
1,41,44,44,100.0,01041
1,42,34,34,100.0,01042
1,43,50,50,100.0,01043
1,44,25,25,100.0,01044
1,45,58,58,100.0,01045
1,46,65,65,100.0,01046
1,47,48,48,100.0,01047
1,48,48,48,100.0,01048
2,2,0,0,0.0,02002
2,12,61,61,100.0,02012
2,28,41,41,100.0,02028
2,32,21,21,100.0,02032
2,49,3,3,100.0,02049
2,50,41,41,100.0,02050
3,3,40,40,100.0,03003
3,13,31,31,100.0,03013
11,1,90,90,100.0,11001
11,2,90,90,100.0,11002
11,3,56,56,100.0,11003
11,4,70,70,100.0,11004
11,5,45,45,100.0,11005
11,6,93,93,100.0,11006
11,7,93,93,100.0,11007
11,8,74,74,100.0,11008
11,9,65,65,100.0,11009
11,10,50,50,100.0,11010
11,11,84,84,100.0,11011
11,12,50,50,100.0,11012
11,13,68,68,100.0,11013
11,14,48,48,100.0,11014
11,15,67,67,100.0,11015
11,16,90,90,100.0,11016
11,17,122,122,100.0,11017
11,18,56,56,100.0,11018
11,19,53,53,100.0,11019
11,20,68,68,100.0,11020
11,21,91,91,100.0,11021
11,22,65,65,100.0,11022
11,23,58,58,100.0,11023
11,24,158,158,100.0,11024
11,25,53,53,100.0,11025
11,26,101,101,100.0,11026
11,27,58,58,100.0,11027
11,29,91,91,100.0,11029
11,30,71,71,100.0,11030
11,31,56,56,100.0,11031
11,32,47,47,100.0,11032
11,33,53,53,100.0,11033
11,34,43,43,100.0,11034
11,35,80,80,100.0,11035
11,36,15,15,100.0,11036
11,37,77,77,100.0,11037
11,38,102,102,100.0,11038
11,39,115,115,100.0,11039
11,40,50,50,100.0,11040
11,41,46,46,100.0,11041
11,42,62,62,100.0,11042
11,43,66,66,100.0,11043
11,44,63,63,100.0,11044
11,45,30,30,100.0,11045
11,46,61,61,100.0,11046
11,47,58,58,100.0,11047
11,48,29,29,100.0,11048
11,49,49,49,100.0,11049
11,50,43,43,100.0,11050
12,1,64,64,100.0,12001
12,2,50,50,100.0,12002
12,3,41,41,100.0,12003
12,4,28,28,100.0,12004
12,5,39,39,100.0,12005
12,6,64,64,100.0,12006
12,7,79,79,100.0,12007
12,8,87,87,100.0,12008
12,9,40,40,100.0,12009
12,10,74,74,100.0,12010
12,11,112,112,100.0,12011
12,12,56,56,100.0,12012
12,13,100,100,100.0,12013
12,14,52,52,100.0,12014
12,15,56,56,100.0,12015
12,16,38,38,100.0,12016
12,17,49,49,100.0,12017
12,18,79,79,100.0,12018
12,19,65,65,100.0,12019
12,20,39,39,100.0,12020
12,21,62,62,100.0,12021
12,22,52,52,100.0,12022
12,23,52,52,100.0,12023
12,24,63,63,100.0,12024
13,1,137,137,100.0,13001
13,3,97,97,100.0,13003
13,7,121,121,100.0,13007
13,8,149,149,100.0,13008
13,12,115,115,100.0,13012
13,14,110,110,100.0,13014
13,15,179,179,100.0,13015
13,16,151,151,100.0,13016
13,17,127,127,100.0,13017
13,18,109,109,100.0,13018
13,20,101,101,100.0,13020
13,23,103,103,100.0,13023
13,24,116,116,100.0,13024
13,25,109,109,100.0,13025
13,26,24,24,100.0,13026
13,31,85,85,100.0,13031
13,33,111,111,100.0,13033
13,40,169,169,100.0,13040
14,1,109,109,100.0,14001
14,3,77,77,100.0,14003
14,4,70,70,100.0,14004
14,5,60,60,100.0,14005
14,6,32,32,100.0,14006
14,7,80,80,100.0,14007
14,8,71,71,100.0,14008
14,9,90,90,100.0,14009
14,10,61,61,100.0,14010
14,11,52,52,100.0,14011
14,12,87,87,100.0,14012
14,13,70,70,100.0,14013
14,14,80,80,100.0,14014
14,15,82,82,100.0,14015
14,16,62,62,100.0,14016
14,17,51,51,100.0,14017
14,18,37,37,100.0,14018
14,19,70,70,100.0,14019
14,20,41,41,100.0,14020
14,21,52,52,100.0,14021
14,22,115,115,100.0,14022
14,23,69,69,100.0,14023
14,24,51,51,100.0,14024
14,25,45,45,100.0,14025
14,26,47,47,100.0,14026
14,27,86,86,100.0,14027
14,28,55,55,100.0,14028
14,29,95,95,100.0,14029
14,30,77,77,100.0,14030
14,31,45,45,100.0,14031
14,32,46,46,100.0,14032
15,1,99,99,100.0,15001
15,10,24,24,100.0,15010
15,13,52,52,100.0,15013
15,15,25,25,100.0,15015
15,16,24,24,100.0,15016
15,22,73,73,100.0,15022
15,24,41,41,100.0,15024
15,25,36,36,100.0,15025
15,27,45,45,100.0,15027
15,28,63,63,100.0,15028
15,32,32,32,100.0,15032
15,38,62,62,100.0,15038
15,39,29,29,100.0,15039
16,17,32,32,100.0,16017
16,32,31,31,100.0,16032
16,35,24,24,100.0,16035
16,39,37,37,100.0,16039
20,8,23,23,100.0,20008
20,21,22,22,100.0,20021
22,1,45,45,100.0,22001
22,8,51,51,100.0,22008
22,9,54,54,100.0,22009
22,10,70,70,100.0,22010
22,11,52,52,100.0,22011
22,15,51,51,100.0,22015
22,18,61,61,100.0,22018
22,22,50,50,100.0,22022
22,25,80,80,100.0,22025
22,26,55,55,100.0,22026
22,28,40,40,100.0,22028
