ward,precinct,total,Tommy Brewer,Tommy Brewer Percent,Roxanne L. Rochester,Roxanne L. Rochester Percent,precinct_id
1,6,12,8,66.67,4,33.33,01006
2,2,15,8,53.33,7,46.67,02002
2,3,85,48,56.47,37,43.53,02003
2,4,62,32,51.61,30,48.39,02004
2,5,79,45,56.96,34,43.04,02005
2,6,65,37,56.92,28,43.08,02006
2,9,82,47,57.32,35,42.68,02009
2,10,82,49,59.76,33,40.24,02010
2,12,62,38,61.29,24,38.71,02012
2,13,125,68,54.4,57,45.6,02013
2,15,49,33,67.35,16,32.65,02015
2,16,70,25,35.71,45,64.29,02016
2,17,79,48,60.76,31,39.24,02017
2,23,65,40,61.54,25,38.46,02023
2,25,96,48,50.0,48,50.0,02025
2,27,84,57,67.86,27,32.14,02027
2,28,31,19,61.29,12,38.71,02028
2,29,54,21,38.89,33,61.11,02029
2,32,32,17,53.13,15,46.88,02032
2,33,37,18,48.65,19,51.35,02033
2,34,111,55,49.55,56,50.45,02034
2,39,72,37,51.39,35,48.61,02039
2,41,38,23,60.53,15,39.47,02041
2,42,73,43,58.9,30,41.1,02042
2,45,93,53,56.99,40,43.01,02045
2,47,149,72,48.32,77,51.68,02047
2,48,95,61,64.21,34,35.79,02048
2,50,47,20,42.55,27,57.45,02050
2,51,52,26,50.0,26,50.0,02051
2,52,132,76,57.58,56,42.42,02052
22,7,90,56,62.22,34,37.78,22007
22,21,96,65,67.71,31,32.29,22021
24,1,118,83,70.34,35,29.66,24001
24,2,57,30,52.63,27,47.37,24002
24,3,57,36,63.16,21,36.84,24003
24,4,72,48,66.67,24,33.33,24004
24,5,85,45,52.94,40,47.06,24005
24,6,94,56,59.57,38,40.43,24006
24,7,66,45,68.18,21,31.82,24007
24,8,64,42,65.63,22,34.38,24008
24,9,73,48,65.75,25,34.25,24009
24,10,37,21,56.76,16,43.24,24010
24,11,111,77,69.37,34,30.63,24011
24,12,64,36,56.25,28,43.75,24012
24,13,54,35,64.81,19,35.19,24013
24,14,102,73,71.57,29,28.43,24014
24,15,67,46,68.66,21,31.34,24015
24,16,47,29,61.7,18,38.3,24016
24,17,51,32,62.75,19,37.25,24017
24,18,100,52,52.0,48,48.0,24018
24,19,144,82,56.94,62,43.06,24019
24,20,49,31,63.27,18,36.73,24020
24,21,42,28,66.67,14,33.33,24021
24,22,142,87,61.27,55,38.73,24022
24,23,105,51,48.57,54,51.43,24023
24,24,128,69,53.91,59,46.09,24024
24,25,70,46,65.71,24,34.29,24025
24,26,82,45,54.88,37,45.12,24026
24,27,137,82,59.85,55,40.15,24027
24,28,101,63,62.38,38,37.62,24028
24,29,108,68,62.96,40,37.04,24029
24,30,57,35,61.4,22,38.6,24030
24,31,83,54,65.06,29,34.94,24031
24,32,90,51,56.67,39,43.33,24032
24,34,78,48,61.54,30,38.46,24034
24,35,115,63,54.78,52,45.22,24035
24,36,118,74,62.71,44,37.29,24036
24,37,89,53,59.55,36,40.45,24037
24,38,100,71,71.0,29,29.0,24038
24,39,81,48,59.26,33,40.74,24039
24,40,110,78,70.91,32,29.09,24040
24,41,52,29,55.77,23,44.23,24041
24,42,42,26,61.9,16,38.1,24042
24,43,104,73,70.19,31,29.81,24043
24,45,53,33,62.26,20,37.74,24045
24,46,90,61,67.78,29,32.22,24046
24,47,73,44,60.27,29,39.73,24047
24,48,97,60,61.86,37,38.14,24048
24,49,163,104,63.8,59,36.2,24049
24,50,148,101,68.24,47,31.76,24050
25,3,23,11,47.83,12,52.17,25003
25,4,83,45,54.22,38,45.78,25004
25,10,42,25,59.52,17,40.48,25010
25,21,74,44,59.46,30,40.54,25021
25,25,13,10,76.92,3,23.08,25025
25,28,81,41,50.62,40,49.38,25028
25,29,75,34,45.33,41,54.67,25029
26,2,17,7,41.18,10,58.82,26002
26,10,47,15,31.91,32,68.09,26010
26,17,34,16,47.06,18,52.94,26017
26,33,0,0,0.0,0,0.0,26033
27,1,60,26,43.33,34,56.67,27001
27,2,60,32,53.33,28,46.67,27002
27,3,100,58,58.0,42,42.0,27003
27,7,56,36,64.29,20,35.71,27007
27,8,66,37,56.06,29,43.94,27008
27,14,104,55,52.88,49,47.12,27014
27,15,123,65,52.85,58,47.15,27015
27,16,30,16,53.33,14,46.67,27016
27,17,48,22,45.83,26,54.17,27017
27,19,106,67,63.21,39,36.79,27019
27,22,109,63,57.8,46,42.2,27022
27,23,79,42,53.16,37,46.84,27023
27,24,107,61,57.01,46,42.99,27024
27,25,43,27,62.79,16,37.21,27025
27,26,87,50,57.47,37,42.53,27026
27,27,59,27,45.76,32,54.24,27027
27,29,37,18,48.65,19,51.35,27029
27,31,62,38,61.29,24,38.71,27031
27,33,47,23,48.94,24,51.06,27033
27,34,124,67,54.03,57,45.97,27034
27,36,71,41,57.75,30,42.25,27036
27,44,125,71,56.8,54,43.2,27044
27,45,19,14,73.68,5,26.32,27045
28,1,61,42,68.85,19,31.15,28001
28,2,83,53,63.86,30,36.14,28002
28,3,39,26,66.67,13,33.33,28003
28,4,82,58,70.73,24,29.27,28004
28,5,68,48,70.59,20,29.41,28005
28,6,46,31,67.39,15,32.61,28006
28,7,39,25,64.1,14,35.9,28007
28,8,65,42,64.62,23,35.38,28008
28,9,65,47,72.31,18,27.69,28009
28,10,24,19,79.17,5,20.83,28010
28,11,40,21,52.5,19,47.5,28011
28,12,33,19,57.58,14,42.42,28012
28,13,33,18,54.55,15,45.45,28013
28,14,87,56,64.37,31,35.63,28014
28,15,66,37,56.06,29,43.94,28015
28,16,48,31,64.58,17,35.42,28016
28,17,66,34,51.52,32,48.48,28017
28,18,104,61,58.65,43,41.35,28018
28,19,84,47,55.95,37,44.05,28019
28,20,106,72,67.92,34,32.08,28020
28,21,84,46,54.76,38,45.24,28021
28,22,71,42,59.15,29,40.85,28022
28,23,117,75,64.1,42,35.9,28023
28,24,37,21,56.76,16,43.24,28024
28,25,49,33,67.35,16,32.65,28025
28,26,58,46,79.31,12,20.69,28026
28,27,87,48,55.17,39,44.83,28027
