ward,precinct,total,Willie B. Cochran,Willie B. Cochran Percent,Naomi Davis,Naomi Davis Percent,precinct_id
20,1,107,47,43.93,60,56.07,20001
20,2,79,42,53.16,37,46.84,20002
20,3,67,37,55.22,30,44.78,20003
20,4,32,20,62.5,12,37.5,20004
20,5,57,31,54.39,26,45.61,20005
20,6,103,63,61.17,40,38.83,20006
20,7,63,35,55.56,28,44.44,20007
20,8,23,13,56.52,10,43.48,20008
20,9,166,95,57.23,71,42.77,20009
20,10,145,91,62.76,54,37.24,20010
20,11,78,47,60.26,31,39.74,20011
20,12,43,28,65.12,15,34.88,20012
20,13,86,70,81.4,16,18.6,20013
20,14,108,58,53.7,50,46.3,20014
20,15,25,14,56.0,11,44.0,20015
20,16,127,80,62.99,47,37.01,20016
20,17,122,71,58.2,51,41.8,20017
20,18,77,40,51.95,37,48.05,20018
20,19,69,43,62.32,26,37.68,20019
20,20,47,28,59.57,19,40.43,20020
20,21,26,17,65.38,9,34.62,20021
20,22,166,94,56.63,72,43.37,20022
20,23,107,64,59.81,43,40.19,20023
20,24,114,55,48.25,59,51.75,20024
20,25,64,38,59.38,26,40.63,20025
20,26,109,72,66.06,37,33.94,20026
20,27,67,40,59.7,27,40.3,20027
20,28,78,40,51.28,38,48.72,20028
20,29,98,60,61.22,38,38.78,20029
20,30,130,72,55.38,58,44.62,20030
20,31,86,57,66.28,29,33.72,20031
20,32,44,28,63.64,16,36.36,20032
20,33,89,53,59.55,36,40.45,20033
20,34,131,76,58.02,55,41.98,20034
20,35,35,28,80.0,7,20.0,20035
20,36,82,55,67.07,27,32.93,20036
20,37,96,44,45.83,52,54.17,20037
20,38,21,18,85.71,3,14.29,20038
20,39,67,35,52.24,32,47.76,20039
20,40,91,53,58.24,38,41.76,20040
20,41,17,6,35.29,11,64.71,20041
20,42,40,26,65.0,14,35.0,20042
20,43,7,7,100.0,0,0.0,20043
20,44,119,91,76.47,28,23.53,20044
20,45,31,20,64.52,11,35.48,20045
