ward,precinct,total,Mary S. Trew,Mary S. Trew Percent,Abbey Fishman Romanek,Abbey Fishman Romanek Percent,Larry G. Axelrood,Larry G. Axelrood Percent,precinct_id
39,17,10,3,30.0,4,40.0,3,30.0,39017
39,32,33,14,42.42,8,24.24,7,21.21,39032
40,9,69,20,28.99,18,26.09,17,24.64,40009
40,12,78,22,28.21,24,30.77,27,34.62,40012
40,13,173,54,31.21,57,32.95,50,28.9,40013
40,18,45,12,26.67,14,31.11,11,24.44,40018
40,26,95,42,44.21,36,37.89,13,13.68,40026
40,27,46,11,23.91,13,28.26,17,36.96,40027
40,28,95,27,28.42,33,34.74,20,21.05,40028
40,35,68,26,38.24,17,25.0,10,14.71,40035
40,37,54,19,35.19,12,22.22,11,20.37,40037
40,39,42,17,40.48,8,19.05,10,23.81,40039
41,19,46,11,23.91,10,21.74,24,52.17,41019
41,44,74,22,29.73,14,18.92,32,43.24,41044
41,47,64,17,26.56,23,35.94,15,23.44,41047
41,54,66,20,30.3,20,30.3,21,31.82,41054
41,57,63,14,22.22,12,19.05,27,42.86,41057
45,5,4,1,25.0,2,50.0,0,0.0,45005
48,2,83,25,30.12,28,33.73,18,21.69,48002
48,13,85,31,36.47,20,23.53,28,32.94,48013
48,15,45,13,28.89,14,31.11,14,31.11,48015
48,22,138,48,34.78,40,28.99,39,28.26,48022
48,32,42,15,35.71,13,30.95,12,28.57,48032
48,33,98,23,23.47,44,44.9,26,26.53,48033
48,40,60,20,33.33,22,36.67,13,21.67,48040
48,41,46,9,19.57,16,34.78,13,28.26,48041
49,1,88,29,32.95,26,29.55,11,12.5,49001
49,2,117,35,29.91,47,40.17,27,23.08,49002
49,3,84,24,28.57,45,53.57,9,10.71,49003
49,4,58,19,32.76,22,37.93,8,13.79,49004
49,5,110,23,20.91,44,40.0,30,27.27,49005
49,6,97,34,35.05,40,41.24,15,15.46,49006
49,7,162,48,29.63,81,50.0,26,16.05,49007
49,8,103,22,21.36,37,35.92,29,28.16,49008
49,9,84,24,28.57,24,28.57,23,27.38,49009
49,10,86,20,23.26,31,36.05,20,23.26,49010
49,11,70,15,21.43,31,44.29,13,18.57,49011
49,12,116,29,25.0,41,35.34,28,24.14,49012
49,13,136,31,22.79,53,38.97,39,28.68,49013
49,14,86,22,25.58,30,34.88,27,31.4,49014
49,15,80,25,31.25,25,31.25,13,16.25,49015
49,16,98,17,17.35,45,45.92,23,23.47,49016
49,18,71,18,25.35,24,33.8,23,32.39,49018
49,19,149,43,28.86,54,36.24,29,19.46,49019
49,20,127,34,26.77,41,32.28,30,23.62,49020
49,21,84,14,16.67,29,34.52,31,36.9,49021
49,22,106,26,24.53,42,39.62,27,25.47,49022
49,23,81,16,19.75,37,45.68,17,20.99,49023
49,24,168,39,23.21,69,41.07,38,22.62,49024
49,25,106,26,24.53,44,41.51,23,21.7,49025
49,26,99,19,19.19,35,35.35,25,25.25,49026
49,27,105,27,25.71,39,37.14,21,20.0,49027
49,28,65,17,26.15,29,44.62,12,18.46,49028
49,29,100,25,25.0,40,40.0,22,22.0,49029
49,30,111,30,27.03,39,35.14,23,20.72,49030
49,31,97,26,26.8,34,35.05,25,25.77,49031
49,32,98,27,27.55,41,41.84,19,19.39,49032
49,33,83,20,24.1,36,43.37,18,21.69,49033
49,34,108,29,26.85,37,34.26,19,17.59,49034
49,35,107,28,26.17,38,35.51,33,30.84,49035
49,36,125,46,36.8,37,29.6,33,26.4,49036
49,37,133,24,18.05,45,33.83,28,21.05,49037
49,38,78,19,24.36,32,41.03,15,19.23,49038
50,1,76,22,28.95,18,23.68,33,43.42,50001
50,2,88,23,26.14,20,22.73,35,39.77,50002
50,3,77,19,24.68,19,24.68,37,48.05,50003
50,4,68,16,23.53,13,19.12,35,51.47,50004
50,5,52,13,25.0,13,25.0,23,44.23,50005
50,6,66,25,37.88,17,25.76,16,24.24,50006
50,7,103,36,34.95,23,22.33,37,35.92,50007
50,9,64,17,26.56,16,25.0,24,37.5,50009
50,10,45,7,15.56,9,20.0,20,44.44,50010
50,11,51,7,13.73,16,31.37,19,37.25,50011
50,12,60,6,10.0,28,46.67,22,36.67,50012
50,13,62,23,37.1,17,27.42,15,24.19,50013
50,14,44,5,11.36,9,20.45,25,56.82,50014
50,15,94,23,24.47,27,28.72,39,41.49,50015
50,16,48,3,6.25,20,41.67,24,50.0,50016
50,17,36,2,5.56,6,16.67,22,61.11,50017
50,18,59,21,35.59,10,16.95,22,37.29,50018
50,19,45,18,40.0,8,17.78,16,35.56,50019
50,20,73,14,19.18,20,27.4,32,43.84,50020
50,21,68,21,30.88,14,20.59,28,41.18,50021
50,22,47,8,17.02,7,14.89,19,40.43,50022
50,24,52,7,13.46,12,23.08,20,38.46,50024
50,25,34,4,11.76,6,17.65,21,61.76,50025
50,26,34,10,29.41,5,14.71,11,32.35,50026
50,27,39,5,12.82,17,43.59,14,35.9,50027
50,28,75,17,22.67,12,16.0,28,37.33,50028
50,30,60,13,21.67,12,20.0,29,48.33,50030
50,31,19,0,0.0,8,42.11,8,42.11,50031
50,32,66,23,34.85,11,16.67,12,18.18,50032
50,33,36,10,27.78,7,19.44,15,41.67,50033
50,34,52,24,46.15,7,13.46,13,25.0,50034
50,35,108,28,25.93,36,33.33,40,37.04,50035
50,36,68,20,29.41,10,14.71,31,45.59,50036
50,37,81,26,32.1,27,33.33,28,34.57,50037
50,38,73,12,16.44,21,28.77,33,45.21,50038
50,39,38,8,21.05,6,15.79,17,44.74,50039
50,40,46,5,10.87,11,23.91,26,56.52,50040
50,41,75,22,29.33,21,28.0,27,36.0,50041
