ward,precinct,total,Peter J. Coffey,Peter J. Coffey Percent,precinct_id
47,1,58,58,100.0,47001
47,2,60,60,100.0,47002
47,3,110,110,100.0,47003
47,4,70,70,100.0,47004
47,5,60,60,100.0,47005
47,6,63,63,100.0,47006
47,7,61,61,100.0,47007
47,8,63,63,100.0,47008
47,9,46,46,100.0,47009
47,10,37,37,100.0,47010
47,11,106,106,100.0,47011
47,12,50,50,100.0,47012
47,13,85,85,100.0,47013
47,14,46,46,100.0,47014
47,15,69,69,100.0,47015
47,16,69,69,100.0,47016
47,17,46,46,100.0,47017
47,18,59,59,100.0,47018
47,19,110,110,100.0,47019
47,20,71,71,100.0,47020
47,21,56,56,100.0,47021
47,22,55,55,100.0,47022
47,23,36,36,100.0,47023
47,24,54,54,100.0,47024
47,25,64,64,100.0,47025
47,26,77,77,100.0,47026
47,27,34,34,100.0,47027
47,28,61,61,100.0,47028
47,29,69,69,100.0,47029
47,30,75,75,100.0,47030
47,31,65,65,100.0,47031
47,32,62,62,100.0,47032
47,33,66,66,100.0,47033
47,34,73,73,100.0,47034
47,35,67,67,100.0,47035
47,36,82,82,100.0,47036
47,37,73,73,100.0,47037
47,38,66,66,100.0,47038
47,39,60,60,100.0,47039
47,40,30,30,100.0,47040
47,41,88,88,100.0,47041
47,42,45,45,100.0,47042
47,43,74,74,100.0,47043
47,44,63,63,100.0,47044
47,45,73,73,100.0,47045
47,46,34,34,100.0,47046
47,47,39,39,100.0,47047
47,48,27,27,100.0,47048
47,49,36,36,100.0,47049
47,50,41,41,100.0,47050
