ward,precinct,total,Camille Y. Lilly,Camille Y. Lilly Percent,Michael D. Nardello,Michael D. Nardello Percent,precinct_id
29,4,149,141,94.63,8,5.37,29004
29,5,110,103,93.64,7,6.36,29005
29,8,73,70,95.89,3,4.11,29008
29,12,143,128,89.51,15,10.49,29012
29,13,122,117,95.9,5,4.1,29013
29,15,160,148,92.5,12,7.5,29015
29,17,113,98,86.73,15,13.27,29017
29,24,129,118,91.47,11,8.53,29024
29,25,123,117,95.12,6,4.88,29025
29,26,119,111,93.28,8,6.72,29026
29,29,183,173,94.54,10,5.46,29029
29,33,138,121,87.68,17,12.32,29033
29,35,116,104,89.66,12,10.34,29035
29,36,131,127,96.95,4,3.05,29036
29,37,109,106,97.25,3,2.75,29037
29,40,184,176,95.65,8,4.35,29040
29,41,145,134,92.41,11,7.59,29041
29,43,173,165,95.38,8,4.62,29043
29,44,121,107,88.43,14,11.57,29044
29,45,92,82,89.13,10,10.87,29045
29,46,89,82,92.13,7,7.87,29046
29,47,177,163,92.09,14,7.91,29047
29,48,103,94,91.26,9,8.74,29048
36,2,9,2,22.22,7,77.78,36002
36,16,220,143,65.0,77,35.0,36016
36,22,135,61,45.19,74,54.81,36022
36,23,266,213,80.08,53,19.92,36023
36,24,128,104,81.25,24,18.75,36024
36,33,118,73,61.86,45,38.14,36033
36,44,162,120,74.07,42,25.93,36044
36,45,165,86,52.12,79,47.88,36045
36,47,241,124,51.45,117,48.55,36047
37,9,19,17,89.47,2,10.53,37009
37,18,134,125,93.28,9,6.72,37018
37,29,88,83,94.32,5,5.68,37029
37,35,121,113,93.39,8,6.61,37035
37,37,99,90,90.91,9,9.09,37037
