ward,precinct,total,Patricia Van Pelt Watkins,Patricia Van Pelt Watkins Percent,Annazette R. Collins,Annazette R. Collins Percent,precinct_id
1,6,61,38,62.3,23,37.7,01006
1,8,67,39,58.21,28,41.79,01008
1,10,38,27,71.05,11,28.95,01010
1,12,49,27,55.1,22,44.9,01012
1,21,63,41,65.08,22,34.92,01021
1,25,46,26,56.52,20,43.48,01025
1,26,29,23,79.31,6,20.69,01026
1,31,50,35,70.0,15,30.0,01031
1,35,5,5,100.0,0,0.0,01035
1,37,69,49,71.01,20,28.99,01037
2,2,17,14,82.35,3,17.65,02002
2,3,96,47,48.96,49,51.04,02003
2,4,98,58,59.18,40,40.82,02004
2,5,110,56,50.91,54,49.09,02005
2,6,71,53,74.65,18,25.35,02006
2,9,94,59,62.77,35,37.23,02009
2,10,104,51,49.04,53,50.96,02010
2,12,83,51,61.45,32,38.55,02012
2,13,152,90,59.21,62,40.79,02013
2,15,61,24,39.34,37,60.66,02015
2,16,75,55,73.33,20,26.67,02016
2,17,96,57,59.38,39,40.63,02017
2,23,87,45,51.72,42,48.28,02023
2,25,113,70,61.95,43,38.05,02025
2,27,114,39,34.21,75,65.79,02027
2,28,50,34,68.0,16,32.0,02028
2,29,70,40,57.14,30,42.86,02029
2,32,39,21,53.85,18,46.15,02032
2,33,51,27,52.94,24,47.06,02033
2,34,138,61,44.2,77,55.8,02034
2,39,95,57,60.0,38,40.0,02039
2,41,42,22,52.38,20,47.62,02041
2,42,104,38,36.54,66,63.46,02042
2,45,122,64,52.46,58,47.54,02045
2,47,168,57,33.93,111,66.07,02047
2,48,121,58,47.93,63,52.07,02048
2,50,60,45,75.0,15,25.0,02050
2,51,68,37,54.41,31,45.59,02051
2,52,164,70,42.68,94,57.32,02052
22,7,115,58,50.43,57,49.57,22007
22,19,57,20,35.09,37,64.91,22019
22,21,118,45,38.14,73,61.86,22021
24,1,136,51,37.5,85,62.5,24001
24,2,67,28,41.79,39,58.21,24002
24,3,74,39,52.7,35,47.3,24003
24,4,87,42,48.28,45,51.72,24004
24,5,104,49,47.12,55,52.88,24005
24,6,120,59,49.17,61,50.83,24006
24,7,95,53,55.79,42,44.21,24007
24,8,82,33,40.24,49,59.76,24008
24,9,92,39,42.39,53,57.61,24009
24,10,85,39,45.88,46,54.12,24010
24,11,136,62,45.59,74,54.41,24011
24,12,84,31,36.9,53,63.1,24012
24,13,70,32,45.71,38,54.29,24013
24,14,119,50,42.02,69,57.98,24014
24,15,78,33,42.31,45,57.69,24015
24,16,5,2,40.0,3,60.0,24016
24,17,69,41,59.42,28,40.58,24017
24,18,131,54,41.22,77,58.78,24018
